
[00:00:00.000 --> 00:00:10.000]   [MUSIC]
[00:08:50.800 --> 00:08:53.000]   >> You're good.
[00:08:53.000 --> 00:08:57.360]   Okay, ten points for each of you, okay?
[00:08:57.360 --> 00:09:01.600]   All right, now I had to ask this question.
[00:09:01.600 --> 00:09:07.280]   It's like when we think of holiness, again, we have good preconceived notions
[00:09:07.280 --> 00:09:11.160]   because we've been studying the scriptures, we've been coming to church.
[00:09:11.160 --> 00:09:16.440]   And we recognize that certain aspects of your life really mark you as a holy
[00:09:16.440 --> 00:09:20.960]   individual who is dedicated to God or somebody who's just like, wow,
[00:09:20.960 --> 00:09:23.160]   you're very fleshly, right?
[00:09:23.160 --> 00:09:26.080]   And when you think about it, it's the service aspect of it.
[00:09:26.080 --> 00:09:29.520]   If you see somebody who is selfish, right?
[00:09:29.520 --> 00:09:35.480]   It's like, if that doesn't have anything to do with me, I'm not doing it, right?
[00:09:35.480 --> 00:09:40.920]   Unwilling to serve another individual, how come you're not doing something for me?
[00:09:40.920 --> 00:09:41.680]   Right?
[00:09:41.720 --> 00:09:47.080]   That's very ungodly because of the whole orientation of the selfish attitude,
[00:09:47.080 --> 00:09:47.960]   right?
[00:09:47.960 --> 00:09:53.480]   And likewise, every single one of us, we recognize that when it comes to the topic
[00:09:53.480 --> 00:09:57.840]   of humility and pride, it is truly the, I guess,
[00:09:57.840 --> 00:10:01.880]   the two routes of life ambition that you can take.
[00:10:01.880 --> 00:10:04.160]   You're either going to seek your success, and
[00:10:04.160 --> 00:10:06.480]   we've been hearing it from the pulpit on Sundays, right?
[00:10:06.480 --> 00:10:09.680]   Wow, what a powerful message we heard on Sunday.
[00:10:09.680 --> 00:10:14.320]   You're either going to always presume that everyone's will for
[00:10:14.320 --> 00:10:17.120]   your life should be my success, right?
[00:10:17.120 --> 00:10:21.600]   My provision and my security, and then you just include God into it.
[00:10:21.600 --> 00:10:24.160]   Or you're going to think on a completely different level and
[00:10:24.160 --> 00:10:29.080]   playing where it's, no, no, no, it's God's glory, right?
[00:10:29.080 --> 00:10:34.160]   The fulfillment of God's plan, his exaltation at whatever cost.
[00:10:34.160 --> 00:10:38.200]   And those are two entirely different spectrums, okay?
[00:10:38.200 --> 00:10:41.720]   I wanted to talk about that, and I read you this passage because there are some
[00:10:41.720 --> 00:10:45.200]   other things that I like to highlight, okay?
[00:10:45.200 --> 00:10:49.960]   And what I like to highlight is that, to me,
[00:10:49.960 --> 00:10:55.800]   what is kind of like a mantra of the scriptures
[00:10:55.800 --> 00:10:59.040]   is you see it and you believe it, okay?
[00:10:59.040 --> 00:11:02.160]   You see it and then you believe it.
[00:11:02.160 --> 00:11:08.680]   And what I recognize is, in terms of an individual who is evidently godly,
[00:11:08.680 --> 00:11:15.280]   evidently holy, is then an individual who has seen what we talked about in the morning.
[00:11:15.280 --> 00:11:16.480]   Right?
[00:11:16.480 --> 00:11:23.720]   He's caught a glimpse of like, God is just so big, right?
[00:11:23.720 --> 00:11:30.960]   And he can't help now but to stare because he's everywhere, you know?
[00:11:30.960 --> 00:11:38.000]   And that individual who has a massive vision of God is growing in his holiness, okay?
[00:11:38.000 --> 00:11:42.240]   Scripture actually says, my people, they die, right?
[00:11:42.240 --> 00:11:45.480]   They essentially destroy themselves for a lack of knowledge of me.
[00:11:45.480 --> 00:11:50.800]   And what the scripture says is, when you have that knowledge, however,
[00:11:50.800 --> 00:11:53.120]   the lack of knowledge will lead to your doom.
[00:11:53.120 --> 00:11:57.280]   But when you have that knowledge, it is so difficult to turn away, and so
[00:11:57.280 --> 00:11:59.840]   your heart then is inclined.
[00:11:59.840 --> 00:12:02.000]   And you have to believe it, okay?
[00:12:02.000 --> 00:12:05.760]   In that way, you know how this morning there was this exhortation like,
[00:12:05.760 --> 00:12:09.200]   set Christ apart in your heart, right?
[00:12:09.200 --> 00:12:14.840]   Sanctify him as Lord in your heart is what it said in 1 Peter 3, verse 15.
[00:12:14.840 --> 00:12:20.520]   Well, the exhortation there, there's a sense to which you can sit there and
[00:12:20.520 --> 00:12:26.640]   then start divulging like, what does that mean to set apart and then da-da-da-da-da.
[00:12:26.640 --> 00:12:30.600]   But scripture talks about there is this very simple devotion,
[00:12:30.600 --> 00:12:35.400]   there's a simplicity, right, to the holiness that we're trying to pursue.
[00:12:35.400 --> 00:12:37.960]   What I'm talking about is ultimately,
[00:12:37.960 --> 00:12:43.120]   if your heart is bent on seeing and loving Jesus,
[00:12:43.120 --> 00:12:47.160]   you're gonna radically grow in the holiness and pragmatics of your life.
[00:12:47.160 --> 00:12:50.680]   And that's why I read to you Galatians, so look back at Galatians chapter 5.
[00:12:52.320 --> 00:12:57.880]   He talks about this basically two conflicting tensions.
[00:12:57.880 --> 00:13:02.040]   And what he says is, walk by the spirit and you will not carry out, what?
[00:13:02.040 --> 00:13:04.360]   The desires of your flesh.
[00:13:04.360 --> 00:13:08.480]   For the flesh, it sets its desire against the spirit, and
[00:13:08.480 --> 00:13:09.960]   the spirit against the flesh.
[00:13:09.960 --> 00:13:13.920]   For these are in opposition to one another, so
[00:13:13.920 --> 00:13:16.640]   that you may not do the things that you please.
[00:13:16.640 --> 00:13:21.840]   But if you are led by the spirit, you are not under the law, okay?
[00:13:22.840 --> 00:13:27.520]   And what you have here is essentially, yes,
[00:13:27.520 --> 00:13:32.320]   there is this complex battle, the epic yin and yang.
[00:13:32.320 --> 00:13:35.760]   It's not really, but that's how it feels sometimes.
[00:13:35.760 --> 00:13:38.160]   Where the flesh wants what it wants.
[00:13:38.160 --> 00:13:41.400]   It wants its pleasures, it wants its desires, it wants its ambitions,
[00:13:41.400 --> 00:13:43.040]   it wants its successes now.
[00:13:43.040 --> 00:13:47.000]   But there's the spirit, right?
[00:13:47.000 --> 00:13:49.920]   With desires for the things that are godly, things that are eternal,
[00:13:49.920 --> 00:13:53.520]   things that are heavenly, things that will exalt the Lord.
[00:13:53.520 --> 00:13:55.680]   And these two things are in opposition to each other.
[00:13:55.680 --> 00:14:01.160]   I believe sometimes people ask questions of like,
[00:14:01.160 --> 00:14:04.200]   how do I do this and how do I do that?
[00:14:04.200 --> 00:14:09.080]   But I think you and I know that ultimately, much of scripture will tell you,
[00:14:09.080 --> 00:14:14.520]   if that first step you're able to surrender your bent,
[00:14:14.520 --> 00:14:17.880]   your desire, and your longing, you're gonna win.
[00:14:18.960 --> 00:14:20.000]   You're gonna walk in the spirit.
[00:14:20.000 --> 00:14:26.280]   If you're willing to relent on whatever expectation that is worldly and
[00:14:26.280 --> 00:14:30.640]   fleshy, if you're willing to let go of that desire in your heart that says,
[00:14:30.640 --> 00:14:35.520]   I must have this to be happy, there's a lot of hope for you, okay?
[00:14:35.520 --> 00:14:38.280]   Scripture is very, very clear.
[00:14:38.280 --> 00:14:42.680]   Like there's, yes, is it complicated on how to do this and how to do that?
[00:14:42.680 --> 00:14:47.200]   Yes, but what scripture talks about is, actually, the man who's very,
[00:14:47.200 --> 00:14:51.640]   very strong, there's a man who can control this little guy in here that says,
[00:14:51.640 --> 00:14:53.240]   I want what I want.
[00:14:53.240 --> 00:14:56.520]   And that's why in Book of Proverbs it says,
[00:14:56.520 --> 00:15:00.160]   the man who has self-control is actually mightier than the man who overtakes cities.
[00:15:00.160 --> 00:15:05.680]   There's a kind of strength that just, when you can control this, man,
[00:15:05.680 --> 00:15:09.400]   a lot of opportunities open up for you.
[00:15:09.400 --> 00:15:12.520]   But unfortunately, what I found in this generation is a lot of people talking
[00:15:12.520 --> 00:15:15.160]   about the frustration so hard, da, da, da, da, da.
[00:15:16.600 --> 00:15:21.400]   And a lot of times in the moment of the frustration, in the moment of that feeling
[00:15:21.400 --> 00:15:25.600]   like it's so tiring just fighting against your flesh and the desires of your heart,
[00:15:25.600 --> 00:15:30.000]   they turn around and almost feel like it's a noble thing to follow this passion.
[00:15:30.000 --> 00:15:33.920]   And I wanna talk about that a little bit.
[00:15:33.920 --> 00:15:37.720]   Again, you guys know I kinda like teasing and using the dating analogy.
[00:15:37.720 --> 00:15:40.880]   Sometimes when a guy comes to me and we start talking about stuff and
[00:15:40.880 --> 00:15:44.200]   then we get into the conversation about dating, it's not every time,
[00:15:44.200 --> 00:15:45.160]   just sometimes, right?
[00:15:46.480 --> 00:15:49.720]   I like to tease and I'm like, who do you like, and all that kind of stuff.
[00:15:49.720 --> 00:15:55.800]   And then when they say, I like so and so, sometimes I like to tease and
[00:15:55.800 --> 00:16:00.480]   I'll ask them, isn't it tiring when you want something so bad?
[00:16:00.480 --> 00:16:06.520]   [LAUGH] But there you are, not knowing what to say, what to do.
[00:16:06.520 --> 00:16:08.360]   Isn't it tiring, this chase?
[00:16:08.360 --> 00:16:10.120]   They're like, yes, it is.
[00:16:10.120 --> 00:16:13.760]   [LAUGH] And then I tease and I say, you gotta do something about that.
[00:16:13.760 --> 00:16:15.440]   They're like, yeah, maybe I should.
[00:16:15.440 --> 00:16:16.560]   And I go, fail.
[00:16:16.560 --> 00:16:21.240]   [LAUGH] You can't just ask somebody out or do something because you're tired.
[00:16:21.240 --> 00:16:22.000]   What are you thinking?
[00:16:22.000 --> 00:16:26.120]   Sometimes you just gotta set people up for failure.
[00:16:26.120 --> 00:16:26.960]   It humbles us.
[00:16:26.960 --> 00:16:32.200]   [LAUGH] And it makes us think about life in total, okay?
[00:16:32.200 --> 00:16:37.800]   Now I'm being facetious here, but more so what I'm talking about here is,
[00:16:37.800 --> 00:16:42.160]   I think we recognize, the reason why I bring that up is because
[00:16:42.160 --> 00:16:46.000]   sometimes we're very frustrated with ourselves because, again,
[00:16:46.000 --> 00:16:48.640]   admittedly so, topics like dating.
[00:16:48.640 --> 00:16:53.880]   I don't just talk about it just cuz it's fun, but
[00:16:53.880 --> 00:16:57.960]   because I recognize it is an absolute reality that we end up thinking about it
[00:16:57.960 --> 00:17:01.640]   a lot and so it takes a ton of space in our real estate of our mind, right?
[00:17:01.640 --> 00:17:06.160]   And some of us are very frustrated because I would like to not think of it, but
[00:17:06.160 --> 00:17:08.120]   it's just there, right?
[00:17:08.120 --> 00:17:10.720]   How do we fight that?
[00:17:10.720 --> 00:17:14.840]   And then it's not just dating because if we're not able to control that,
[00:17:14.840 --> 00:17:16.760]   then the next thing will just come along.
[00:17:16.760 --> 00:17:20.640]   It could be, again, desires for a certain kind of lifestyle.
[00:17:20.640 --> 00:17:23.640]   Median American living, right?
[00:17:23.640 --> 00:17:25.160]   Average America.
[00:17:25.160 --> 00:17:29.280]   It could be, if some of you guys, you're in the thick of it where you long to
[00:17:29.280 --> 00:17:34.320]   purchase a home and you realize, my goodness, staring at Redfin,
[00:17:34.320 --> 00:17:36.480]   three hours can go by like this.
[00:17:36.480 --> 00:17:44.200]   You recognize just the pull and it's so evident, as this passage would say, right?
[00:17:44.200 --> 00:17:49.600]   And so my mini kind of talk here is thinking through, yes,
[00:17:49.600 --> 00:17:54.800]   the battle for holiness is an ongoing battle that is difficult.
[00:17:54.800 --> 00:17:59.000]   Yes, that battle for holiness can take lots of different shapes.
[00:17:59.000 --> 00:18:03.680]   Different moments will come at us in just basically different faces.
[00:18:03.680 --> 00:18:07.360]   But ultimately, there's a simplicity to it, right?
[00:18:07.360 --> 00:18:09.160]   And that simplicity is revealed to us here.
[00:18:09.160 --> 00:18:15.880]   The fruit of your flesh, it all comes from this desire of I want what I want, though.
[00:18:15.880 --> 00:18:20.560]   And a lot of times, we're going to wrestle with the thought of not sometimes brazen,
[00:18:20.560 --> 00:18:23.360]   like I'm just gonna have it, I don't care what you say, God.
[00:18:23.360 --> 00:18:26.800]   To the, well, I'm gonna try and see if I can get it no matter,
[00:18:26.800 --> 00:18:29.960]   like whatever way possible while not compromising.
[00:18:29.960 --> 00:18:34.440]   And then a lot of times we'll say, well, conditionally, if I could have both,
[00:18:34.440 --> 00:18:37.920]   both the very, very godly person with all the superficial stuff,
[00:18:37.920 --> 00:18:40.440]   all combined to a nice package, I want that.
[00:18:40.440 --> 00:18:44.400]   [LAUGH] We're gonna put it into different words, but
[00:18:44.400 --> 00:18:48.240]   ultimately it comes down to that kind of fight.
[00:18:48.240 --> 00:18:51.720]   Your desires will make all kinds of rationalizations.
[00:18:51.720 --> 00:18:54.600]   It'll take different shapes and forms and sizes.
[00:18:54.600 --> 00:18:59.520]   But ultimately, he will ask us the question, by the power of the spirit,
[00:18:59.520 --> 00:19:03.000]   can we relent in the desires of our heart?
[00:19:03.000 --> 00:19:06.360]   Because the desires of your heart show you quite often,
[00:19:06.360 --> 00:19:11.040]   more evidently, how holy you are, right?
[00:19:11.040 --> 00:19:16.400]   I'm gonna repeat this phrase because I think it is appropriate.
[00:19:16.400 --> 00:19:20.720]   A lot of times people will say, you are what you eat, okay?
[00:19:20.720 --> 00:19:22.680]   What goes into you, that's what you become.
[00:19:22.680 --> 00:19:27.640]   Biblically speaking, you are what you desire, right?
[00:19:27.640 --> 00:19:31.040]   You're going to end up, so long as you desire the Lord,
[00:19:31.040 --> 00:19:32.600]   you're gonna desire to imitate him.
[00:19:32.600 --> 00:19:36.040]   So long as you desire the world, you will follow after the world pattern.
[00:19:36.040 --> 00:19:38.480]   You will become what you long for.
[00:19:38.480 --> 00:19:41.560]   And the desires of your heart and the affections of your heart,
[00:19:41.560 --> 00:19:46.640]   that a lot of times shows you a greater picture of how mature you are,
[00:19:46.640 --> 00:19:50.360]   how superficial you are, or how holy you are, amen?
[00:19:50.360 --> 00:19:52.520]   Let's take a moment to pray over that brief talk.
[00:19:57.440 --> 00:20:05.560]   Heavenly Father, we wish sometimes that we could just take a hold of our heart,
[00:20:05.560 --> 00:20:11.280]   you know, dig into our soul and just grab onto all those stubborn,
[00:20:11.280 --> 00:20:16.000]   resilient, fleshly desires we have.
[00:20:16.000 --> 00:20:19.360]   Desires for recognition, desires to please people,
[00:20:19.360 --> 00:20:23.240]   desire for success and ambition, desires for earthly gain,
[00:20:23.240 --> 00:20:27.080]   desires for lust and sexual pleasure.
[00:20:27.080 --> 00:20:29.480]   The list can go on, Lord.
[00:20:29.480 --> 00:20:31.680]   The list can just keep going on.
[00:20:31.680 --> 00:20:36.720]   But I pray, God, that you will teach us what it means just step by step,
[00:20:36.720 --> 00:20:44.360]   one thing at a time, to surrender our ambitions, our desires,
[00:20:44.360 --> 00:20:47.640]   not simply to relent, but to surrender those things,
[00:20:47.640 --> 00:20:51.320]   and then fully buy into your desires.
[00:20:51.320 --> 00:20:55.360]   I pray, Father God, that the longings of our heart, the meditations,
[00:20:55.360 --> 00:20:59.040]   the fantasies, that these things will be godly,
[00:20:59.040 --> 00:21:01.120]   that these things will be holy.
[00:21:01.120 --> 00:21:04.840]   I pray, Father God, from the beginning portions of our minds,
[00:21:04.840 --> 00:21:09.920]   what we picture to be good, pleasing, joyful, and success for us,
[00:21:09.920 --> 00:21:13.640]   that inside the sanctuary of our minds, it would be pure.
[00:21:13.640 --> 00:21:16.040]   And I pray, Father God, that you would help us in that end,
[00:21:16.040 --> 00:21:19.600]   that from internally, the things that we long for
[00:21:19.600 --> 00:21:21.240]   would be pleasing to you.
[00:21:21.240 --> 00:21:22.840]   We thank you, it's in Christ's name.
[00:21:22.840 --> 00:21:24.240]   Amen.
[00:21:24.240 --> 00:21:26.120]   Okay.
[00:21:26.120 --> 00:21:29.920]   So, we're going to move now into a time of Q&A.
[00:21:29.920 --> 00:21:36.360]   And again, please feel free to message about topics of,
[00:21:36.360 --> 00:21:39.200]   if you've ever been confused about like,
[00:21:39.200 --> 00:21:42.960]   what conceptually does this aspect of holiness mean?
[00:21:42.960 --> 00:21:45.400]   Or there are a lot of questions about,
[00:21:45.400 --> 00:21:50.520]   hey, where is the balance of legalistically forbidding some things
[00:21:50.520 --> 00:21:55.400]   versus allowing there to be, right, like room for you to live
[00:21:55.400 --> 00:21:58.040]   and work out your salvation with fear and trembling?
[00:21:58.040 --> 00:22:03.880]   So, any of those questions would be okay.
[00:22:03.880 --> 00:22:09.720]   I'm going to tackle a question pertaining to,
[00:22:09.720 --> 00:22:15.160]   is it sinful, okay, is it holy to want to retire early?
[00:22:15.160 --> 00:22:17.360]   Okay, to want to retire early.
[00:22:17.360 --> 00:22:23.480]   And I like this question a lot because I think it touches upon something
[00:22:23.480 --> 00:22:28.640]   that really is for us living here in Orange County in America,
[00:22:28.640 --> 00:22:31.320]   we have to keep an eye out for.
[00:22:31.320 --> 00:22:34.720]   If we're just being watchful, we really have to keep an eye out for.
[00:22:34.720 --> 00:22:40.440]   Meaning, at some spectrum of your longing and desire,
[00:22:40.440 --> 00:22:46.840]   it turns into an unholy desire or a permissible desire, right?
[00:22:46.840 --> 00:22:50.720]   And along with it comes a lot of different things
[00:22:50.720 --> 00:22:52.120]   that we've been talking about recently.
[00:22:52.120 --> 00:22:55.800]   So, what I'm talking about is,
[00:22:55.800 --> 00:22:59.360]   you can move things around for financial gain
[00:22:59.360 --> 00:23:03.280]   so that you can have lots of privileges and opportunities.
[00:23:03.280 --> 00:23:04.720]   And what I'm specifically talking about for us,
[00:23:04.720 --> 00:23:06.520]   a lot of people have been talking about,
[00:23:06.520 --> 00:23:11.320]   dude, do you want to pack up and plant a church in Texas, right?
[00:23:11.320 --> 00:23:14.160]   Or I heard, oh man, I can't remember the name of the city.
