
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:01:54.240 --> 00:01:55.080]   - No, likewise.
[00:01:55.080 --> 00:01:56.280]   I've been excited to chat to you.
[00:01:56.280 --> 00:01:58.080]   You definitely are building an amazing community,
[00:01:58.080 --> 00:02:00.480]   and I've read your blogs with a lot of interest.
[00:02:00.480 --> 00:02:02.120]   - Yeah, and based on this,
[00:02:02.120 --> 00:02:03.240]   I'm gonna have to write up Human Loop.
[00:02:03.240 --> 00:02:05.680]   So this actually forces me to get to know Human Loop
[00:02:05.680 --> 00:02:06.520]   a lot better.
[00:02:06.520 --> 00:02:07.340]   - Awesome, looking forward to it.
[00:02:07.340 --> 00:02:08.880]   - So I'll do a little quick intro of you,
[00:02:08.880 --> 00:02:11.560]   and then you can fill in with any personal side things.
[00:02:11.560 --> 00:02:12.400]   - Sure.
[00:02:12.400 --> 00:02:17.400]   - So you got your MSc and doctorate at UCL.
[00:02:17.400 --> 00:02:20.080]   It says here, machine learning
[00:02:20.080 --> 00:02:21.480]   and computational statistics,
[00:02:21.480 --> 00:02:23.720]   which are, I think, mostly the same thing.
[00:02:23.720 --> 00:02:25.120]   - Yeah, so the master's program's called
[00:02:25.120 --> 00:02:26.600]   machine learning and computational statistics,
[00:02:26.600 --> 00:02:29.120]   and then my PhD was just in probabilistic deep learning.
[00:02:29.120 --> 00:02:31.920]   So trying to combine graphical models
[00:02:31.920 --> 00:02:33.760]   and Bayesian-style approaches to machine learning
[00:02:33.760 --> 00:02:34.600]   with deep learning.
[00:02:34.600 --> 00:02:35.600]   - Yeah, awesome.
[00:02:35.600 --> 00:02:37.980]   And did you meet Jordan in Cambridge?
[00:02:37.980 --> 00:02:39.680]   - So Jordan and I overlapped at Cambridge a bit.
[00:02:39.680 --> 00:02:41.360]   We didn't know each other super well,
[00:02:41.360 --> 00:02:43.160]   and we actually met properly for the first time
[00:02:43.160 --> 00:02:44.360]   at a PhD open day,
[00:02:44.360 --> 00:02:45.960]   and I ended up doing the PhD.
[00:02:45.960 --> 00:02:47.840]   He ended up going to work for a startup
[00:02:47.840 --> 00:02:50.560]   called Bloomsbury AI that got acquired by Facebook.
[00:02:50.560 --> 00:02:54.000]   But hilariously, his first boss was my master supervisor.
[00:02:54.000 --> 00:02:55.240]   And so even though we didn't end up
[00:02:55.240 --> 00:02:56.840]   sort of doing PhDs together,
[00:02:56.840 --> 00:02:59.680]   I was often in their offices in the early years.
[00:02:59.680 --> 00:03:01.240]   - Yeah, very small world.
[00:03:01.240 --> 00:03:03.520]   And we can talk about being in other people's offices,
[00:03:03.520 --> 00:03:05.880]   'cause we are in someone else's office.
[00:03:05.880 --> 00:03:08.260]   - Yeah, so we're in the offices of Local Globe
[00:03:08.260 --> 00:03:09.100]   at Phoenix Court.
[00:03:09.100 --> 00:03:11.700]   Local Globe is one of the best seed investors in Europe,
[00:03:11.700 --> 00:03:14.360]   and they were one of our first investors.
[00:03:14.360 --> 00:03:16.800]   And they have, yeah, just these incredible facilities.
[00:03:16.800 --> 00:03:18.000]   You saw it just now outside,
[00:03:18.000 --> 00:03:20.520]   a space for a hub for all their startups
[00:03:20.520 --> 00:03:22.160]   and other companies in the ecosystem
[00:03:22.160 --> 00:03:23.800]   to come work from their offices.
[00:03:23.800 --> 00:03:25.720]   And they provide these podcasting studios
[00:03:25.720 --> 00:03:28.360]   and all sorts of really useful resources
[00:03:28.360 --> 00:03:31.280]   that I think is helping grow the community in Europe.
[00:03:31.280 --> 00:03:32.600]   - Yeah, and you said something
[00:03:32.600 --> 00:03:33.560]   which I found really interesting.
[00:03:33.560 --> 00:03:34.960]   They put on a lease.
[00:03:34.960 --> 00:03:36.880]   They have the building for 25 years.
[00:03:36.880 --> 00:03:38.520]   - Yeah, I can't remember if it's 25 or 20,
[00:03:38.520 --> 00:03:39.520]   but a really long time.
[00:03:39.520 --> 00:03:41.400]   They've made a conscious decision
[00:03:41.400 --> 00:03:43.840]   to invest in what is not one of the wealthiest parts
[00:03:43.840 --> 00:03:45.040]   of the city of London,
[00:03:45.040 --> 00:03:46.600]   and give themselves a base here,
[00:03:46.600 --> 00:03:47.660]   go where the action is,
[00:03:47.660 --> 00:03:49.800]   and also try and invest in the local community
[00:03:49.800 --> 00:03:51.720]   for the long term and give back as well.
[00:03:51.720 --> 00:03:52.680]   I find that really inspiring.
[00:03:52.680 --> 00:03:55.080]   They think not just about how do we build
[00:03:55.080 --> 00:03:56.880]   truly epic companies and technology,
[00:03:56.880 --> 00:03:58.760]   but what is the social impact of what we're doing,
[00:03:58.760 --> 00:04:00.160]   and I have a lot of respect for that.
[00:04:00.160 --> 00:04:01.200]   - Yeah, it's pretty important.
[00:04:01.200 --> 00:04:03.480]   And something I care about in SF as well,
[00:04:03.480 --> 00:04:05.240]   which has its own issues.
[00:04:05.240 --> 00:04:07.240]   So coming back to your backgrounds,
[00:04:07.240 --> 00:04:09.600]   while you were going through your studies,
[00:04:09.600 --> 00:04:12.880]   you also did some internships in the buy side in finance,
[00:04:12.880 --> 00:04:14.520]   which is something we connected about.
[00:04:14.520 --> 00:04:18.680]   - Yeah, so I did some buy side internships in quant finance.
[00:04:18.680 --> 00:04:21.360]   I spent a year almost at Google AI
[00:04:21.360 --> 00:04:23.240]   working on their speech synthesis teams,
[00:04:23.240 --> 00:04:25.960]   and I helped a really close friend start his first company,
[00:04:25.960 --> 00:04:27.600]   a company called Monolith AI,
[00:04:27.600 --> 00:04:30.400]   that was doing machine learning for physical engineering.
[00:04:30.400 --> 00:04:31.520]   So really high stakes.
[00:04:31.520 --> 00:04:34.120]   Our first customer was McLaren, which was really cool.
[00:04:34.120 --> 00:04:35.660]   So a day a week of my PhD,
[00:04:35.660 --> 00:04:37.000]   I was sitting in the McLaren offices,
[00:04:37.000 --> 00:04:39.120]   literally next to, and I mean literally,
[00:04:39.120 --> 00:04:41.760]   like I could almost reach out and touch it on F1 car,
[00:04:41.760 --> 00:04:43.440]   and we were trying to help them use machine learning
[00:04:43.440 --> 00:04:45.800]   to reduce how much physical testing they had to do.
[00:04:45.800 --> 00:04:47.880]   - Right, so simulations?
[00:04:47.880 --> 00:04:49.860]   - Simulations, so surrogate modeling.
[00:04:49.860 --> 00:04:52.600]   Can you take these very expensive CFD solvers
[00:04:52.600 --> 00:04:54.280]   and replace them with neural nets?
[00:04:54.280 --> 00:04:55.720]   And also active learning.
[00:04:55.720 --> 00:04:57.920]   So they do a lot of physical experiments
[00:04:57.920 --> 00:04:59.680]   that if you run an experiment,
[00:04:59.680 --> 00:05:01.440]   you get some amount of information back,
[00:05:01.440 --> 00:05:02.760]   and then you do something really similar,
[00:05:02.760 --> 00:05:04.760]   and a bit of the information overlaps.
[00:05:04.760 --> 00:05:06.920]   And so they would put a car in a wind tunnel, for example,
[00:05:06.920 --> 00:05:09.320]   and they'd sort of adjust the ride heights of the car
[00:05:09.320 --> 00:05:11.440]   at all four different corners and measure all of them,
[00:05:11.440 --> 00:05:12.720]   which is really wasteful,
[00:05:12.720 --> 00:05:14.380]   and you spend a whole day in the wind tunnel.
[00:05:14.380 --> 00:05:17.080]   So we had an AI system that would basically take the results
[00:05:17.080 --> 00:05:18.720]   of the most recent tests you did and say,
[00:05:18.720 --> 00:05:21.360]   okay, the ones that you'll learn the most from
[00:05:21.360 --> 00:05:22.560]   are this set of experiments.
[00:05:22.560 --> 00:05:23.960]   You should do these experiments next,
[00:05:23.960 --> 00:05:25.240]   you'll learn a lot quicker.
[00:05:25.240 --> 00:05:27.600]   Which is a very similar technique that we used
[00:05:27.600 --> 00:05:28.720]   at the early days of HumanLoop
[00:05:28.720 --> 00:05:30.480]   to make machine learning models
[00:05:30.480 --> 00:05:31.560]   learn more efficiently as well.
[00:05:31.560 --> 00:05:33.720]   - Yeah, I get the sense, by the way,
[00:05:33.720 --> 00:05:35.320]   I've talked to a number of startups
[00:05:35.320 --> 00:05:37.560]   that started with the active learning route.
[00:05:37.560 --> 00:05:40.860]   It's not as relevant these days with language models.
[00:05:40.860 --> 00:05:42.360]   - So I think it's way less relevant
[00:05:42.360 --> 00:05:45.240]   because you need so much less annotated data.
[00:05:45.240 --> 00:05:46.200]   That's the big change.
[00:05:46.200 --> 00:05:48.700]   But I also think it's actually really hard to productize.
[00:05:48.700 --> 00:05:51.800]   So even if you get active learning working really well,
[00:05:51.800 --> 00:05:54.040]   and I think the techniques can work extremely well,
[00:05:54.040 --> 00:05:56.800]   it's difficult to abstract it in such a way
[00:05:56.800 --> 00:05:58.320]   that you can plug your own model in.
[00:05:58.320 --> 00:06:00.700]   So you end up either having to own the model,
[00:06:00.700 --> 00:06:03.640]   like, I think OpenAI could probably do this internally,
[00:06:03.640 --> 00:06:06.480]   but trying to go to a machine learning engineer
[00:06:06.480 --> 00:06:08.280]   and sort of let them plug their model
[00:06:08.280 --> 00:06:10.180]   into an active learning system that works well
[00:06:10.180 --> 00:06:11.560]   is a really hard challenge.
[00:06:11.560 --> 00:06:13.000]   - Yeah, yeah.
[00:06:13.000 --> 00:06:14.620]   - And from a business perspective,
[00:06:14.620 --> 00:06:16.720]   it's also a little bit frustrating
[00:06:16.720 --> 00:06:18.900]   because it's almost a hidden ROI.
[00:06:18.900 --> 00:06:19.980]   Like when you do succeed,
[00:06:19.980 --> 00:06:22.280]   it's very difficult to prove to the person who used it
[00:06:22.280 --> 00:06:24.780]   how much data you, like labeling you saved them.
[00:06:24.780 --> 00:06:27.080]   And 'cause they never do the direct comparison
[00:06:27.080 --> 00:06:28.660]   of also labeling at random, right?
[00:06:28.660 --> 00:06:29.900]   'Cause it's too expensive.
[00:06:29.900 --> 00:06:32.860]   And so you might've saved them 40% of their labeling costs,
[00:06:32.860 --> 00:06:34.860]   which might've been hundreds of thousands of dollars,
[00:06:34.860 --> 00:06:37.740]   but it's really difficult for them to like measure that ROI.
[00:06:37.740 --> 00:06:40.420]   - Yeah, I think like with anything,
[00:06:40.420 --> 00:06:41.500]   you have to have a commitment
[00:06:41.500 --> 00:06:43.340]   to good process and good science.
[00:06:43.340 --> 00:06:45.320]   And trust that that actually does work out
[00:06:45.320 --> 00:06:49.240]   without evidence or a counterfactual, you know, tests
[00:06:49.240 --> 00:06:50.220]   or like a control group,
[00:06:50.220 --> 00:06:52.540]   because that would be an extreme waste of money.
[00:06:52.540 --> 00:06:53.380]   (both laughing)
[00:06:53.380 --> 00:06:54.420]   - Absolutely.
[00:06:54.420 --> 00:06:56.980]   - So the chronology here is super interesting, right?
[00:06:56.980 --> 00:07:01.040]   Because you started your PhD in 2017.
[00:07:01.040 --> 00:07:03.460]   You just got it in 2022, about a year ago.
[00:07:03.460 --> 00:07:04.300]   - Yeah, that's right.
[00:07:04.300 --> 00:07:08.340]   - So that overlapped with your work on monolith AI.
[00:07:08.340 --> 00:07:10.800]   And then you also started Human Loop in 2020.
[00:07:10.800 --> 00:07:13.420]   So just take me through that interesting journey.
[00:07:13.420 --> 00:07:16.040]   - So I wouldn't recommend this by the way.
[00:07:16.040 --> 00:07:18.920]   Like I'm a big advocate of focus within Human Loop.
[00:07:18.920 --> 00:07:20.560]   We try to be very focused,
[00:07:20.560 --> 00:07:22.880]   but I also just always had this itch
[00:07:22.880 --> 00:07:24.780]   to be part of companies and building things.
[00:07:24.780 --> 00:07:27.960]   And to be fair, I think it helped as a researcher
[00:07:27.960 --> 00:07:30.320]   because it gave you tangible real world problems
[00:07:30.320 --> 00:07:31.140]   and experience.
[00:07:31.140 --> 00:07:33.240]   I think in academia, it's really easy otherwise
[00:07:33.240 --> 00:07:35.840]   to just work on things that seem interesting to you,
[00:07:35.840 --> 00:07:37.820]   but maybe don't have such a big impact.
[00:07:37.820 --> 00:07:40.440]   So the way it came about, I was in the PhD
[00:07:40.440 --> 00:07:42.760]   and a very close friend, Richard Alfeld,
[00:07:42.760 --> 00:07:44.600]   who's now the CEO and founder of Monolith AI.
[00:07:44.600 --> 00:07:47.300]   They're a series A, almost series B company.
[00:07:47.300 --> 00:07:49.680]   And he was starting this company, came to me and he said,
[00:07:49.680 --> 00:07:51.720]   "I need someone who's on the ML side.
[00:07:51.720 --> 00:07:53.880]   "Just whilst I'm getting started, can you help out?"
[00:07:53.880 --> 00:07:54.720]   And so it was meant to be
[00:07:54.720 --> 00:07:56.540]   this very short term thing initially.
[00:07:56.540 --> 00:07:57.520]   I got sucked into it.
[00:07:57.520 --> 00:07:59.080]   I was spending at least a day a week,
[00:07:59.080 --> 00:08:02.360]   if not more of my PhD early on, but it was really fun.
[00:08:02.360 --> 00:08:03.800]   We were sitting in the offices of McLaren.
[00:08:03.800 --> 00:08:04.760]   They were our first customer.
[00:08:04.760 --> 00:08:06.120]   I think Airbus was an early customer.
[00:08:06.120 --> 00:08:07.800]   I helped hire the early team.
[00:08:07.800 --> 00:08:09.440]   And it was a really good experience
[00:08:09.440 --> 00:08:12.560]   of trying to do machine learning in the real world
[00:08:12.560 --> 00:08:14.060]   in high stakes situations, right?
[00:08:14.060 --> 00:08:15.640]   Physical engineering and understanding
[00:08:15.640 --> 00:08:16.960]   what did and didn't work.
[00:08:16.960 --> 00:08:18.560]   So I'm really glad I got that experience
[00:08:18.560 --> 00:08:21.660]   and it made me much more excited about starting a company.
[00:08:21.660 --> 00:08:23.080]   But that was still a part-time thing.
[00:08:23.080 --> 00:08:26.360]   And I think my supervisors sort of knew I was doing it,
[00:08:26.360 --> 00:08:29.320]   but it was a low enough time commitment that I could hide
[00:08:29.320 --> 00:08:32.080]   and still be focused on my PhD most of the time.
[00:08:32.080 --> 00:08:33.440]   With Human Loop, it was different.
[00:08:33.440 --> 00:08:34.680]   Like the way Human Loop came about,
[00:08:34.680 --> 00:08:37.440]   I came back from doing my internship at Google
[00:08:37.440 --> 00:08:41.040]   in Mountain View and doing the internship at Google
[00:08:41.040 --> 00:08:42.240]   convinced me that I loved Google,
[00:08:42.240 --> 00:08:43.720]   but I didn't want to work there in the near term.
[00:08:43.720 --> 00:08:45.720]   I wanted to be working in a space
[00:08:45.720 --> 00:08:47.160]   where there was a lot more urgency,
[00:08:47.160 --> 00:08:48.920]   where it felt existential, where we were all
[00:08:48.920 --> 00:08:52.400]   focused on the same problem as a team pulling together.
[00:08:52.400 --> 00:08:54.160]   And at Google, it just felt like you were
[00:08:54.160 --> 00:08:55.320]   part of something very big.
[00:08:55.320 --> 00:08:58.560]   I was surrounded by really smart, really capable people.
[00:08:58.560 --> 00:08:59.840]   I learned a lot from them.
[00:08:59.840 --> 00:09:01.480]   But the environment was more comfortable.
[00:09:01.480 --> 00:09:03.720]   And I wanted to be in a small--
[00:09:03.720 --> 00:09:05.440]   I wanted to be a startup, really.
[00:09:05.440 --> 00:09:07.280]   And so when I came back from Google,
[00:09:07.280 --> 00:09:09.020]   I sort of started thinking about ideas
[00:09:09.020 --> 00:09:10.840]   and speaking to the smartest people
[00:09:10.840 --> 00:09:13.240]   I knew to kind of see whether we could do something
[00:09:13.240 --> 00:09:14.560]   for when I finished the PhD.
[00:09:14.560 --> 00:09:15.360]   That was the point.
[00:09:15.360 --> 00:09:16.680]   I was just doing research.
[00:09:16.680 --> 00:09:19.080]   But Peter Jordan and I started working together
[00:09:19.080 --> 00:09:19.920]   in that process.
[00:09:19.920 --> 00:09:21.920]   We were all at a similar stage of kind of trying
[00:09:21.920 --> 00:09:23.280]   to find other people we might want
[00:09:23.280 --> 00:09:24.480]   to work on side projects with.
[00:09:24.480 --> 00:09:27.800]   And one of the side projects basically became Human Loop.
[00:09:27.800 --> 00:09:28.840]   And we got into YC.
[00:09:28.840 --> 00:09:30.420]   And we were like, OK, well, this is a great opportunity.
[00:09:30.420 --> 00:09:31.800]   Let's go do it.
[00:09:31.800 --> 00:09:34.760]   And just kind of one domino fell after another.
[00:09:34.760 --> 00:09:37.400]   And so didn't quite finish the PhD,
[00:09:37.400 --> 00:09:40.040]   but had enough research that I probably
[00:09:40.040 --> 00:09:41.480]   could have been writing up.
[00:09:41.480 --> 00:09:43.520]   And so at some point, I got an email from UCL.
[00:09:43.520 --> 00:09:46.100]   And they were like, if you don't submit in the next whatever--
[00:09:46.100 --> 00:09:46.800]   I think it was two months--
[00:09:46.800 --> 00:09:47.440]   It expires.
[00:09:47.440 --> 00:09:48.880]   --then it expires.
[00:09:48.880 --> 00:09:52.200]   And I almost didn't do it because obviously running
[00:09:52.200 --> 00:09:53.600]   a startup is such a full-time gig.
[00:09:53.600 --> 00:09:55.560]   But I had invested a lot of time.
[00:09:55.560 --> 00:09:58.280]   The honest reason why I did it is two things.
[00:09:58.280 --> 00:10:00.400]   One, my grandfather, who recently passed away,
[00:10:00.400 --> 00:10:02.480]   had just really wanted to see me finish.
[00:10:02.480 --> 00:10:05.360]   And so probably not super rational,
[00:10:05.360 --> 00:10:07.440]   but I just wanted to do that for that reason.
[00:10:07.440 --> 00:10:09.440]   But the other is I really love teaching.
[00:10:09.440 --> 00:10:12.280]   When I was a PhD student, I did a lot of TAing.
[00:10:12.280 --> 00:10:14.120]   I TAed the courses at the Gatsby,
[00:10:14.120 --> 00:10:16.040]   which is the institute that Jeff Hinton started
[00:10:16.040 --> 00:10:17.320]   when he was there.
[00:10:17.320 --> 00:10:18.760]   And I really enjoyed that.
[00:10:18.760 --> 00:10:20.160]   And I just knew that having a PhD
[00:10:20.160 --> 00:10:22.240]   would make it easier one day to come back to that.
[00:10:22.240 --> 00:10:25.280]   If I want to do a little bit of teaching at a university,
[00:10:25.280 --> 00:10:26.880]   having that title helps.
[00:10:26.880 --> 00:10:28.400]   I don't know if they have adjunct appointments here
[00:10:28.400 --> 00:10:29.720]   or maybe lecturer appointments.
[00:10:29.720 --> 00:10:30.600]   Yeah, something like that.
[00:10:30.600 --> 00:10:32.760]   I can't imagine doing it whilst running the startup,
[00:10:32.760 --> 00:10:34.000]   but afterwards.
[00:10:34.000 --> 00:10:36.800]   I've always wondered if I can give back in some shape
[00:10:36.800 --> 00:10:37.560]   or form.
[00:10:37.560 --> 00:10:39.400]   But maybe you might with your podcast
[00:10:39.400 --> 00:10:40.920]   when you get that started.
[00:10:40.920 --> 00:10:42.560]   What was the original pitch for Human Loop?
[00:10:42.560 --> 00:10:44.440]   You said it grew out of a side project.
[00:10:44.440 --> 00:10:46.560]   Yeah, so when we started Human Loop,
[00:10:46.560 --> 00:10:49.120]   both Peter, Jordan, and I had this strong conviction
[00:10:49.120 --> 00:10:51.320]   about the fact that NLP was getting phenomenally better.
[00:10:51.320 --> 00:10:54.240]   This was before GPT-3, but after BERT,
[00:10:54.240 --> 00:10:56.960]   and after transfer learning had really started to work
[00:10:56.960 --> 00:10:59.600]   for NLP, that you could pre-train a large language model
[00:10:59.600 --> 00:11:02.320]   on an unlabeled corpus and really quickly adapt it
[00:11:02.320 --> 00:11:03.160]   to new situations.
[00:11:03.160 --> 00:11:04.560]   That was new for NLP.
[00:11:04.560 --> 00:11:06.600]   And was it GPT-1 and 2?
[00:11:06.600 --> 00:11:07.600]   Or just BERT?
[00:11:07.600 --> 00:11:08.760]   GPT-1 and 2, it happened.
[00:11:08.760 --> 00:11:10.360]   But we were thinking about BERT.
[00:11:10.360 --> 00:11:13.200]   We were thinking about ULM-FIT as the first milestones that
[00:11:13.200 --> 00:11:14.920]   showed that this was possible.
[00:11:14.920 --> 00:11:17.680]   And it was very clear that as a result,
[00:11:17.680 --> 00:11:21.400]   there was going to be a huge wave of new, useful
[00:11:21.400 --> 00:11:24.000]   applications that enterprises could build on NLP that
[00:11:24.000 --> 00:11:26.560]   weren't previously possible, but that there was still
[00:11:26.560 --> 00:11:28.440]   a huge lack of technical expertise,
[00:11:28.440 --> 00:11:31.600]   and annotated data was still a big bottleneck.
[00:11:31.600 --> 00:11:35.200]   So we were always trying to make it a lot easier for developers
[00:11:35.200 --> 00:11:39.080]   and for companies to adopt NLP and build useful AI products.
[00:11:39.080 --> 00:11:42.120]   But at the time that we started, the bottleneck was mostly,
[00:11:42.120 --> 00:11:43.720]   OK, do you have the right ML expertise,
[00:11:43.720 --> 00:11:45.520]   and can you get enough annotated data?
[00:11:45.520 --> 00:11:47.520]   And so those were the problems we were initially
[00:11:47.520 --> 00:11:48.640]   helping people solve.
[00:11:48.640 --> 00:11:51.000]   And when GPT-3 came out, I wrote a blog post
[00:11:51.000 --> 00:11:52.160]   about this at the time.
[00:11:52.160 --> 00:11:54.000]   It was very clear that this was going to be the future,
[00:11:54.000 --> 00:11:56.080]   that actually, because in-context learning was
[00:11:56.080 --> 00:11:58.880]   starting to work, the amount of annotated data you would need
[00:11:58.880 --> 00:12:00.480]   was going to go down a lot.
[00:12:00.480 --> 00:12:02.360]   But until the InstructGPT papers,
[00:12:02.360 --> 00:12:03.840]   it still didn't feel practical.
[00:12:03.840 --> 00:12:07.440]   But after InstructGPT came out, once you've kind of mentally
[00:12:07.440 --> 00:12:09.000]   done that shift, it's very hard to keep
[00:12:09.000 --> 00:12:10.640]   working on anything else.
[00:12:10.640 --> 00:12:14.560]   And so a little over a year ago, we pivoted.
[00:12:14.560 --> 00:12:17.080]   And that was scary, because we had a thing that was working.
[00:12:17.080 --> 00:12:18.280]   We had paying customers.
[00:12:18.280 --> 00:12:19.360]   It was growing reasonably.
[00:12:19.360 --> 00:12:20.480]   We'd raised money.
[00:12:20.480 --> 00:12:22.920]   And we went to our investors at the time.
[00:12:22.920 --> 00:12:24.520]   And I remember having a conversation.
[00:12:24.520 --> 00:12:25.800]   We did a market size estimate.
[00:12:25.800 --> 00:12:27.560]   I actually filled out the YC application,
[00:12:27.560 --> 00:12:28.600]   because I think the YC application is
[00:12:28.600 --> 00:12:30.480]   like the simplest business model you could possibly build,
[00:12:30.480 --> 00:12:30.640]   right?
[00:12:30.640 --> 00:12:31.280]   What are you going to build?
[00:12:31.280 --> 00:12:31.880]   Who is it for?
[00:12:31.880 --> 00:12:32.640]   How are you going to make money?
[00:12:32.640 --> 00:12:33.880]   How big is the market?
[00:12:33.880 --> 00:12:35.640]   And I did the market size question.
[00:12:35.640 --> 00:12:36.840]   And at the time, we did it.
[00:12:36.840 --> 00:12:39.280]   And I was like, I reckon there are maybe three or maybe 400
[00:12:39.280 --> 00:12:41.800]   companies in the world who might need a product like this.
[00:12:41.800 --> 00:12:44.280]   And the assumption was that, OK, it's tiny today.
[00:12:44.280 --> 00:12:45.880]   It's mostly a small number of startups.
[00:12:45.880 --> 00:12:47.840]   But it will be huge in the future.
[00:12:47.840 --> 00:12:49.880]   And that turned out clearly to be right.
[00:12:49.880 --> 00:12:52.200]   I didn't realize how quickly it would happen.
[00:12:52.200 --> 00:12:52.700]   Yeah.
[00:12:52.700 --> 00:12:55.560]   It's obviously surprised, I think, a lot of us.
[00:12:55.560 --> 00:12:58.600]   But you were paying attention to the research
[00:12:58.600 --> 00:13:01.640]   when I guess a lot of people were not necessarily
[00:13:01.640 --> 00:13:03.840]   looking at that.
[00:13:03.840 --> 00:13:07.960]   To my understanding, you didn't have previous NLP knowledge
[00:13:07.960 --> 00:13:09.400]   or background, right?
[00:13:09.400 --> 00:13:11.960]   You did speech synthesis.
[00:13:11.960 --> 00:13:12.960]   I did speech synthesis.
[00:13:12.960 --> 00:13:15.440]   I did fundamental methods in deep learning.
[00:13:15.440 --> 00:13:16.920]   So you weren't specialized in any--
[00:13:16.920 --> 00:13:17.800]   I wasn't specialized.
[00:13:17.800 --> 00:13:20.440]   I was working on generative models, variational inference.
[00:13:20.440 --> 00:13:21.280]   I would actually say that--
[00:13:21.280 --> 00:13:23.760]   How did you know this was the thing to focus on, right?
[00:13:23.760 --> 00:13:25.240]   Well, so the interesting thing is
[00:13:25.240 --> 00:13:27.840]   that you don't need any NLP expertise
[00:13:27.840 --> 00:13:30.880]   to have gotten the current wave of deep learning or machine
[00:13:30.880 --> 00:13:31.380]   learning.
[00:13:31.380 --> 00:13:33.840]   So anything, I think, having previous NLP expertise
[00:13:33.840 --> 00:13:35.240]   is almost a disadvantage.
[00:13:35.240 --> 00:13:38.440]   I took an NLP course in my master's course.
[00:13:38.440 --> 00:13:40.520]   Fantastic lecturer, fantastic group.
[00:13:40.520 --> 00:13:43.560]   But at the time, there was only one lecture on deep learning.
[00:13:43.560 --> 00:13:47.640]   And this was 2016, 2017 or something, or 2015, 2016.
