
[00:00:00.000 --> 00:00:03.480]   [VIDEO PLAYBACK]
[00:05:05.320 --> 00:05:09.320]   [CHILDREN SINGING]
[00:05:09.320 --> 00:05:13.320]   [CHILDREN SINGING]
[00:05:13.320 --> 00:05:17.320]   [CHILDREN SINGING]
[00:05:18.320 --> 00:05:21.320]   [CHILDREN SINGING]
[00:05:21.320 --> 00:05:25.320]   [CHILDREN SINGING]
[00:05:25.320 --> 00:05:29.320]   [CHILDREN SINGING]
[00:05:29.320 --> 00:05:33.320]   [CHILDREN SINGING]
[00:05:33.320 --> 00:05:37.320]   [CHILDREN SINGING]
[00:05:37.320 --> 00:05:41.320]   [CHILDREN SINGING]
[00:05:41.320 --> 00:05:45.320]   [CHILDREN SINGING]
[00:05:46.320 --> 00:05:49.320]   [CHILDREN SINGING]
[00:05:49.320 --> 00:05:53.320]   [CHILDREN SINGING]
[00:05:53.320 --> 00:05:57.320]   [CHILDREN SINGING]
[00:05:57.320 --> 00:06:01.320]   [CHILDREN SINGING]
[00:06:01.320 --> 00:06:05.320]   [CHILDREN SINGING]
[00:06:05.320 --> 00:06:09.320]   [CHILDREN SINGING]
[00:06:09.320 --> 00:06:13.320]   [CHILDREN SINGING]
[00:06:14.320 --> 00:06:17.320]   [CHILDREN SINGING]
[00:06:17.320 --> 00:06:21.320]   [CHILDREN SINGING]
[00:06:21.320 --> 00:06:25.320]   [CHILDREN SINGING]
[00:06:25.320 --> 00:06:29.320]   [CHILDREN SINGING]
[00:06:29.320 --> 00:06:33.320]   [CHILDREN SINGING]
[00:06:33.320 --> 00:06:37.320]   [CHILDREN SINGING]
[00:06:37.320 --> 00:06:41.320]   [CHILDREN SINGING]
[00:06:42.320 --> 00:06:45.320]   [CHILDREN SINGING]
[00:06:45.320 --> 00:06:49.320]   [APPLAUSE]
[00:06:49.320 --> 00:06:52.320]   [APPLAUSE]
[00:06:52.320 --> 00:06:55.320]   [APPLAUSE]
[00:06:55.320 --> 00:06:58.200]   (applause)

