
[00:00:00.000 --> 00:00:07.000]   [silence]
[00:03:51.000 --> 00:03:54.000]   So some of you guys may remember at that time after it happened,
[00:03:54.000 --> 00:04:01.000]   the Democrats and the Republicans stood linking arms at Capitol Hill saying that we're united,
[00:04:01.000 --> 00:04:05.000]   that we're going to fight this together, you know, and that was 19 years ago.
[00:04:05.000 --> 00:04:08.000]   Compare that to what's happening today.
[00:04:08.000 --> 00:04:15.000]   And so it's important for us to remember, remember the sacrifices, remember why that happened,
[00:04:15.000 --> 00:04:19.000]   remember our common enemy, so that it would affect the way that we view the world today
[00:04:19.000 --> 00:04:26.000]   and view the world going forward, so that we are cautioned not to allow that to happen again.
[00:04:26.000 --> 00:04:32.000]   Now, all of this to say, this is really, that's really the point that he's getting at, at the text that we're looking at.
[00:04:32.000 --> 00:04:37.000]   Last week we ended with probably the harshest warning that we see in the New Testament.
[00:04:37.000 --> 00:04:43.000]   Basically, he says that if you continue to keep drifting, that there is no sacrifice for sins, right?
[00:04:43.000 --> 00:04:47.000]   And it's a fearful thing to fall into the hands of the living God.
[00:04:47.000 --> 00:04:52.000]   And so there is a warning of intense judgment that's coming if you don't take this seriously
[00:04:52.000 --> 00:04:57.000]   and you continue to drift and thinking like this is okay, you know, and he said there's consequences.
[00:04:57.000 --> 00:05:02.000]   But remember, we also said that the reason why he says this is not simply to make you feel bad
[00:05:02.000 --> 00:05:06.000]   and feel guilty and feel heavy about your walk with God.
[00:05:06.000 --> 00:05:09.000]   It's to bring sinners to Christ.
[00:05:09.000 --> 00:05:14.000]   So if you are an unbeliever, that there is a judgment, there isn't, you don't just, you know,
[00:05:14.000 --> 00:05:19.000]   die and then just go into oblivion. The Bible says that you will meet a judge
[00:05:19.000 --> 00:05:25.000]   and he will judge us based upon all our sins, those that we know of, those that we do not know of.
[00:05:25.000 --> 00:05:29.000]   But even for those Christians, and particularly for those Christians who are drifting
[00:05:29.000 --> 00:05:33.000]   and is not taking it seriously, that I have all the time in the world, whenever I desire,
[00:05:33.000 --> 00:05:37.000]   I just do whatever I want and I'm just kind of waiting to get to heaven.
[00:05:37.000 --> 00:05:42.000]   And again, it serves as a warning to take this seriously.
[00:05:42.000 --> 00:05:47.000]   But the goal of what he says is really to bring them to him.
[00:05:47.000 --> 00:05:52.000]   And that's why he says in 32 to 39 to remember.
[00:05:52.000 --> 00:05:56.000]   So there's three things that he tells them to remember. He says to remember the past,
[00:05:56.000 --> 00:06:00.000]   which is what we're going to be looking at today. And then he says to remember the future,
[00:06:00.000 --> 00:06:05.000]   the reward that's coming with Christ. And then at the end, he says to remember your current state,
[00:06:05.000 --> 00:06:10.000]   who you are, right? That we are not of those who shrink back and are destroyed.
[00:06:10.000 --> 00:06:14.000]   Remember your identity. So it's to remember your past, remember your future,
[00:06:14.000 --> 00:06:19.000]   and remember the present. So today we're going to be looking at the past, right?
[00:06:19.000 --> 00:06:23.000]   And why he tells us to remember the past, right? So number one,
[00:06:23.000 --> 00:06:27.000]   exhortation to persevere by remembering the past.
[00:06:27.000 --> 00:06:31.000]   He says in verse 32, remember the former days.
[00:06:31.000 --> 00:06:37.000]   He's talking about when you first heard the gospel, when after being enlightened.
[00:06:37.000 --> 00:06:40.000]   Obviously, he's not saying remember when you were saved.
[00:06:40.000 --> 00:06:43.000]   He's talking about when you first heard the gospel.
[00:06:43.000 --> 00:06:47.000]   We hear a similar talk in Hebrews chapter 6, 4 through 5,
[00:06:47.000 --> 00:06:51.000]   where he says once you've been enlightened and have tasted the heavenly gift,
[00:06:51.000 --> 00:06:55.000]   have been made partakers of the Holy Spirit, have tasted the good word of God
[00:06:55.000 --> 00:06:58.000]   and powers of the age to come, and then to have fallen away.
[00:06:58.000 --> 00:07:01.000]   So when he says remember when you have been enlightened,
[00:07:01.000 --> 00:07:04.000]   what he's talking about is when you first heard the gospel.
[00:07:04.000 --> 00:07:08.000]   For the first time, you were confronted with the resurrected Christ,
[00:07:08.000 --> 00:07:13.000]   and that Christ died for your sins. Remember the impact that that had on you.
[00:07:13.000 --> 00:07:20.000]   You know, when I was thinking about how, you know, obviously most, if not all of us,
[00:07:20.000 --> 00:07:24.000]   you know, we're privy to this. We've heard the gospel.
[00:07:24.000 --> 00:07:28.000]   Many of you, multiple times. You've probably presented the gospel.
[00:07:28.000 --> 00:07:36.000]   But when you think about a group of people who have been privileged with God's word,
[00:07:36.000 --> 00:07:40.000]   there's no other group of people ever that have existed in human history
[00:07:40.000 --> 00:07:43.000]   that has the privilege that you and I have.
[00:07:43.000 --> 00:07:48.000]   We live in a free country. You know, I know we're inconvenienced
[00:07:48.000 --> 00:07:51.000]   by sometimes going outside, coming inside, wearing masks,
[00:07:51.000 --> 00:07:54.000]   and you know, we can't gather here, we can't do this, but you know,
[00:07:54.000 --> 00:07:58.000]   at best, these are inconveniences.
[00:07:58.000 --> 00:08:00.000]   But we live in a free country where we can gather together.
[00:08:00.000 --> 00:08:04.000]   We can worship God freely. We're not worried about police officers
[00:08:04.000 --> 00:08:06.000]   or anybody, you know, coming through our door.
[00:08:06.000 --> 00:08:09.000]   We don't have to worry about our neighbors, you know, attacking us
[00:08:09.000 --> 00:08:13.000]   because we happen to be Christians. We live in a free country.
[00:08:13.000 --> 00:08:17.000]   Not only do we live in a free country, the access that we have to the Bible
[00:08:17.000 --> 00:08:20.000]   is unprecedented, ever.
[00:08:20.000 --> 00:08:24.000]   You know, we wrestle with which translation that we're going to have.
[00:08:24.000 --> 00:08:26.000]   And if we don't like this pastor, we go to that pastor.
[00:08:26.000 --> 00:08:28.000]   If we don't like this church, we go to that church.
[00:08:28.000 --> 00:08:33.000]   If the church is too far, we want a church that's a little bit closer, you know.
[00:08:33.000 --> 00:08:35.000]   And we wrestle with, well, if you like this book or that book.
[00:08:35.000 --> 00:08:38.000]   We can go online. You wake up three in the morning
[00:08:38.000 --> 00:08:41.000]   and you happen to hunger for the Word of God, three in the morning.
[00:08:41.000 --> 00:08:44.000]   You can get the best speakers of our generation
[00:08:44.000 --> 00:08:48.000]   and you can pick and choose which sermon to listen to.
[00:08:48.000 --> 00:08:50.000]   You can go to any Bible study that we want.
[00:08:50.000 --> 00:08:54.000]   I mean, the access that we have to the Word of God is unprecedented,
[00:08:54.000 --> 00:08:57.000]   ever in history, ever.
[00:08:57.000 --> 00:09:01.000]   There's nobody that has ever lived in human history
[00:09:01.000 --> 00:09:05.000]   that has the kind of access to God's Word that you and I have today.
[00:09:05.000 --> 00:09:10.000]   Yet, one of the biggest problems that we have in our generation
[00:09:10.000 --> 00:09:15.000]   are people who have access but are not interested in reading.
[00:09:15.000 --> 00:09:19.000]   You know, one of the challenges of doing ministry in Orange County
[00:09:19.000 --> 00:09:24.000]   in our generation is constantly trying to get Christians who are bored
[00:09:24.000 --> 00:09:27.000]   to pay attention.
[00:09:27.000 --> 00:09:31.000]   People ask me, you know, because we were so involved with China
[00:09:31.000 --> 00:09:33.000]   for so many years doing missions.
[00:09:33.000 --> 00:09:37.000]   You know, at one time I counted, when we had about 200 people at church,
[00:09:37.000 --> 00:09:43.000]   I counted up to about 160 plus that went to China for short-term missions.
[00:09:43.000 --> 00:09:46.000]   And then we had over 30 to 40 people who actually lived there
[00:09:46.000 --> 00:09:50.000]   for a short term, for half a year to a year and a half to two years.
[00:09:50.000 --> 00:09:53.000]   So we were heavily engaged in China.
[00:09:53.000 --> 00:09:55.000]   And so, obviously, people ask me,
[00:09:55.000 --> 00:10:00.000]   "What caused you to have a heart for China?"
[00:10:00.000 --> 00:10:02.000]   It wasn't China per se.
[00:10:02.000 --> 00:10:06.000]   I remember in 1993 I went in there with my seminary professor
[00:10:06.000 --> 00:10:10.000]   and a small group of the students, and we went there for a vision trip.
[00:10:10.000 --> 00:10:14.000]   And I remember going further away from the main city.
[00:10:14.000 --> 00:10:18.000]   We were traveling the Silk Road, and I happened to be at a small university,
[00:10:18.000 --> 00:10:20.000]   and we were speaking English, and one of the students there
[00:10:20.000 --> 00:10:23.000]   heard us speak English and was intrigued.
[00:10:23.000 --> 00:10:26.000]   So he came down and started having a conversation with us.
[00:10:26.000 --> 00:10:30.000]   And then, so obviously, I took that opportunity to try to share the gospel with him.
[00:10:30.000 --> 00:10:34.000]   And then I mentioned the name Jesus, and he said, "Never heard of him."
[00:10:34.000 --> 00:10:38.000]   I said, "This is a university student. How can you have never heard of the gospel?"
[00:10:38.000 --> 00:10:41.000]   I know this is a communist country, but this can't be right.
[00:10:41.000 --> 00:10:45.000]   So I thought maybe my accent wasn't good enough,
[00:10:45.000 --> 00:10:47.000]   or maybe his English isn't good enough.
[00:10:47.000 --> 00:10:49.000]   So I tried in every way, you know.
[00:10:49.000 --> 00:10:51.000]   And I know that Chinese is closer to Korean,
[00:10:51.000 --> 00:10:54.000]   so I started using the Korean word "yesu,"
[00:10:54.000 --> 00:10:57.000]   because the Chinese word for Jesus sounds more similar to that.
[00:10:57.000 --> 00:11:01.000]   So I tried everything, and sure enough, after about 15, 20 minutes of conversation,
[00:11:01.000 --> 00:11:04.000]   he never heard the name Jesus.
[00:11:04.000 --> 00:11:07.000]   He kind of heard vaguely about Christianity,
[00:11:07.000 --> 00:11:10.000]   but he had no idea what that was about.
[00:11:10.000 --> 00:11:14.000]   And that just blew my mind, that I ran into somebody
[00:11:14.000 --> 00:11:17.000]   in this world that has never heard the gospel.
[00:11:17.000 --> 00:11:21.000]   Now, I've heard of that before, and I always thought that they were way deep in the jungles,
[00:11:21.000 --> 00:11:25.000]   that we don't have any access to, but this was in a city.
[00:11:25.000 --> 00:11:30.000]   And this is a guy in a university, and he told me he never heard the gospel.
[00:11:30.000 --> 00:11:34.000]   So when I came home, I was thinking, "Wow, we live in a place where
[00:11:34.000 --> 00:11:37.000]   we're fighting to keep Christians interested,
[00:11:37.000 --> 00:11:41.000]   while there's people all over the world who's never heard the gospel."
[00:11:41.000 --> 00:11:44.000]   In fact, the actual statistics that the missionaries give
[00:11:44.000 --> 00:11:48.000]   is there's over 2 billion people currently
[00:11:48.000 --> 00:11:51.000]   who have never heard the gospel.
[00:11:51.000 --> 00:11:53.000]   2 billion people.
[00:11:53.000 --> 00:11:56.000]   People ask me about even India,
[00:11:56.000 --> 00:11:59.000]   like, "What caused you to start going into India?"
[00:11:59.000 --> 00:12:02.000]   Again, never had interest in India.
[00:12:02.000 --> 00:12:05.000]   It's not a place that I was on my bucket list to go and visit.
[00:12:05.000 --> 00:12:08.000]   Happened to have an opportunity to go to teach the--
[00:12:08.000 --> 00:12:12.000]   train the local church pastors, and then I realized that through these trips
[00:12:12.000 --> 00:12:15.000]   that the most heavily concentrated,
[00:12:15.000 --> 00:12:18.000]   unreached people groups were in India.
[00:12:18.000 --> 00:12:20.000]   And so that was what caused it.
[00:12:20.000 --> 00:12:23.000]   "Well, they need the gospel. We have opportunity. Let's go."
[00:12:23.000 --> 00:12:26.000]   And that's kind of what started to open the door.
[00:12:26.000 --> 00:12:29.000]   Because we have so much access to the gospel,
[00:12:29.000 --> 00:12:33.000]   so much access to the Word, to the Bible study.
[00:12:33.000 --> 00:12:38.000]   Our problem is we take for granted what it is that we have.
[00:12:38.000 --> 00:12:41.000]   And that's really what opened the door to do the ministry out there.
[00:12:41.000 --> 00:12:46.000]   But when he says he's reminding them, because they're drifting,
[00:12:46.000 --> 00:12:50.000]   he goes back and he says, "Remember, after you have been enlightened,
[00:12:50.000 --> 00:12:55.000]   remember the first time you heard the gospel, how precious it was to you?
[00:12:55.000 --> 00:12:58.000]   Remember the first time you heard the gospel."
[00:12:58.000 --> 00:13:01.000]   If you are a genuine believer now, if you grew up in the church,
[00:13:01.000 --> 00:13:04.000]   you may not remember the very first time you heard it,
[00:13:04.000 --> 00:13:07.000]   because you probably heard it from your parents, your Sunday school teachers,
[00:13:07.000 --> 00:13:10.000]   and at some point it made more sense to you.
[00:13:10.000 --> 00:13:12.000]   And it may have been gradual.
[00:13:12.000 --> 00:13:14.000]   But whenever that point was,
[00:13:14.000 --> 00:13:16.000]   whether it was a specific time that you can remember,
[00:13:16.000 --> 00:13:18.000]   or whether it was a period that you remember,
[00:13:18.000 --> 00:13:22.000]   all of a sudden your ears became open.
[00:13:22.000 --> 00:13:25.000]   And the impact that it had on your life,
[00:13:25.000 --> 00:13:30.000]   all of a sudden your paradigm of how you looked at the world completely changed.
[00:13:30.000 --> 00:13:32.000]   And it wasn't because of discipleship.
[00:13:32.000 --> 00:13:36.000]   It wasn't because you were sitting through good teachings for years and years and years.
[00:13:36.000 --> 00:13:43.000]   It was just the impact of the reality of Christ and what He has done.
[00:13:43.000 --> 00:13:45.000]   And you were literally enlightened.
[00:13:45.000 --> 00:13:49.000]   Something that you didn't know became real to you all of a sudden.
[00:13:49.000 --> 00:13:51.000]   He said, "Remember that."
[00:13:51.000 --> 00:13:53.000]   And the reason why He starts at that point,
[00:13:53.000 --> 00:13:55.000]   He doesn't point to discipleship,
[00:13:55.000 --> 00:13:57.000]   He doesn't point to years of training.
[00:13:57.000 --> 00:14:00.000]   Again, there's nothing wrong with any of that.
[00:14:00.000 --> 00:14:05.000]   But He says, "The reason why you're drifting is because you have forgotten this.
[00:14:05.000 --> 00:14:08.000]   You have forgotten the power of the cross when you were first enlightened."
[00:14:08.000 --> 00:14:12.000]   And then He says, "Because you were enlightened, remember verse 32,
[00:14:12.000 --> 00:14:17.000]   how you endured great conflict of suffering."
[00:14:17.000 --> 00:14:23.000]   Verse 33, "They became public spectacles through reproaches and tribulation."
[00:14:23.000 --> 00:14:26.000]   It wasn't simply that they didn't get accepted in society
[00:14:26.000 --> 00:14:28.000]   or people were pointing fingers or snickering at them.
[00:14:28.000 --> 00:14:32.000]   He said it was a public spectacle.
[00:14:32.000 --> 00:14:36.000]   Remember the text that we're looking at in Thessalonica?
[00:14:36.000 --> 00:14:39.000]   Apostle Paul got chased out of there.
[00:14:39.000 --> 00:14:42.000]   Again, Apostle Paul was no coward.
[00:14:42.000 --> 00:14:45.000]   He was not afraid of hardship.
[00:14:45.000 --> 00:14:47.000]   He was willing to give his life.
[00:14:47.000 --> 00:14:50.000]   Remember when he was in Lystra,
[00:14:50.000 --> 00:14:52.000]   that's where he picks up Timothy,
[00:14:52.000 --> 00:14:54.000]   he was dragged out of town and stoned,
[00:14:54.000 --> 00:14:57.000]   and they left him there thinking that he was dead.
[00:14:57.000 --> 00:15:00.000]   Remember what Paul does? He doesn't die from that.
[00:15:00.000 --> 00:15:05.000]   He gets back up, he shakes off the dust, he goes back into Lystra.
[00:15:05.000 --> 00:15:07.000]   And then he preaches the gospel.
[00:15:07.000 --> 00:15:10.000]   So Apostle Paul didn't run out of Thessalonica
[00:15:10.000 --> 00:15:13.000]   because he was afraid of the persecution.
[00:15:13.000 --> 00:15:17.000]   So imagine how intense this persecution was in Thessalonica.
[00:15:17.000 --> 00:15:19.000]   He didn't leave because of himself.
[00:15:19.000 --> 00:15:21.000]   He left because they were starting to persecute Jason
[00:15:21.000 --> 00:15:23.000]   and the other Christians who converted,
[00:15:23.000 --> 00:15:26.000]   and in order for their safety, he ended up withdrawing,
[00:15:26.000 --> 00:15:29.000]   and he writes that letter in order to check up on them
[00:15:29.000 --> 00:15:30.000]   because he had to leave.
[00:15:30.000 --> 00:15:34.000]   So when they're talking about this persecution,
[00:15:34.000 --> 00:15:37.000]   it's nothing that I think any Christian in our generation
[00:15:37.000 --> 00:15:41.000]   have experienced, at least where we live.
[00:15:41.000 --> 00:15:44.000]   He said they were public spectacles.
[00:15:44.000 --> 00:15:46.000]   When they say they were public spectacles,
[00:15:46.000 --> 00:15:48.000]   it means that's how bold they were.
[00:15:48.000 --> 00:15:52.000]   This wasn't just, you know, just snickering or stabbing you
[00:15:52.000 --> 00:15:54.000]   or doing something in secret.
[00:15:54.000 --> 00:15:57.000]   They were very open about their hatred toward these Christians.
[00:15:57.000 --> 00:16:00.000]   He says, "Remember when you first enlightened,
[00:16:00.000 --> 00:16:03.000]   "you became a public spectacle through reproaches
[00:16:03.000 --> 00:16:05.000]   "and tribulation."
[00:16:05.000 --> 00:16:10.000]   And then he says in verse 14, "They accepted joyfully."
[00:16:10.000 --> 00:16:13.000]   Remember when the intense persecution--
[00:16:13.000 --> 00:16:17.000]   Remember how joyfully you accepted the seizure
[00:16:17.000 --> 00:16:20.000]   of your property.
[00:16:20.000 --> 00:16:24.000]   So I want you to let that sink in,
[00:16:24.000 --> 00:16:27.000]   the degree of persecution that they faced.
[00:16:27.000 --> 00:16:30.000]   And the purpose of him writing this
[00:16:30.000 --> 00:16:33.000]   is so that they would remember that
[00:16:33.000 --> 00:16:36.000]   and help them to persevere going forward.
[00:16:36.000 --> 00:16:39.000]   Now think about that.
[00:16:39.000 --> 00:16:42.000]   If your goal is to encourage them
[00:16:42.000 --> 00:16:45.000]   in the midst of intense persecution
[00:16:45.000 --> 00:16:50.000]   to go forward, why would you remind them of that?
[00:16:50.000 --> 00:16:54.000]   You say, "You know, I know it was hard in the past.
[00:16:54.000 --> 00:16:56.000]   "I know it was intense."
[00:16:56.000 --> 00:16:58.000]   But keep praying.
[00:16:58.000 --> 00:17:01.000]   Keep enduring because God is faithful.
[00:17:01.000 --> 00:17:03.000]   He's going to protect you.
[00:17:03.000 --> 00:17:05.000]   You know people are going to come to Christ
[00:17:05.000 --> 00:17:08.000]   and the persecution is going to die down eventually.
[00:17:08.000 --> 00:17:10.000]   The church is going to gain power
[00:17:10.000 --> 00:17:12.000]   and eventually that's going to die down.
[00:17:12.000 --> 00:17:14.000]   So don't worry about it.
[00:17:14.000 --> 00:17:16.000]   He doesn't do that.
[00:17:16.000 --> 00:17:18.000]   In order to strengthen them to persevere,
[00:17:18.000 --> 00:17:21.000]   he reminds them, "Remember when your property was being taken?
[00:17:21.000 --> 00:17:25.000]   "Remember when you were like public spectacle?
[00:17:25.000 --> 00:17:28.000]   "Remember when it was intense?
[00:17:28.000 --> 00:17:30.000]   "Remember how difficult that was?"
[00:17:30.000 --> 00:17:32.000]   But the key to what he is saying is,
[00:17:32.000 --> 00:17:34.000]   he says, "Joyfully."
[00:17:34.000 --> 00:17:36.000]   He's bringing that back up
[00:17:36.000 --> 00:17:39.000]   because in the midst of all of that suffering,
[00:17:39.000 --> 00:17:42.000]   he's reminding them the joy that they experience
[00:17:42.000 --> 00:17:45.000]   in this suffering.
[00:17:45.000 --> 00:17:47.000]   See, to a non-Christian,
[00:17:47.000 --> 00:17:50.000]   this makes absolutely no sense.
[00:17:50.000 --> 00:17:52.000]   Why would you encourage people to persevere
[00:17:52.000 --> 00:17:55.000]   in their faith in the midst of suffering
[00:17:55.000 --> 00:17:59.000]   and reminding them of the intense suffering in the past
[00:17:59.000 --> 00:18:03.000]   in order to get them encouraged to continue to go forward?
[00:18:03.000 --> 00:18:05.000]   Because the key to this wasn't suffering,
[00:18:05.000 --> 00:18:07.000]   wasn't their circumstance.
[00:18:07.000 --> 00:18:09.000]   It was when they were enlightened.
[00:18:09.000 --> 00:18:13.000]   The gospel made such a big impact in them
[00:18:13.000 --> 00:18:15.000]   when they first heard it
[00:18:15.000 --> 00:18:17.000]   that even in their suffering,
[00:18:17.000 --> 00:18:19.000]   they experienced tremendous joy.
[00:18:19.000 --> 00:18:21.000]   That's what he was reminding them.
[00:18:21.000 --> 00:18:24.000]   He wasn't reminding them of how happy they were
[00:18:24.000 --> 00:18:26.000]   because their possessions were being taken
[00:18:26.000 --> 00:18:28.000]   or some of them were being dragged to jail
[00:18:28.000 --> 00:18:29.000]   or losing their life.
[00:18:29.000 --> 00:18:30.000]   That wasn't his point.
[00:18:30.000 --> 00:18:32.000]   He said, "Even in the midst of all of that,
[00:18:32.000 --> 00:18:35.000]   "remember the impact that the gospel had on you,
[00:18:35.000 --> 00:18:38.000]   "that even in the midst of this,
[00:18:38.000 --> 00:18:41.000]   "you were joyful?"
[00:18:41.000 --> 00:18:43.000]   He says, "Remember that?
[00:18:43.000 --> 00:18:45.000]   "That's what you've drifted away from."
[00:18:45.000 --> 00:18:48.000]   So the problem wasn't the circumstance.
[00:18:48.000 --> 00:18:50.000]   He wasn't encouraging them saying,
[00:18:50.000 --> 00:18:52.000]   "Hey, the circumstances are going to change,
[00:18:52.000 --> 00:18:54.000]   "so your outlook in life is going to look a lot better."
[00:18:54.000 --> 00:18:56.000]   He doesn't promise them any circumstance.
[00:18:56.000 --> 00:18:58.000]   He doesn't promise these people
[00:18:58.000 --> 00:19:00.000]   who are facing intense suffering and saying,
[00:19:00.000 --> 00:19:02.000]   "If you just hold on just a little bit,
[00:19:02.000 --> 00:19:04.000]   "God's going to answer your prayer
[00:19:04.000 --> 00:19:05.000]   "and take care of your kids,
[00:19:05.000 --> 00:19:06.000]   "and things are going to be okay."
[00:19:06.000 --> 00:19:08.000]   He doesn't promise any of that.
[00:19:08.000 --> 00:19:11.000]   He says, "Remember when you were in a similar circumstance,
[00:19:11.000 --> 00:19:14.000]   "but you were joyful."
[00:19:14.000 --> 00:19:16.000]   But where did that joy come from?
[00:19:16.000 --> 00:19:19.000]   Were they better trained in the beginning?
[00:19:19.000 --> 00:19:22.000]   Did they know their theology better in the beginning?
[00:19:22.000 --> 00:19:24.000]   Did they have better discipleship in the beginning?
[00:19:24.000 --> 00:19:26.000]   Was the church better organized in the beginning?
[00:19:26.000 --> 00:19:28.000]   No.
[00:19:28.000 --> 00:19:30.000]   He said the impact of the gospel,
[00:19:30.000 --> 00:19:34.000]   when they first heard it, was so powerful.
[00:19:34.000 --> 00:19:38.000]   It was the gospel that impacted them so deeply
[00:19:38.000 --> 00:19:40.000]   that it changed them and looked at,
[00:19:40.000 --> 00:19:42.000]   even in the context of suffering,
[00:19:42.000 --> 00:19:46.000]   they saw God, and they had hope.
[00:19:46.000 --> 00:19:48.000]   That's what he was reminding them of.
[00:19:48.000 --> 00:19:52.000]   See, in Acts 5, 40-41, you see the disciples,
[00:19:52.000 --> 00:19:56.000]   who just a few weeks earlier,
[00:19:56.000 --> 00:19:59.000]   they were cowering because Jesus was being crucified.
[00:19:59.000 --> 00:20:01.000]   Their master who protected them,
[00:20:01.000 --> 00:20:03.000]   he goes to the cross, and they're confused,
[00:20:03.000 --> 00:20:05.000]   and then they're hiding.
[00:20:05.000 --> 00:20:07.000]   They're running.
[00:20:07.000 --> 00:20:09.000]   It's Acts 5, 40-41.
[00:20:09.000 --> 00:20:11.000]   After they encounter the resurrected Christ,
[00:20:11.000 --> 00:20:14.000]   the Holy Spirit comes and gives them the power
[00:20:14.000 --> 00:20:16.000]   that he promised.
[00:20:16.000 --> 00:20:18.000]   They preach the gospel,
[00:20:18.000 --> 00:20:20.000]   and those same people who crucified Christ
[00:20:20.000 --> 00:20:22.000]   drags them into their presence,
[00:20:22.000 --> 00:20:24.000]   beats them, and warns them, and says,
[00:20:24.000 --> 00:20:27.000]   "If you keep doing this, possibly you may lose your life."
[00:20:27.000 --> 00:20:30.000]   And this is what it says, Acts 5, 40-41.
[00:20:30.000 --> 00:20:33.000]   "They took his--and after calling the apostles in,
[00:20:33.000 --> 00:20:35.000]   they flogged them and ordered them not to speak
[00:20:35.000 --> 00:20:37.000]   in the name of Jesus, and they released them."
[00:20:37.000 --> 00:20:38.000]   Verse 41.
[00:20:38.000 --> 00:20:41.000]   "So they went on their way from the presence of the council,
[00:20:41.000 --> 00:20:44.000]   rejoicing that they had been considered worthy
[00:20:44.000 --> 00:20:47.000]   to suffer shame for his name."
[00:20:47.000 --> 00:20:52.000]   Not only do they refuse to stop,
[00:20:52.000 --> 00:20:54.000]   they went out and said,
[00:20:54.000 --> 00:20:56.000]   "Wow, God considered me faithful.
