
[00:00:00.000 --> 00:00:05.020]   [ Silence ]
[00:06:21.620 --> 00:06:24.900]   Okay. So let me pray first and we'll jump in.
[00:06:24.900 --> 00:06:33.840]   Abba Father, we thank you so much for this evening.
[00:06:33.840 --> 00:06:35.740]   We thank you, Lord God, for your living word.
[00:06:35.740 --> 00:06:38.740]   We thank you for your patience and love
[00:06:38.740 --> 00:06:41.800]   that compels us, Lord God, to come and study,
[00:06:41.800 --> 00:06:45.940]   to learn, to get a greater glimpse of Christ and his work.
[00:06:45.940 --> 00:06:50.140]   We pray, Father God, that as we truly have a cloud
[00:06:50.140 --> 00:06:51.920]   of witnesses that have gone before us,
[00:06:51.920 --> 00:06:55.620]   people who have succeeded, people who have failed.
[00:06:55.620 --> 00:06:59.320]   We know, Father God, in the midst of chaos
[00:06:59.320 --> 00:07:00.900]   and rebellion in history,
[00:07:00.900 --> 00:07:03.420]   that you've been faithful all this time.
[00:07:03.420 --> 00:07:06.540]   And so we pray, Father, as we study the history of Israel
[00:07:06.540 --> 00:07:10.640]   and and your thoughts behind what is happening,
[00:07:10.640 --> 00:07:12.580]   what has happened and and your hope
[00:07:12.580 --> 00:07:14.980]   that you give, Lord God, in the context
[00:07:14.980 --> 00:07:17.480]   that all of these things would give insight, Lord,
[00:07:17.480 --> 00:07:22.120]   into where we are in our history and and to learn from mistakes
[00:07:22.120 --> 00:07:23.980]   and learn from good examples
[00:07:23.980 --> 00:07:26.180]   and that you would cause us, Lord, to grow and to mature
[00:07:26.180 --> 00:07:28.280]   as a result. In Jesus name we pray. Amen.
[00:07:28.280 --> 00:07:30.320]   All right.
[00:07:30.320 --> 00:07:34.760]   So the first part, Isaiah.
[00:07:36.400 --> 00:07:41.640]   The. OK, can somebody go check this?
[00:07:41.640 --> 00:07:57.620]   [ Pause ]
[00:07:57.620 --> 00:08:15.620]   [ Pause ]
[00:08:15.620 --> 00:08:18.940]   >> Okay. Brian, did somebody take that out?
[00:08:18.940 --> 00:08:24.220]   [ Inaudible ]
[00:08:24.720 --> 00:08:27.580]   Oh, okay. That's-- okay, okay. No, it's working now.
[00:08:27.580 --> 00:08:29.400]   Okay. All right.
[00:08:29.400 --> 00:08:33.360]   So let's get the first section, Isaiah 17, 1 through 6.
[00:08:33.360 --> 00:08:36.580]   First question, against what two nations does Isaiah prophesy
[00:08:36.580 --> 00:08:37.520]   in Chapter 17?
[00:08:37.520 --> 00:08:39.860]   The two nations, obviously,
[00:08:39.860 --> 00:08:43.260]   to be playing Damascus and Ephraim, okay.
[00:08:43.260 --> 00:08:45.760]   We talked about this in the beginning.
[00:08:45.760 --> 00:08:49.500]   Damascus is the city for what nation?
[00:08:49.500 --> 00:08:53.740]   Syria. And Ephraim is another word for--
[00:08:53.740 --> 00:08:58.280]   Israel, but Northern Kingdom, right?
[00:08:58.280 --> 00:09:02.300]   So the Northern Kingdom is where all the 10 tribes went,
[00:09:02.300 --> 00:09:04.160]   and then the Southern Kingdom is where the two tribes--
[00:09:04.160 --> 00:09:06.040]   do you remember the two tribes that went to the south?
[00:09:06.040 --> 00:09:11.080]   Benjamites and Judah, okay.
[00:09:11.080 --> 00:09:12.680]   So Benjamites and Judah.
[00:09:12.680 --> 00:09:16.900]   So Ephraim is another name for the Northern Kingdom,
[00:09:16.900 --> 00:09:18.260]   the 10 tribes, right.
[00:09:19.300 --> 00:09:26.480]   So the judgment is pertaining to these two nations.
[00:09:26.480 --> 00:09:29.540]   And the background is these two nations conspired
[00:09:29.540 --> 00:09:31.220]   against Israel, okay.
[00:09:31.220 --> 00:09:34.380]   Israel meaning the Southern Kingdom because they refused
[00:09:34.380 --> 00:09:35.920]   to join their alliance against Assyria.
[00:09:35.920 --> 00:09:37.620]   Remember, we talked about that, I think,
[00:09:37.620 --> 00:09:39.100]   in the beginning, Chapter 1 or 2.
[00:09:39.100 --> 00:09:43.300]   So again, remember, we-- he talked about it in the beginning,
[00:09:43.300 --> 00:09:45.220]   and he's bringing it back up again, right.
[00:09:45.220 --> 00:09:47.500]   So it's not necessarily a consecutive, like,
[00:09:47.500 --> 00:09:49.200]   argument building one upon another.
[00:09:49.700 --> 00:09:53.040]   There should be somewhere on the table somewhere.
[00:09:53.040 --> 00:09:54.820]   I don't have any more here.
[00:09:54.820 --> 00:09:56.240]   Anybody have extra on the table?
[00:09:56.240 --> 00:10:00.980]   Okay. All right.
[00:10:00.980 --> 00:10:04.100]   So that's the background behind the judgment
[00:10:04.100 --> 00:10:05.140]   against these two nations
[00:10:05.140 --> 00:10:08.020]   because they weren't necessarily natural friends.
[00:10:08.020 --> 00:10:11.160]   The only reason why they're trying to conspire is
[00:10:11.160 --> 00:10:14.580]   because you know how they have a superpower, Assyria,
[00:10:14.580 --> 00:10:17.620]   and so the historical background behind what's going
[00:10:17.620 --> 00:10:21.500]   on here is a lot of these little nations are making alliances
[00:10:21.500 --> 00:10:24.900]   to-- because they can't fight Assyria by themselves, okay.
[00:10:24.900 --> 00:10:27.700]   And we're going to see that Ethiopia plays a part
[00:10:27.700 --> 00:10:30.380]   in this later on as well as Egypt, okay.
[00:10:30.380 --> 00:10:32.520]   But right now, that's the background behind it
[00:10:32.520 --> 00:10:33.780]   where they're-- they want--
[00:10:33.780 --> 00:10:36.320]   they come to the Southern Kingdom saying, "Hey, join us."
[00:10:36.320 --> 00:10:39.620]   But instead, instead of joining them, who do they join?
[00:10:39.620 --> 00:10:44.900]   They conspire with, right, the Southern Kingdom doesn't join
[00:10:44.900 --> 00:10:45.920]   with them, right.
[00:10:45.920 --> 00:10:47.380]   And so they become angry.
[00:10:48.180 --> 00:10:50.020]   And then they say, "Well, we're not going to join us.
[00:10:50.020 --> 00:10:50.720]   We're going to attack you.
[00:10:50.720 --> 00:10:51.880]   You're our enemy," right.
[00:10:51.880 --> 00:10:56.280]   So what does the judgment say that's going to happen to them?
[00:10:56.280 --> 00:10:59.620]   Okay. Damascus is going to be ruined
[00:10:59.620 --> 00:11:01.340]   and no descendants will remain.
[00:11:01.340 --> 00:11:04.640]   Remember, I think Laura asked that question last week,
[00:11:04.640 --> 00:11:08.040]   the Syria, you know, all the news coming out of Syria,
[00:11:08.040 --> 00:11:11.140]   is that connected to this Syria, right?
[00:11:11.140 --> 00:11:14.160]   You know, years ago before the internet,
[00:11:14.160 --> 00:11:16.860]   that would have taken at least months to answer.
[00:11:16.860 --> 00:11:19.500]   I would have had to go to school, look it up,
[00:11:19.500 --> 00:11:23.200]   ask a genius, you know what I mean, or somebody who's
[00:11:23.200 --> 00:11:24.600]   like trivia genius.
[00:11:24.600 --> 00:11:27.020]   All I had to do is go to the office and Google,
[00:11:27.020 --> 00:11:29.260]   "Is Syria that Syria?"
[00:11:29.260 --> 00:11:32.440]   And then the answer was, "No, it is not," okay.
[00:11:32.440 --> 00:11:35.400]   So basically, this Syria that we're talking about,
[00:11:35.400 --> 00:11:40.440]   exactly as God says, later on, the Babylonians actually come in
[00:11:40.440 --> 00:11:42.200]   and they conquer them and they're gone.
[00:11:42.200 --> 00:11:45.900]   From that time on, that particular kingdom is gone.
[00:11:46.380 --> 00:11:49.780]   The Syria that we're talking about in modern history,
[00:11:49.780 --> 00:11:54.340]   they were only newly developed after World War II.
[00:11:54.340 --> 00:11:57.240]   So those two nations may have the same name because it's
[00:11:57.240 --> 00:11:59.840]   in the same region, but it's not the same kingdom
[00:11:59.840 --> 00:12:01.540]   that came continuously, okay.
[00:12:01.540 --> 00:12:04.980]   Just like this prophecy, God says, "Because of your sin,
[00:12:04.980 --> 00:12:06.680]   God's going to wipe out your nation," right?
[00:12:06.680 --> 00:12:12.560]   Otter destruction without any trace
[00:12:12.560 --> 00:12:15.260]   of descendants is going to be wiped out.
[00:12:15.980 --> 00:12:18.060]   The fortress of Ephraim will be gone
[00:12:18.060 --> 00:12:20.000]   and their glory will be no more.
[00:12:20.000 --> 00:12:25.200]   Their security will be taken away
[00:12:25.200 --> 00:12:27.840]   and their glory will be no more, in verse 3.
[00:12:27.840 --> 00:12:31.580]   So basically, it's saying that Ephraim is not going
[00:12:31.580 --> 00:12:32.280]   to be destroyed.
[00:12:32.280 --> 00:12:34.240]   Ephraim is because they're part of Israel,
[00:12:34.240 --> 00:12:37.220]   but their glory is going to be diminished.
[00:12:37.220 --> 00:12:38.420]   So there's a reason.
[00:12:38.420 --> 00:12:42.420]   Remember when Paul, in the New Testament, when he brags about
[00:12:42.420 --> 00:12:44.520]   or he's kind of like, "Hey, you want to go toe to toe
[00:12:44.520 --> 00:12:47.120]   with these legalists and, you know, who's got what?"
[00:12:47.120 --> 00:12:50.960]   And remember one of the first things Paul says, "I'm a what?
[00:12:50.960 --> 00:12:56.000]   I'm an Israelite from the tribe of Benjamin," right?
[00:12:56.000 --> 00:12:57.900]   Because it was kind of bragging rights.
[00:12:57.900 --> 00:13:00.900]   So if you were a part of the southern kingdom, it was shame
[00:13:00.900 --> 00:13:02.840]   because you were part of that nation that broke away
[00:13:02.840 --> 00:13:05.880]   from God's covenant people, right?
[00:13:05.880 --> 00:13:09.380]   So he says, "Ephraim, you're, you know, anybody who belongs
[00:13:09.380 --> 00:13:12.120]   to that kingdom, you know, in Israel's history,
[00:13:12.120 --> 00:13:13.580]   they were on the wrong side."
[00:13:13.580 --> 00:13:16.580]   Right? So he said, "Your glory is going to disappear.
[00:13:16.580 --> 00:13:18.580]   Your security is going to disappear."
[00:13:18.580 --> 00:13:21.560]   Right? Uh-huh?
[00:13:21.560 --> 00:13:30.600]   [ Inaudible ]
[00:13:30.600 --> 00:13:34.600]   Well, Damascus, again, it's just the name of the city.
[00:13:34.600 --> 00:13:41.580]   So under, during a period of Rome, it was under Roman Empire.
[00:13:41.580 --> 00:13:42.580]   So the city exists.
[00:13:42.580 --> 00:13:44.580]   But the nation of Syria is destroyed.
[00:13:44.580 --> 00:13:46.580]   Yeah. So Syria is no longer in control.
[00:13:46.580 --> 00:13:50.580]   Here it just says Damascus in reference to Syria.
[00:13:50.580 --> 00:13:54.580]   Okay. Uh-huh.
[00:13:54.580 --> 00:13:55.580]   Yes?
[00:13:55.580 --> 00:14:01.600]   [ Inaudible ]
[00:14:01.600 --> 00:14:02.600]   Here?
[00:14:02.600 --> 00:14:06.600]   [ Inaudible ]
[00:14:06.600 --> 00:14:10.600]   Yeah. I mean, it's Judah, but again, you know,
[00:14:10.600 --> 00:14:13.600]   this is why whenever we talk about Israel's history,
[00:14:13.600 --> 00:14:17.600]   it's confusing because sometimes they say Israel in reference
[00:14:17.600 --> 00:14:18.600]   to the Northern Kingdom.
[00:14:18.600 --> 00:14:20.600]   Sometimes they say Israel in reference
[00:14:20.600 --> 00:14:23.580]   to the nation of Israel.
[00:14:23.580 --> 00:14:25.580]   Sometimes they'll say Israel in reference
[00:14:25.580 --> 00:14:28.580]   to the Southern Kingdom, right?
[00:14:28.580 --> 00:14:30.580]   So you just have to remember the context
[00:14:30.580 --> 00:14:33.580]   because Israel obviously is in reference to the nation of Israel.
[00:14:33.580 --> 00:14:36.580]   So you just kind of have to understand, like,
[00:14:36.580 --> 00:14:37.600]   in that context.
[00:14:37.600 --> 00:14:39.600]   Yeah.
[00:14:39.600 --> 00:14:42.600]   [ Inaudible ]
[00:14:42.600 --> 00:14:43.600]   No, Syria.
[00:14:43.600 --> 00:14:47.600]   Syria and Ephraim, the Northern Kingdom, got together
[00:14:47.600 --> 00:14:50.600]   because Assyria was coming to attack.
[00:14:50.600 --> 00:14:54.600]   Syria and Assyria are different.
[00:14:54.600 --> 00:14:55.600]   Two different nations.
[00:14:55.600 --> 00:14:56.600]   Yeah.
[00:14:56.600 --> 00:14:59.600]   Assyria actually ends up conquering all of them, you know,
[00:14:59.600 --> 00:15:01.600]   except for the Northern Kingdom, the Southern Kingdom.
[00:15:01.600 --> 00:15:04.600]   And then later on, Babylonians conquer the Assyrians,
[00:15:04.600 --> 00:15:07.600]   and then they end up conquering the Southern Kingdom as well.
[00:15:07.600 --> 00:15:10.600]   Northern, Southern Kingdom.
[00:15:10.600 --> 00:15:13.600]   [ Laughter ]
[00:15:13.600 --> 00:15:15.600]   Okay.
[00:15:15.600 --> 00:15:24.600]   We'll review it one more time next week,
[00:15:24.600 --> 00:15:26.600]   and I'll put some PowerPoints so that, you know,
[00:15:26.600 --> 00:15:30.600]   at least you have something to kind of cling on to.
[00:15:30.600 --> 00:15:32.600]   Okay.
[00:15:32.600 --> 00:15:35.600]   Second section, 714, what would happen as a result
[00:15:35.600 --> 00:15:40.600]   of this judgment that God is going to bring?
[00:15:40.600 --> 00:15:43.600]   And if you notice, if you go to Chapter 17,
[00:15:43.600 --> 00:15:46.600]   and the text that we're looking at starting from Verse 7,
[00:15:46.600 --> 00:15:47.600]   okay, let's read that.
[00:15:47.600 --> 00:15:49.600]   It says, "In that day man will look to his Maker,
[00:15:49.600 --> 00:15:53.600]   and his eye will lock on the Holy One of Israel.
[00:15:53.600 --> 00:15:55.600]   He will not look to the altars, the work of his hands,
[00:15:55.600 --> 00:15:58.600]   and will not look on what his own fingers have made,
[00:15:58.600 --> 00:16:01.600]   either the ashram or the altars of incense."
[00:16:01.600 --> 00:16:11.600]   Now, is he speaking of revival, repentance, or judgment?
[00:16:11.600 --> 00:16:14.600]   You understand my question?
[00:16:14.600 --> 00:16:15.600]   All right.
[00:16:15.600 --> 00:16:17.600]   So if you look at it, it says several things are going to happen,
[00:16:17.600 --> 00:16:23.600]   that they are going to recognize, finally recognize their Maker, right?
[00:16:23.600 --> 00:16:29.600]   They will not be able to put their confidence in false religion, right?
[00:16:29.600 --> 00:16:32.600]   And they're not going to be able to put their confidence in his own work,
[00:16:32.600 --> 00:16:36.600]   so that what their hands have made.
[00:16:36.600 --> 00:16:42.600]   Is this because they're repenting and they're returning to the Lord?
[00:16:42.600 --> 00:16:43.600]   Not here, right?
[00:16:43.600 --> 00:16:46.600]   Here it says the judgment is coming, and whether, you know,
[00:16:46.600 --> 00:16:50.600]   like you can come to me because you repent and you want me,
[00:16:50.600 --> 00:16:53.600]   but you're going to come to me either way, right?
[00:16:53.600 --> 00:16:55.600]   He's saying that his judgment is going to be so harsh,
[00:16:55.600 --> 00:16:58.600]   they're going to finally recognize him.
[00:16:58.600 --> 00:17:00.600]   That they refuse to recognize his grace and mercy,
[00:17:00.600 --> 00:17:04.600]   but you're going to refuse, now you're going to, you know, see his judgment.
[00:17:04.600 --> 00:17:08.600]   Either way, you're going to meet the Maker, right?
[00:17:08.600 --> 00:17:10.600]   That you're not going to be able to worship idols.
[00:17:10.600 --> 00:17:14.600]   You're not going to be able to have confidence in the things that you've made,
[00:17:14.600 --> 00:17:18.600]   because when the real God shows up, you're going to see, right?
[00:17:18.600 --> 00:17:20.600]   So this is in the context of the judgment,
[00:17:20.600 --> 00:17:26.600]   what's going to result because of the judgment that's coming, right?
[00:17:26.600 --> 00:17:28.600]   Why were their efforts, again, in the second section of that,
[00:17:28.600 --> 00:17:32.600]   their efforts to sow and harvest become a heap of ruins?
[00:17:32.600 --> 00:17:34.600]   And he says, because you have forgotten your Maker,
[00:17:34.600 --> 00:17:36.600]   their hard work will amount to nothing.
[00:17:36.600 --> 00:17:40.600]   And all throughout Scripture, we're told the exact same thing over and over again, right?
[00:17:40.600 --> 00:17:47.600]   Unless the Lord builds a house, the builder builds in vain, right?
[00:17:47.600 --> 00:17:50.600]   So he said, all that work that you put into building your kingdom,
[00:17:50.600 --> 00:17:52.600]   your harvest, your farm, your family,
[00:17:52.600 --> 00:17:55.600]   in the end, because you refuse to recognize the Maker, right?
[00:17:55.600 --> 00:17:59.600]   All of it is going to be for nothing, right?
[00:17:59.600 --> 00:18:01.600]   It's kind of like, you know, you got hired at Google,
[00:18:01.600 --> 00:18:04.600]   and you're putting in all the work, and in the end,
[00:18:04.600 --> 00:18:08.600]   everything that you've done ultimately belongs to Google, right?
[00:18:08.600 --> 00:18:10.600]   Because you're not the owner.
[00:18:10.600 --> 00:18:12.600]   But it's like, you know, you did all of that, and he says,
[00:18:12.600 --> 00:18:16.600]   "No, I refuse to recognize Google. I did this work. This is mine."
[00:18:16.600 --> 00:18:17.600]   You know what I mean?
[00:18:17.600 --> 00:18:19.600]   And so he put all that work in, at the end of the day,
[00:18:19.600 --> 00:18:23.600]   because he refused to recognize the owner or the Maker,
[00:18:23.600 --> 00:18:25.600]   all that is going to be for nothing.
[00:18:25.600 --> 00:18:27.600]   It's going to all be scratched, right?
[00:18:27.600 --> 00:18:29.600]   They're not going to get any credit, right?
[00:18:29.600 --> 00:18:32.600]   So that's what he's saying, like, because you refuse to acknowledge the Maker,
[00:18:32.600 --> 00:18:38.600]   everything that you've done is going to be for nothing.
[00:18:38.600 --> 00:18:42.600]   Verse 12 and 14, again, specifically, says,
[00:18:42.600 --> 00:18:46.600]   "Ah, the thunder of many peoples, they thunder like the thundering of the sea.
[00:18:46.600 --> 00:18:50.600]   Ah, the roar of nations, they roar like the roaring of mighty waters.
[00:18:50.600 --> 00:18:52.600]   The nations roar like the roaring of many waters,
