
[00:00:00.000 --> 00:00:05.000]   - Hello, everyone.
[00:07:05.660 --> 00:07:08.300]   and especially ruin the home.
[00:07:09.980 --> 00:07:14.860]   Satan desires to essentially tell us otherwise,
[00:07:14.860 --> 00:07:19.780]   that no, the design of God is actually unholy.
[00:07:19.780 --> 00:07:21.520]   You need to fend for yourself.
[00:07:21.520 --> 00:07:22.620]   You need more freedom.
[00:07:22.620 --> 00:07:23.580]   You need more safety.
[00:07:23.580 --> 00:07:24.620]   You need more protection.
[00:07:24.620 --> 00:07:26.540]   You need more liberating.
[00:07:26.540 --> 00:07:28.600]   Forget the family, right?
[00:07:28.600 --> 00:07:33.600]   That I believe is the kind of thought and concepts
[00:07:33.600 --> 00:07:36.100]   that Satan would love to have.
[00:07:36.100 --> 00:07:39.140]   But rather we want to make sure that we abide
[00:07:39.140 --> 00:07:41.220]   by scripture's expectations of the home.
[00:07:41.220 --> 00:07:44.820]   That the home is a place where God has designed
[00:07:44.820 --> 00:07:48.220]   for there to be great holiness.
[00:07:48.220 --> 00:07:51.540]   That there are supposed to be great levels of joy,
[00:07:51.540 --> 00:07:55.580]   family unity, things like trust, intimacy and harmony
[00:07:55.580 --> 00:07:57.740]   and levels of love between husband and wife,
[00:07:57.740 --> 00:07:58.940]   parent and children.
[00:07:58.940 --> 00:08:02.340]   But all of that comes with great responsibility
[00:08:02.340 --> 00:08:04.700]   and self-sacrifice.
[00:08:04.700 --> 00:08:08.740]   All that comes from deep commitment and high risk.
[00:08:08.740 --> 00:08:12.140]   And so scripture typically tells us
[00:08:12.140 --> 00:08:15.220]   that the context by we're supposed to be practicing
[00:08:15.220 --> 00:08:18.700]   these things is in the context of God's design.
[00:08:18.700 --> 00:08:22.540]   And so if there is an area where in connection
[00:08:22.540 --> 00:08:25.580]   with the previous passage in the previous paragraph,
[00:08:25.580 --> 00:08:28.700]   the connection in the previous paragraph said walk wisely,
[00:08:28.700 --> 00:08:31.880]   we need to be all the more careful
[00:08:31.880 --> 00:08:35.480]   to know the instruction of God and walk wisely in the home.
[00:08:35.480 --> 00:08:38.400]   And I'm very much convicted by that just from the get-go.
[00:08:38.400 --> 00:08:41.960]   Because truthfully speaking, what is sometimes very common
[00:08:41.960 --> 00:08:44.400]   is that where we are comfortable
[00:08:44.400 --> 00:08:48.260]   is that in the home, we're actually the most careless.
[00:08:48.260 --> 00:08:51.440]   Typically in the home, we're very careless with our words.
[00:08:51.440 --> 00:08:53.880]   And scripture actually predicted this by saying,
[00:08:53.880 --> 00:08:57.840]   where there is familiarity, there's contempt.
[00:08:57.840 --> 00:09:00.560]   And even with Jesus, when he was in his hometown, he said,
[00:09:00.560 --> 00:09:02.840]   "The prophet has no welcome in his hometown."
[00:09:02.840 --> 00:09:07.240]   Because they just assumed, "We know this person.
[00:09:07.240 --> 00:09:09.520]   "This child is the son of who?"
[00:09:09.520 --> 00:09:12.940]   But if you think about it actually, God says,
[00:09:12.940 --> 00:09:15.720]   "No, especially in the home,
[00:09:15.720 --> 00:09:17.640]   "God has given very clear instructions
[00:09:17.640 --> 00:09:20.060]   "and we are to make sure we walk carefully
[00:09:20.060 --> 00:09:21.820]   "and wisely in them."
[00:09:21.820 --> 00:09:25.400]   The very first point I wanna think about
[00:09:25.400 --> 00:09:29.000]   is actually the context of the commands that are to come.
[00:09:29.000 --> 00:09:30.200]   What do I mean?
[00:09:30.200 --> 00:09:33.480]   Well, I would like to have you think about the idea
[00:09:33.480 --> 00:09:37.160]   of the commandment then, the commandment now,
[00:09:37.160 --> 00:09:38.560]   and God's design.
[00:09:38.560 --> 00:09:41.400]   The commandment then and the commandment now
[00:09:41.400 --> 00:09:42.340]   and God's design.
[00:09:42.340 --> 00:09:43.180]   Why?
[00:09:43.180 --> 00:09:45.760]   Because we understand actually that these commands
[00:09:45.760 --> 00:09:48.480]   that we read, where it called upon the wives
[00:09:48.480 --> 00:09:50.760]   to be submissive to their husbands,
[00:09:50.760 --> 00:09:55.760]   this was given at a time when the sentiment towards women
[00:09:55.760 --> 00:09:57.240]   was so ungodly.
[00:09:58.080 --> 00:10:01.520]   Rather than seeing women as a fellow image bearer,
[00:10:01.520 --> 00:10:04.320]   men or women, fellow image bearer,
[00:10:04.320 --> 00:10:06.960]   that we are both heirs of Christ if we're Christian.
[00:10:06.960 --> 00:10:12.840]   Within the era, there was so much abuse and neglect.
[00:10:12.840 --> 00:10:16.320]   What's more specifically to the Church of Ephesus,
[00:10:16.320 --> 00:10:20.160]   whether it was the Turkish area or the Greek area
[00:10:20.160 --> 00:10:24.680]   or the Roman era, there was such abuse.
[00:10:24.680 --> 00:10:28.200]   History has it that there was so much
[00:10:28.200 --> 00:10:30.320]   of a measure of corruption
[00:10:30.320 --> 00:10:33.840]   and there was so much oppression towards those who were weak.
[00:10:33.840 --> 00:10:35.640]   And Scripture, and not only Scripture,
[00:10:35.640 --> 00:10:38.080]   but also outside history records the fact.
[00:10:38.080 --> 00:10:40.640]   And I'll just briefly mention that at that time,
[00:10:40.640 --> 00:10:44.560]   there was such a practice where essentially people would pray
[00:10:44.560 --> 00:10:47.900]   and thank the gods that they were not slaves or women.
[00:10:47.900 --> 00:10:50.640]   In ancient Greek society,
[00:10:50.640 --> 00:10:52.960]   there were so many vices in the world,
[00:10:52.960 --> 00:10:56.320]   such as the practice of having many concubines
[00:10:56.320 --> 00:10:59.840]   or the practice of going to the temple idol,
[00:10:59.840 --> 00:11:02.800]   temple worship and hiring prostitutes
[00:11:02.800 --> 00:11:04.920]   for their sexual pleasure.
[00:11:04.920 --> 00:11:08.440]   And so a lot of Greek men found no reason
[00:11:08.440 --> 00:11:10.000]   to divorce their wives.
[00:11:10.000 --> 00:11:10.840]   Why?
[00:11:10.840 --> 00:11:14.440]   It was no pain to them to just have them around.
[00:11:14.440 --> 00:11:18.520]   Their wives were simply there to bear legitimate children
[00:11:18.520 --> 00:11:20.640]   to keep the lineage going.
[00:11:20.640 --> 00:11:24.320]   And so when males, when the men felt the need
[00:11:24.320 --> 00:11:27.920]   for sexual gratification, they would turn to prostitution.
[00:11:27.920 --> 00:11:29.960]   They would turn to sexual promiscuity
[00:11:29.960 --> 00:11:33.560]   and all kinds of immorality were rampant in the day.
[00:11:33.560 --> 00:11:37.160]   To that era, this command was given,
[00:11:37.160 --> 00:11:39.400]   love your husbands and submit to them.
[00:11:39.400 --> 00:11:43.800]   Which is very, it's just kind of,
[00:11:43.800 --> 00:11:45.800]   we have to think and understand
[00:11:45.800 --> 00:11:49.000]   that the command of God then nevertheless
[00:11:49.000 --> 00:11:50.760]   is still the same.
[00:11:50.760 --> 00:11:54.940]   This command applies then and this command applies now.
[00:11:54.940 --> 00:11:57.840]   Perhaps we may feel that now it's controversial
[00:11:57.840 --> 00:11:59.600]   because now things have changed,
[00:11:59.600 --> 00:12:01.600]   because now there's more legal protection.
[00:12:01.600 --> 00:12:03.800]   Now women are not seen as property.
[00:12:03.800 --> 00:12:08.560]   They're protected by the law and successful economically.
[00:12:08.560 --> 00:12:09.560]   But does that mean then
[00:12:09.560 --> 00:12:12.700]   that God's commandments have changed?
[00:12:12.700 --> 00:12:15.860]   Actually, I would argue that that commandment
[00:12:15.860 --> 00:12:19.580]   probably was harder to swallow at that time than now.
[00:12:19.580 --> 00:12:21.420]   Right?
[00:12:21.420 --> 00:12:23.340]   That's what I would think.
[00:12:23.340 --> 00:12:27.300]   What's really interesting is throughout time,
[00:12:27.300 --> 00:12:32.300]   God has always wanted more than political
[00:12:32.300 --> 00:12:34.780]   and I guess more than social change.
[00:12:34.780 --> 00:12:38.540]   He wanted marriages to be Christ-like and holy and godly.
[00:12:38.540 --> 00:12:41.500]   God did not just vie for legal change,
[00:12:41.500 --> 00:12:43.980]   but he wanted a growth of God likeness
[00:12:43.980 --> 00:12:47.380]   for children of light to behave like children of light,
[00:12:47.380 --> 00:12:49.420]   most importantly, within the home.
[00:12:49.420 --> 00:12:52.900]   God desired the marriage relationship
[00:12:52.900 --> 00:12:57.820]   to be holy and permanent, like his own character and love.
[00:12:57.820 --> 00:13:00.340]   God's desire that marriage look radically different
[00:13:00.340 --> 00:13:03.180]   from the culture and the generation.
[00:13:03.180 --> 00:13:06.820]   And so what's really interesting is that in God's design,
[00:13:06.820 --> 00:13:11.380]   the concepts of love, authority, submission has no conflict.
[00:13:11.380 --> 00:13:14.940]   It doesn't just simply conflict internally,
[00:13:14.940 --> 00:13:16.820]   but it's supposed to actually conflict
[00:13:16.820 --> 00:13:19.780]   with the entire generation and age.
[00:13:19.780 --> 00:13:22.380]   So as we think about this,
[00:13:22.380 --> 00:13:26.180]   I just want to highlight the fact that
[00:13:26.180 --> 00:13:30.540]   the kind of love marriage relationship that God has designed
[00:13:30.540 --> 00:13:32.780]   where there is supposed to be such a humility,
[00:13:32.780 --> 00:13:36.420]   such a Christ-likeness, such a selfless purpose
[00:13:36.420 --> 00:13:39.420]   to not come to be served, but to serve,
[00:13:39.420 --> 00:13:43.140]   that is all possible only in Christ.
[00:13:43.140 --> 00:13:47.180]   And so I'll take a moment to give one of those quick advice,
[00:13:47.180 --> 00:13:48.220]   particularly for the ladies,
[00:13:48.220 --> 00:13:49.340]   since we're talking about ladies,
[00:13:49.340 --> 00:13:52.860]   especially right now, if you're single, please listen up.
[00:13:52.860 --> 00:13:56.980]   This design of God where love, authority, and submission
[00:13:56.980 --> 00:14:00.060]   somehow stands in perfect harmony
[00:14:00.060 --> 00:14:02.700]   and accomplishes God's design,
[00:14:02.700 --> 00:14:06.020]   we're saying this is only possible in Christ.
[00:14:06.020 --> 00:14:08.900]   And so when you are thinking about dating
[00:14:08.900 --> 00:14:11.980]   and getting involved in a romantic relationship,
[00:14:11.980 --> 00:14:15.780]   do not settle for somebody who is just Christian by name.
[00:14:15.780 --> 00:14:16.900]   Why?
[00:14:16.900 --> 00:14:19.700]   Because the kind of love that is beautiful, holy,
[00:14:19.700 --> 00:14:23.380]   and Christ-like will not be possible.
[00:14:23.380 --> 00:14:25.220]   And already in a vulnerable position
[00:14:25.220 --> 00:14:28.220]   as a woman who is called to be submissive,
[00:14:28.220 --> 00:14:31.420]   you will cause yourself to not only be vulnerable,
[00:14:31.420 --> 00:14:34.500]   but to perhaps endure great pains.
[00:14:34.500 --> 00:14:37.620]   I want to advise you, make sure he understands
[00:14:37.620 --> 00:14:40.100]   and knows the love of God in such a way
[00:14:40.100 --> 00:14:44.100]   that he has beheld the holy, holy love of God
[00:14:44.100 --> 00:14:45.620]   that has descended to reach
[00:14:45.620 --> 00:14:47.980]   a pitiful, wretched sinner like us,
[00:14:47.980 --> 00:14:52.860]   and he is just genuinely broken by the mercies of God.
[00:14:52.860 --> 00:14:56.180]   That's the kind of guy that you want,
[00:14:56.180 --> 00:14:58.820]   the guy who's seen the incredible love of God.
[00:14:58.820 --> 00:15:00.380]   Only then can he practice it.
[00:15:00.380 --> 00:15:02.780]   All right, moving on.
[00:15:02.780 --> 00:15:05.980]   In this passage, we see the clear command to the wives,
[00:15:05.980 --> 00:15:07.260]   and the command is this.
[00:15:07.260 --> 00:15:11.260]   Wives, be subject to your own husbands as to the Lord.
[00:15:11.260 --> 00:15:13.340]   Later on down the line,
[00:15:13.340 --> 00:15:15.060]   he talks about how this mystery is great,
[00:15:15.060 --> 00:15:17.420]   but I am speaking with reference to Christ and the church.
[00:15:17.420 --> 00:15:19.820]   Nevertheless, each individual among you
[00:15:19.820 --> 00:15:22.740]   also is to love his own wife, even as himself,
[00:15:22.740 --> 00:15:26.460]   and the wife must see to it that she respects her husband.
[00:15:26.460 --> 00:15:28.020]   So I want to highlight for you
[00:15:28.020 --> 00:15:30.940]   the two commands that is given within this paragraph,
[00:15:30.940 --> 00:15:33.020]   verses 21 through 33.
[00:15:33.020 --> 00:15:35.580]   And the two commandments are that you be subject
[00:15:35.580 --> 00:15:37.900]   to your own husbands as to the Lord,
[00:15:37.900 --> 00:15:40.020]   and that the wife must see to it
[00:15:40.020 --> 00:15:42.220]   that she respects her husband.
[00:15:42.220 --> 00:15:46.860]   Giving you a little bit of an outline of the passage,
[00:15:46.860 --> 00:15:49.740]   those two commandments are emphatic,
[00:15:49.740 --> 00:15:51.580]   and then the rest of the section that we're looking at
[00:15:51.580 --> 00:15:54.180]   gives you the rationale for the husband
[00:15:54.180 --> 00:15:55.660]   is the head of the wife.
[00:15:55.660 --> 00:15:57.500]   And then it gives you the model,
[00:15:57.500 --> 00:16:00.700]   but as the church is subject to Christ.
[00:16:00.700 --> 00:16:02.860]   So it gives you the rationale and the model
[00:16:02.860 --> 00:16:05.100]   in verse 23 and 24.
[00:16:06.020 --> 00:16:08.020]   Let's take a look at these two commands,
[00:16:08.020 --> 00:16:10.780]   be subject and be respectful.
[00:16:10.780 --> 00:16:13.060]   First, when we think about be subject,
[00:16:13.060 --> 00:16:16.460]   again, this term, be subject,
[00:16:16.460 --> 00:16:20.260]   is a connection to the previous command in verse 21
[00:16:20.260 --> 00:16:24.820]   that says be subject to one another in the fear of Christ.
[00:16:24.820 --> 00:16:28.100]   And that term most frequently is used
[00:16:28.100 --> 00:16:29.860]   in the military context.
[00:16:29.860 --> 00:16:32.700]   That term means to place under, okay?
[00:16:32.700 --> 00:16:34.020]   To place under.
[00:16:35.020 --> 00:16:38.140]   This is the idea of being submissive.
[00:16:38.140 --> 00:16:41.260]   And because it is used frequently in the military context,
[00:16:41.260 --> 00:16:43.700]   it is thinking about arranging individuals
[00:16:43.700 --> 00:16:46.780]   in terms of rank, okay?
[00:16:46.780 --> 00:16:49.300]   And I just like to put it into simplistic terms.
[00:16:49.300 --> 00:16:51.620]   I mean, we could sit and think deeply and meditate
[00:16:51.620 --> 00:16:52.700]   about what does submission mean?
[00:16:52.700 --> 00:16:54.660]   What does submission mean, right?
[00:16:54.660 --> 00:16:56.180]   But essentially when Jesus says,
[00:16:56.180 --> 00:16:59.860]   "Not my will, but yours," that's submission.
[00:16:59.860 --> 00:17:01.420]   I'm not gonna lead, you lead.
[00:17:01.420 --> 00:17:02.900]   That's submission, right?
[00:17:02.900 --> 00:17:06.940]   And so that, in terms of a kind of simplistic definition,
[00:17:06.940 --> 00:17:08.460]   you have it there.
[00:17:08.460 --> 00:17:13.260]   Also, in tandem with that, the passage says to respect.
[00:17:13.260 --> 00:17:18.260]   And the concept of respect is the word phobia, right?
[00:17:18.260 --> 00:17:20.780]   Which where we get that, like the Latin terms
[00:17:20.780 --> 00:17:23.900]   and the English word phobia, which means to fear.
[00:17:23.900 --> 00:17:27.420]   The most frequent or most commonly used translation
[00:17:27.420 --> 00:17:30.620]   of this term is fear, but in context of certain things
[00:17:30.620 --> 00:17:32.860]   like fearing of the Lord, fearing of people,
[00:17:32.860 --> 00:17:37.260]   we get the ideas of reverence, respect, and honor, okay?
[00:17:37.260 --> 00:17:39.620]   There are some cross-references
[00:17:39.620 --> 00:17:40.460]   I would like to highlight for you.
[00:17:40.460 --> 00:17:41.980]   And the first cross-reference comes
[00:17:41.980 --> 00:17:44.700]   from Colossians 3, 18 through 19.
[00:17:44.700 --> 00:17:47.900]   This passage says, "Wives, be subject to your husbands
[00:17:47.900 --> 00:17:50.340]   "as is fitting in the Lord.
[00:17:50.340 --> 00:17:51.400]   "Husbands, love your wives
[00:17:51.400 --> 00:17:53.940]   "and do not be embittered against them."
[00:17:53.940 --> 00:17:55.780]   Here's another passage that I'm gonna refer to
[00:17:55.780 --> 00:17:57.740]   a couple times, so I'm gonna read it for you here,
[00:17:57.740 --> 00:17:58.660]   and it's important for us.
[00:17:58.660 --> 00:18:01.920]   It says, 1 Peter 3, verse one through six,
[00:18:01.920 --> 00:18:03.960]   "In the same way, you wives,
[00:18:03.960 --> 00:18:05.720]   "be submissive to your own husbands,
[00:18:05.720 --> 00:18:09.280]   "so that even if any of them are disobedient to the word,
[00:18:09.280 --> 00:18:10.880]   "they may be won without a word
[00:18:10.880 --> 00:18:13.060]   "by the behavior of their wives,
[00:18:13.060 --> 00:18:16.720]   "as they observe your chast and respectful behavior.
[00:18:16.720 --> 00:18:19.000]   "Your adornment must not be merely external,
[00:18:19.000 --> 00:18:21.320]   "braiding the hair and wearing gold jewelry
[00:18:21.320 --> 00:18:23.100]   "or putting on dresses,
[00:18:23.100 --> 00:18:25.900]   "but let it be the hidden person of the heart,
[00:18:25.900 --> 00:18:27.400]   "but the imperishable quality
[00:18:27.400 --> 00:18:29.480]   "of a gentle and quiet spirit,
[00:18:29.480 --> 00:18:31.800]   "which is precious in the sight of God.
[00:18:31.800 --> 00:18:33.320]   "For in this way, in former times,
[00:18:33.320 --> 00:18:35.540]   "a holy woman also, who hoped in God,
[00:18:35.540 --> 00:18:37.240]   "used to adorn themselves,
[00:18:37.240 --> 00:18:39.360]   "being submissive to their own husbands,
[00:18:39.360 --> 00:18:43.040]   "just as Sarah obeyed Abraham, calling him Lord.
[00:18:43.040 --> 00:18:45.280]   "And you have become her children
[00:18:45.280 --> 00:18:46.860]   "if you do what is right
[00:18:46.860 --> 00:18:50.720]   "without being frightened by any fear."
[00:18:50.720 --> 00:18:51.560]   Okay?
[00:18:51.560 --> 00:18:53.560]   So what you have there is you have some
[00:18:53.560 --> 00:18:57.200]   cross-references and other passages
[00:18:57.200 --> 00:19:01.080]   that describe the element of submissiveness,
[00:19:01.080 --> 00:19:03.280]   and more importantly, in the 1 Peter passage,
[00:19:03.280 --> 00:19:06.040]   it talks about how there's this respectful behavior
[00:19:06.040 --> 00:19:08.920]   in the way that Sarah treated Abraham.
