
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:01:55.720 --> 00:02:11.020]   ♪ The mystery of the cross I cannot comprehend ♪
[00:02:11.020 --> 00:02:18.380]   ♪ The agonies of Calvary ♪
[00:02:21.220 --> 00:02:26.220]   ♪ You, the perfect Holy One, Christ your Son ♪
[00:02:26.220 --> 00:02:33.780]   ♪ The strength of bitter cold reserved for me ♪
[00:02:33.780 --> 00:02:41.180]   ♪ Your blood has washed away my sin ♪
[00:02:41.180 --> 00:02:44.140]   ♪ Jesus, thank you ♪
[00:02:44.140 --> 00:02:49.020]   ♪ The Father's wrath completely satisfied ♪
[00:02:49.020 --> 00:02:51.940]   ♪ Jesus, thank you ♪
[00:02:51.940 --> 00:02:56.940]   ♪ Once your enemy, now seated at your table ♪
[00:02:56.940 --> 00:03:01.500]   ♪ Jesus, thank you ♪
[00:03:16.820 --> 00:03:18.980]   - By a perfect sacrifice.
[00:03:18.980 --> 00:03:23.980]   ♪ By a perfect sacrifice I've been ♪
[00:03:23.980 --> 00:03:29.060]   ♪ From your enemy you've made your friend ♪
[00:03:29.060 --> 00:03:38.980]   ♪ Pouring out the riches of your gloriousness ♪
[00:03:38.980 --> 00:03:46.220]   ♪ Your mercy and your kindness know no end ♪
[00:03:47.220 --> 00:03:52.220]   ♪ Your blood has washed away my sin ♪
[00:03:52.220 --> 00:03:55.860]   ♪ Jesus, thank you ♪
[00:03:55.860 --> 00:04:00.660]   ♪ The Father's wrath completely satisfied ♪
[00:04:00.660 --> 00:04:03.580]   ♪ Jesus, thank you ♪
[00:04:03.580 --> 00:04:08.580]   ♪ Once your enemy, now seated at your table ♪
[00:04:08.580 --> 00:04:12.940]   ♪ Jesus, thank you ♪
[00:04:12.940 --> 00:04:15.260]   ♪ Thank you ♪
[00:04:15.260 --> 00:04:29.700]   - Lover of my soul.
[00:04:29.700 --> 00:04:35.540]   ♪ Lover of my soul ♪
[00:04:35.540 --> 00:04:39.480]   ♪ I want to live for you ♪
[00:04:39.480 --> 00:04:44.480]   ♪ I want to live for you ♪
[00:04:44.480 --> 00:04:50.320]   ♪ Lover of my soul ♪
[00:04:50.320 --> 00:04:55.960]   ♪ I want to live for you ♪
[00:04:55.960 --> 00:05:05.440]   ♪ Lover of my soul ♪
[00:05:06.000 --> 00:05:11.000]   ♪ I want to live for you ♪
[00:05:11.000 --> 00:05:19.840]   ♪ Your blood has washed away my sin ♪
[00:05:19.840 --> 00:05:22.760]   ♪ Jesus, thank you ♪
[00:05:22.760 --> 00:05:27.400]   ♪ The Father's wrath completely satisfied ♪
[00:05:27.400 --> 00:05:29.800]   ♪ Jesus, thank you ♪
[00:05:29.800 --> 00:05:34.800]   ♪ Your blood has washed away my sin ♪
[00:05:34.960 --> 00:05:37.560]   ♪ Jesus, thank you ♪
[00:05:37.560 --> 00:05:42.440]   ♪ The Father's wrath completely satisfied ♪
[00:05:42.440 --> 00:05:45.360]   ♪ Jesus, thank you ♪
[00:05:45.360 --> 00:05:50.360]   ♪ Once your enemy, now seated at your table ♪
[00:05:50.360 --> 00:05:54.880]   ♪ Jesus, thank you ♪
[00:05:54.880 --> 00:05:57.120]   ♪ Thank you ♪
[00:05:57.120 --> 00:05:59.280]   ♪ Thank you ♪
[00:05:59.720 --> 00:06:01.960]   ♪ Thank you ♪
[00:06:01.960 --> 00:06:02.960]   the Lord.
[00:06:02.960 --> 00:06:05.540]   (gentle music)
[00:06:05.540 --> 00:06:10.540]  ,
[00:06:10.540 --> 00:06:13.120]   (gentle music)
[00:06:13.120 --> 00:06:14.120]   the Lord.
[00:06:14.120 --> 00:06:16.700]   (gentle music)
[00:06:16.700 --> 00:06:19.280]   (gentle music)
[00:06:19.280 --> 00:06:46.080]   ♪ Worthy of every song we could ever sing ♪
[00:06:47.080 --> 00:06:52.080]   ♪ Worthy of all the praise we could ever bring ♪
[00:06:52.080 --> 00:06:59.080]   ♪ Worthy of every breath we could ever breathe ♪
[00:06:59.080 --> 00:07:03.080]   ♪ We live for you ♪
[00:07:03.080 --> 00:07:05.660]   (gentle music)
[00:07:05.660 --> 00:07:15.080]   ♪ Jesus, the name above every other name ♪
[00:07:15.080 --> 00:07:20.080]   ♪ Jesus, the only one who could ever save ♪
[00:07:20.080 --> 00:07:27.080]   ♪ Worthy of every breath we could ever breathe ♪
[00:07:27.080 --> 00:07:30.080]   ♪ We live for you ♪
[00:07:30.080 --> 00:07:32.080]   (gentle music)
[00:07:32.080 --> 00:07:35.080]   ♪ We live for you ♪
[00:07:35.080 --> 00:07:37.080]   (gentle music)
[00:07:37.080 --> 00:07:42.080]   ♪ Holy, there is no one like you ♪
[00:07:43.080 --> 00:07:47.080]   ♪ There is none beside you ♪
[00:07:47.080 --> 00:07:52.080]   ♪ Open up my eyes in wonder ♪
[00:07:52.080 --> 00:07:57.080]   ♪ Show me who you are and fill me with your heart ♪
[00:07:57.080 --> 00:08:05.080]   ♪ And lead me in your love to those around me ♪
[00:08:05.080 --> 00:08:10.080]   (gentle music)
[00:08:10.080 --> 00:08:12.660]   (gentle music)
[00:08:12.660 --> 00:08:24.080]   ♪ Worthy ♪
[00:08:24.080 --> 00:08:26.080]   (gentle music)
[00:08:26.080 --> 00:08:31.080]   ♪ Worthy of every song we could ever sing ♪
[00:08:31.080 --> 00:08:38.080]   ♪ Worthy of all the praise we could ever bring ♪
[00:08:38.080 --> 00:08:43.080]   ♪ Worthy of every breath we could ever breathe ♪
[00:08:43.080 --> 00:08:47.080]   ♪ We live for you ♪
[00:08:47.080 --> 00:08:49.660]   (gentle music)
[00:08:49.660 --> 00:09:00.080]   ♪ Jesus, the name above every other name ♪
[00:09:02.080 --> 00:09:07.080]   ♪ Jesus, the only one who could ever save ♪
[00:09:07.080 --> 00:09:10.080]   (gentle music)
[00:09:10.080 --> 00:09:15.080]   ♪ Worthy of every breath we could ever breathe ♪
[00:09:15.080 --> 00:09:18.080]   ♪ We live for you ♪
[00:09:18.080 --> 00:09:19.080]   (gentle music)
[00:09:19.080 --> 00:09:22.080]   ♪ We live for you ♪
[00:09:22.080 --> 00:09:24.080]   (gentle music)
[00:09:24.080 --> 00:09:29.080]   ♪ Holy, there is no one like you ♪
[00:09:29.080 --> 00:09:33.080]   ♪ There is none beside you ♪
[00:09:33.080 --> 00:09:38.080]   ♪ Open up my eyes in wonder ♪
[00:09:38.080 --> 00:09:43.080]   ♪ Show me who you are and fill me with your heart ♪
[00:09:43.080 --> 00:09:51.080]   ♪ And lead me in your love to those around me ♪
[00:09:51.080 --> 00:09:57.080]   (gentle music)
[00:09:58.080 --> 00:10:01.080]   (gentle music)
[00:10:01.080 --> 00:10:14.080]   ♪ And I will build my life upon your love ♪
[00:10:14.080 --> 00:10:23.080]   ♪ It is a firm foundation ♪
[00:10:24.080 --> 00:10:29.080]   ♪ And I will put my trust in you alone ♪
[00:10:29.080 --> 00:10:38.080]   ♪ And I will not be shaken ♪
[00:10:38.080 --> 00:10:44.080]   ♪ And I will build my life upon your love ♪
[00:10:44.080 --> 00:10:53.080]   ♪ It is a firm foundation ♪
[00:10:54.080 --> 00:10:59.080]   ♪ And I will put my trust in you alone ♪
[00:10:59.080 --> 00:11:08.080]   ♪ And I will not be shaken ♪
[00:11:08.080 --> 00:11:14.080]   ♪ Holy, there is no one like you ♪
[00:11:14.080 --> 00:11:19.080]   ♪ There is none beside you ♪
[00:11:19.080 --> 00:11:24.080]   ♪ Open up my eyes in wonder ♪
[00:11:24.080 --> 00:11:30.080]   ♪ Show me who you are and fill me with your heart ♪
[00:11:30.080 --> 00:11:37.080]   ♪ And lead me in your love to those around me ♪
[00:11:37.080 --> 00:11:45.080]   ♪ And I will build my life upon your love ♪
[00:11:46.080 --> 00:11:51.080]   ♪ It is a firm foundation ♪
[00:11:51.080 --> 00:11:57.080]   ♪ And I will put my trust in you alone ♪
[00:11:57.080 --> 00:12:05.080]   ♪ And I will not be shaken ♪
[00:12:05.080 --> 00:12:11.080]   ♪ And I will build my life upon your love ♪
[00:12:11.080 --> 00:12:16.080]   ♪ I will build my life upon your love ♪
[00:12:16.080 --> 00:12:25.080]   ♪ It is a firm foundation ♪
[00:12:25.080 --> 00:12:32.080]   ♪ And I will put my trust in you alone ♪
[00:12:36.080 --> 00:12:41.080]   ♪ And I will not be shaken ♪
[00:13:05.080 --> 00:13:07.240]   - All right, good evening.
[00:13:07.240 --> 00:13:16.080]   It's not on, okay.
[00:13:16.080 --> 00:13:18.080]   All right, am I looking in the right direction?
[00:13:18.080 --> 00:13:20.080]   All right, so good evening.
[00:13:20.080 --> 00:13:22.080]   We wanted to be intentional
[00:13:22.080 --> 00:13:23.080]   with what we are doing this evening.
[00:13:23.080 --> 00:13:25.080]   And I know, you know, you guys,
[00:13:25.080 --> 00:13:28.080]   hopefully you had a opportunity to eat your food
[00:13:28.080 --> 00:13:30.080]   and you're resting.
[00:13:30.080 --> 00:13:32.080]   But again, we wanted to be intentional
[00:13:32.080 --> 00:13:33.080]   with the time that we have.
[00:13:33.080 --> 00:13:35.080]   I just heard before I came up here,
[00:13:35.080 --> 00:13:39.080]   there's about 29 different groups spread out in the region.
[00:13:39.080 --> 00:13:42.080]   And I know some of you guys are very sick.
[00:13:42.080 --> 00:13:44.080]   Shout out to the Johns.
[00:13:44.080 --> 00:13:46.080]   Yeah, they had a home group over there
[00:13:46.080 --> 00:13:47.080]   and they had to kind of spread out
[00:13:47.080 --> 00:13:48.080]   because their family's not doing well.
[00:13:48.080 --> 00:13:50.080]   And I know other people who are home
[00:13:50.080 --> 00:13:51.080]   because you guys are not doing well.
[00:13:51.080 --> 00:13:55.080]   But hopefully you guys can enjoy the time together.
[00:13:55.080 --> 00:13:56.080]   Let me pray for us.
[00:13:56.080 --> 00:13:58.080]   And then I wanna give a short devotion
[00:13:58.080 --> 00:13:59.080]   so that we can have some time
[00:13:59.080 --> 00:14:01.080]   of intentional discussion afterwards.
[00:14:01.080 --> 00:14:02.080]   All right, let's pray.
[00:14:02.080 --> 00:14:06.080]   Gracious Father, we thank you so much
[00:14:06.080 --> 00:14:09.080]   for the blessing that you've given our community
[00:14:09.080 --> 00:14:15.080]   that we can gather together in homes, in various places
[00:14:15.080 --> 00:14:18.080]   to share a meal, to break bread,
[00:14:18.080 --> 00:14:19.080]   to give thanks, Lord God,
[00:14:19.080 --> 00:14:24.080]   for your grace and love that you pour upon us.
[00:14:24.080 --> 00:14:25.080]   I pray that you would bless this time.
[00:14:25.080 --> 00:14:29.080]   And as we have heard your word this morning,
[00:14:29.080 --> 00:14:31.080]   and as we will be reminded again, Father God,
[00:14:31.080 --> 00:14:33.080]   of who you are, help us, Lord,
[00:14:33.080 --> 00:14:36.080]   to truly have an attitude of gratitude
[00:14:36.080 --> 00:14:37.080]   in all that we have.
[00:14:37.080 --> 00:14:39.080]   Bless this time, bless your word.
[00:14:39.080 --> 00:14:42.080]   In Jesus' name we pray, amen.
[00:14:42.080 --> 00:14:44.080]   Well, Merry Christmas.
[00:14:44.080 --> 00:14:45.080]   I know it's not Christmas.
[00:14:45.080 --> 00:14:47.080]   I know it's Thanksgiving, right?
[00:14:47.080 --> 00:14:50.080]   I mentioned this maybe about as early as I can remember,
[00:14:50.080 --> 00:14:52.080]   maybe like 10 to 12 years ago,
[00:14:52.080 --> 00:14:55.080]   I've noticed that Thanksgiving is slowly disappearing.
[00:14:55.080 --> 00:14:58.080]   And outside of the church, I'm not hearing this,
[00:14:58.080 --> 00:15:01.080]   you know, in the media or social media.
[00:15:01.080 --> 00:15:04.080]   There's already advertisements going out about Black Friday,
[00:15:04.080 --> 00:15:08.080]   and I see Christmas decorations going up early and earlier.
[00:15:08.080 --> 00:15:15.080]   But if there's one holiday that, as Christians,
[00:15:15.080 --> 00:15:17.080]   that we really need to be intentional about
[00:15:17.080 --> 00:15:19.080]   is this particular holiday, you know?
[00:15:19.080 --> 00:15:21.080]   And so I was kind of wrestling through the years,
[00:15:21.080 --> 00:15:25.080]   and especially this year, why is Thanksgiving disappearing?
[00:15:25.080 --> 00:15:26.080]   Even though it's a major holiday.
[00:15:26.080 --> 00:15:28.080]   This is not just--it's not like Columbus Day,
[00:15:28.080 --> 00:15:30.080]   we have one day and then people forget about it.
[00:15:30.080 --> 00:15:32.080]   I mean, schools are off.
[00:15:32.080 --> 00:15:34.080]   Some of the schools are off for the whole week.
[00:15:34.080 --> 00:15:37.080]   You know, I don't know anybody who's working on Thanksgiving,
[00:15:37.080 --> 00:15:41.080]   other than, you know, some of you guys who are, you know.
[00:15:41.080 --> 00:15:45.080]   But why is this--why is Thanksgiving disappearing?
[00:15:45.080 --> 00:15:47.080]   And so I've actually asked some friends,
[00:15:47.080 --> 00:15:48.080]   like, what your thoughts are,
[00:15:48.080 --> 00:15:50.080]   and why do you think Thanksgiving is disappearing?
[00:15:50.080 --> 00:15:52.080]   And so I've heard various things,
[00:15:52.080 --> 00:15:54.080]   and, you know, one of the theories that came up
[00:15:54.080 --> 00:15:58.080]   is that maybe because of this new woke movement
[00:15:58.080 --> 00:16:00.080]   and maybe the pilgrims, you know,
[00:16:00.080 --> 00:16:04.080]   didn't treat the initial Native Americans right,
[00:16:04.080 --> 00:16:06.080]   and maybe that's the reason.
[00:16:06.080 --> 00:16:08.080]   And it could be, you know.
[00:16:08.080 --> 00:16:10.080]   But if it is, there's no intentionality.
[00:16:10.080 --> 00:16:12.080]   I haven't heard much about it.
[00:16:12.080 --> 00:16:15.080]   But the more I contemplate, I think part of the reason
[00:16:15.080 --> 00:16:18.080]   why this day seems less and less significant,
[00:16:18.080 --> 00:16:20.080]   other than the fact that this is a day
[00:16:20.080 --> 00:16:22.080]   where there's all kinds of shopping going on,
[00:16:22.080 --> 00:16:24.080]   is that we're distracted.
[00:16:24.080 --> 00:16:25.080]   You know, we're distracted.
[00:16:25.080 --> 00:16:28.080]   If there's any one particular season of the year
[00:16:28.080 --> 00:16:32.080]   where we can be, you know, we can focus our attentions,
[00:16:32.080 --> 00:16:33.080]   like everything that I've wanted,
[00:16:33.080 --> 00:16:35.080]   everything that I've wanted to buy,
[00:16:35.080 --> 00:16:37.080]   Black Friday is coming up, you know,
[00:16:37.080 --> 00:16:39.080]   Cyber Monday is coming up,
[00:16:39.080 --> 00:16:41.080]   and then we're already thinking about Christmas,
[00:16:41.080 --> 00:16:42.080]   thinking about what am I going to get,
[00:16:42.080 --> 00:16:44.080]   or what am I going to buy people?
[00:16:44.080 --> 00:16:48.080]   And so I think that desire to get Christmas coming
[00:16:48.080 --> 00:16:50.080]   is coming earlier and earlier and earlier,
[00:16:50.080 --> 00:16:53.080]   and Thanksgiving is just an excuse to do that.
[00:16:53.080 --> 00:16:55.080]   The reason why, as Christians,
[00:16:55.080 --> 00:16:57.080]   why this day needs to be taken intentionally
[00:16:57.080 --> 00:17:00.080]   is because the Bible says in 2 Timothy 3,
[00:17:00.080 --> 00:17:03.080]   in the last days, and I'm not going to read the thing
[00:17:03.080 --> 00:17:05.080]   for you for the sake of time,
[00:17:05.080 --> 00:17:08.080]   he says there's specific qualities
[00:17:08.080 --> 00:17:10.080]   are going to be heightened in the last days
[00:17:10.080 --> 00:17:12.080]   before Jesus comes.
[00:17:12.080 --> 00:17:14.080]   And I want to highlight those three things.
[00:17:14.080 --> 00:17:16.080]   Those three things he says, the lover of self.
[00:17:16.080 --> 00:17:18.080]   In other words, people are going to become
[00:17:18.080 --> 00:17:20.080]   more and more self-centered, right?
[00:17:20.080 --> 00:17:23.080]   The Instagram culture, where we're kind of like
[00:17:23.080 --> 00:17:25.080]   promoting ourselves constantly.
[00:17:25.080 --> 00:17:26.080]   And again, there's nothing wrong with Instagram
[00:17:26.080 --> 00:17:28.080]   in and of itself, but we live in a culture
[00:17:28.080 --> 00:17:31.080]   where self-promotion is heightened
[00:17:31.080 --> 00:17:34.080]   more than any time that I can remember in my life.
[00:17:34.080 --> 00:17:36.080]   And it tells us that at the end times,
[00:17:36.080 --> 00:17:38.080]   we're going to be lovers of self.
[00:17:38.080 --> 00:17:42.080]   And the second thing it says is ungrateful,
[00:17:42.080 --> 00:17:46.080]   that Thanksgiving is basically going to be weeded out.
[00:17:46.080 --> 00:17:48.080]   In other words, part of the reason why Thanksgiving
[00:17:48.080 --> 00:17:50.080]   is being weeded out is because there's constantly
[00:17:50.080 --> 00:17:52.080]   things that we covet.
[00:17:52.080 --> 00:17:55.080]   Whether it's physical things, relationships,
[00:17:55.080 --> 00:17:58.080]   or some goals, or job, or whatever it is,
[00:17:58.080 --> 00:18:00.080]   this bucket list that we created for ourselves,
[00:18:00.080 --> 00:18:03.080]   and we're constantly living and expecting,
[00:18:03.080 --> 00:18:05.080]   I want this, I want that, and I want that.
[00:18:05.080 --> 00:18:07.080]   And it kind of weeds out.
[00:18:07.080 --> 00:18:10.080]   The more you fill your head with things
[00:18:10.080 --> 00:18:12.080]   that you do not have, that you desire,
[00:18:12.080 --> 00:18:15.080]   you're naturally not thankful because you don't have it.
[00:18:15.080 --> 00:18:19.080]   And so we live in a culture where we are bombarded,
[00:18:19.080 --> 00:18:22.080]   whether it's things, whether it's experience,
[00:18:22.080 --> 00:18:25.080]   whether it's comparing, and so it naturally
[00:18:25.080 --> 00:18:27.080]   weeds out thankfulness.
[00:18:27.080 --> 00:18:30.080]   And as a result of that, it says that there's going
[00:18:30.080 --> 00:18:34.080]   to hold onto a form of godliness while denying its power.
[00:18:34.080 --> 00:18:37.080]   If our hearts are filled with self-centeredness,
[00:18:37.080 --> 00:18:41.080]   with ungratefulness, naturally the end result
[00:18:41.080 --> 00:18:43.080]   is going to be we're going to pretend,
[00:18:43.080 --> 00:18:45.080]   we're going to go through the motions,
[00:18:45.080 --> 00:18:47.080]   we're going to sing the songs, we're going to gather together,
[00:18:47.080 --> 00:18:50.080]   and we might sit around tables and try to think about
[00:18:50.080 --> 00:18:54.080]   what are we thankful for, but it's not an overflowing
[00:18:54.080 --> 00:18:57.080]   of what is actually happening in our hearts.
[00:18:57.080 --> 00:19:00.080]   And Pastor Peter mentioned this morning in Romans 121,
[00:19:00.080 --> 00:19:03.080]   that although they knew God, they did not honor him as God
[00:19:03.080 --> 00:19:06.080]   or give thanks to him, but they became futile
[00:19:06.080 --> 00:19:09.080]   in their thinking, corrupt in their thinking,
[00:19:09.080 --> 00:19:12.080]   and their hearts became hardened.
[00:19:12.080 --> 00:19:17.080]   If I was to ask you, what are you thankful for,
[00:19:17.080 --> 00:19:20.080]   which is probably what we're going to be doing
[00:19:20.080 --> 00:19:22.080]   during Thanksgiving, what are you thankful for?
[00:19:22.080 --> 00:19:24.080]   And you'll probably sit and contemplate and say,
[00:19:24.080 --> 00:19:27.080]   I'm thankful for my parents, I'm thankful for my husband,
[00:19:27.080 --> 00:19:31.080]   my wife, my children, and we go through this list,
[00:19:31.080 --> 00:19:33.080]   but we have to really sit down and think,
[00:19:33.080 --> 00:19:36.080]   are you actually really thankful for that?
[00:19:36.080 --> 00:19:39.080]   But if I was to ask you, what's bothering you?
[00:19:39.080 --> 00:19:41.080]   What's bothering you?
[00:19:41.080 --> 00:19:44.080]   Most people doesn't need much prodding.
[00:19:44.080 --> 00:19:46.080]   In fact, if we sit and have a conversation,
[00:19:46.080 --> 00:19:49.080]   give it five minutes, right?
[00:19:49.080 --> 00:19:51.080]   You don't have to ask, what's bothering you?
[00:19:51.080 --> 00:19:54.080]   If you're really open, right, most people,
[00:19:54.080 --> 00:19:56.080]   it's just a matter of time.
[00:19:56.080 --> 00:19:58.080]   They feel comfortable with you enough to be able
[00:19:58.080 --> 00:20:00.080]   to open up themselves, and we don't have a problem
[00:20:00.080 --> 00:20:04.080]   because we already have a list that we're bothered by.
[00:20:04.080 --> 00:20:06.080]   That's our natural condition.
[00:20:06.080 --> 00:20:09.080]   Our natural conditioned heart is to focus on the things
[00:20:09.080 --> 00:20:11.080]   that we are not happy about, focus on the things
[00:20:11.080 --> 00:20:13.080]   that we do not have.
[00:20:13.080 --> 00:20:17.080]   And so if we're not intentional about being grateful,
[00:20:17.080 --> 00:20:20.080]   our natural inclination is to focus on the things
[00:20:20.080 --> 00:20:22.080]   that we're not happy about.
[00:20:22.080 --> 00:20:24.080]   And so that's why this is so important,
[00:20:24.080 --> 00:20:28.080]   that as Christians we gather together and be intentional.
[00:20:28.080 --> 00:20:32.080]   So the opposite of thankfulness is ungratefulness
[00:20:32.080 --> 00:20:35.080]   or bitterness or grumbling.
[00:20:35.080 --> 00:20:39.080]   And the Bible is filled with warning about grumbling.
[00:20:39.080 --> 00:20:42.080]   In Hebrews 12:15, he says, "See to it that no one fails
[00:20:42.080 --> 00:20:46.080]   to obtain the grace of God, that no root of bitterness
[00:20:46.080 --> 00:20:49.080]   springs up and causes trouble, and by it,
[00:20:49.080 --> 00:20:50.080]   many become defiled."
[00:20:50.080 --> 00:20:53.080]   Do you notice here how he says the root of bitterness?
[00:20:53.080 --> 00:20:56.080]   He doesn't just say the fruit of bitterness,
[00:20:56.080 --> 00:21:01.080]   but the root of bitterness, meaning bitterness is the root
[00:21:01.080 --> 00:21:05.080]   of what causes you to be defiled.
[00:21:05.080 --> 00:21:09.080]   So bitterness and grumbling in heart is the beginning
[00:21:09.080 --> 00:21:11.080]   of whatever path that you are going down.
[00:21:11.080 --> 00:21:16.080]   And so there's a warning in Hebrews 12, 15 to watch out
[00:21:16.080 --> 00:21:18.080]   for the root of bitterness and grumbling.
[00:21:18.080 --> 00:21:23.080]   1 Corinthians 10, 9-10, it warns us about the nation of Israel
[00:21:23.080 --> 00:21:25.080]   and their history.
[00:21:25.080 --> 00:21:28.080]   We must not put Christ to the test, as some of them did,
[00:21:28.080 --> 00:21:31.080]   talking about Israelites during the 40 years of wandering,
[00:21:31.080 --> 00:21:34.080]   and were destroyed by serpents, nor grumble, as some of them did,
[00:21:34.080 --> 00:21:37.080]   and were destroyed by the destroyer.
[00:21:37.080 --> 00:21:39.080]   What was the cause of their destruction?
[00:21:39.080 --> 00:21:42.080]   Why was judgment upon the nation of Israel?
[00:21:42.080 --> 00:21:43.080]   There's two things that he says.
[00:21:43.080 --> 00:21:45.080]   One, they tested God, right?
[00:21:45.080 --> 00:21:48.080]   They're constantly asking God to prove himself.
[00:21:48.080 --> 00:21:51.080]   If you're really God and you really care about us,
[00:21:51.080 --> 00:21:54.080]   you should be doing this, this, and this, and this.
[00:21:54.080 --> 00:21:56.080]   So first thing that they were doing is they were constantly
[00:21:56.080 --> 00:21:58.080]   testing God.
[00:21:58.080 --> 00:21:59.080]   Do you really care?
[00:21:59.080 --> 00:22:01.080]   Are you really going to deliver us?
[00:22:01.080 --> 00:22:03.080]   Are you really going to care for us?
[00:22:03.080 --> 00:22:05.080]   So he said, one, they were testing God.
[00:22:05.080 --> 00:22:09.080]   And second, the testing led to grumbling.
[00:22:09.080 --> 00:22:12.080]   When God didn't act the way that they wanted God to act,
[00:22:12.080 --> 00:22:14.080]   they started to grumble.
[00:22:14.080 --> 00:22:20.080]   And so the history of Israel during the desert is testing God,
[00:22:20.080 --> 00:22:23.080]   and when God didn't pass the test, they would grumble.
[00:22:23.080 --> 00:22:26.080]   And as a result of their grumbling, it's as some of them did
[00:22:26.080 --> 00:22:30.080]   and were destroyed by the destroyer.
[00:22:30.080 --> 00:22:34.080]   So the root of bitterness comes from testing God.
[00:22:34.080 --> 00:22:36.080]   Not trusting God, but testing God.
[00:22:36.080 --> 00:22:38.080]   Are you going to give me what I want?
[00:22:38.080 --> 00:22:41.080]   Are you going to answer my prayer?
[00:22:41.080 --> 00:22:44.080]   Are you going to make this situation better?
[00:22:44.080 --> 00:22:46.080]   And then obviously when things don't work out,
[00:22:46.080 --> 00:22:50.080]   we tend to grumble, and grumbling is what leads to destruction.
[00:22:50.080 --> 00:22:55.080]   The Israelites, I think, there's many things that we can say about the Israelites,
[00:22:55.080 --> 00:23:00.080]   but the period of Israel in the desert, you can say it was a period of grumbling.
[00:23:00.080 --> 00:23:04.080]   In Exodus 14, 11-12, as soon as God delivered,
[00:23:04.080 --> 00:23:10.080]   they saw God's power delivered them from the Pharaoh.
[00:23:10.080 --> 00:23:12.080]   The Pharaoh is the superpower of that time,
[00:23:12.080 --> 00:23:15.080]   and this bunch of people who were just slaves,
[00:23:15.080 --> 00:23:18.080]   God shows up, performs ten miracles,
[00:23:18.080 --> 00:23:20.080]   and you would think that they would just be awed,
[00:23:20.080 --> 00:23:23.080]   like, "God delivered us from Pharaoh."
[00:23:23.080 --> 00:23:26.080]   But as soon as they get into trouble, they hit the river,
[00:23:26.080 --> 00:23:29.080]   and they see Pharaoh coming, and they get scared.
[00:23:29.080 --> 00:23:31.080]   This is what they say.
[00:23:31.080 --> 00:23:34.080]   They said to Moses, "Is it because there are no graves in Egypt
[00:23:34.080 --> 00:23:37.080]   that you have taken us away to die in the wilderness?"
[00:23:37.080 --> 00:23:40.080]   They already forgot about what God has done.
[00:23:40.080 --> 00:23:43.080]   "What have you done to us in bringing us out of Egypt?
[00:23:43.080 --> 00:23:46.080]   Is not this what we said to you in Egypt?
[00:23:46.080 --> 00:23:49.080]   Leave us alone that we may serve the Egyptians."
[00:23:49.080 --> 00:23:50.080]   Let me stop right there.
[00:23:50.080 --> 00:23:53.080]   That's a bold-faced lie, right?
