
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:05:21.920 --> 00:05:24.920]   (audience laughing)
[00:05:24.920 --> 00:05:27.920]   (audience laughing)
[00:05:27.920 --> 00:05:45.920]   (audience laughing)
[00:05:45.920 --> 00:05:48.920]   (audience laughing)
[00:05:48.920 --> 00:06:03.920]   (audience laughing)
[00:06:03.920 --> 00:06:06.920]   (audience laughing)
[00:06:06.920 --> 00:06:23.920]   (audience laughing)
[00:06:23.920 --> 00:06:26.920]   (audience laughing)
[00:06:26.920 --> 00:06:40.920]   (audience laughing)
[00:06:40.920 --> 00:06:43.920]   (audience laughing)
[00:06:43.920 --> 00:06:55.920]   (audience laughing)
[00:06:55.920 --> 00:06:58.920]   (audience laughing)
[00:06:58.920 --> 00:07:01.920]   (audience laughing)
[00:07:01.920 --> 00:07:04.920]   (audience laughing)
[00:07:04.920 --> 00:07:07.920]   (audience laughing)
[00:07:07.920 --> 00:07:10.920]   (audience laughing)
[00:07:10.920 --> 00:07:13.920]   (audience laughing)
[00:07:13.920 --> 00:07:16.920]   (audience laughing)
[00:07:16.920 --> 00:07:35.920]   (audience laughing)
[00:07:35.920 --> 00:07:38.920]   (audience laughing)
[00:07:38.920 --> 00:07:41.920]   (audience laughing)
[00:07:41.920 --> 00:07:44.920]   (audience laughing)
[00:07:44.920 --> 00:07:47.920]   (audience laughing)
[00:07:47.920 --> 00:07:50.920]   (audience laughing)
[00:07:50.920 --> 00:07:53.920]   (audience laughing)
[00:07:53.920 --> 00:07:56.920]   (audience laughing)
[00:07:56.920 --> 00:07:59.920]   (audience laughing)
[00:07:59.920 --> 00:08:02.920]   (audience laughing)
[00:08:02.920 --> 00:08:05.920]   (audience laughing)
[00:08:05.920 --> 00:08:08.920]   (audience laughing)
[00:08:08.920 --> 00:08:11.920]   (audience laughing)
[00:08:11.920 --> 00:08:14.920]   (audience laughing)
[00:08:14.920 --> 00:08:20.920]   (audience laughing)
[00:08:20.920 --> 00:08:26.920]   (audience laughing)
[00:08:26.920 --> 00:08:31.920]   (audience laughing)
[00:08:31.920 --> 00:08:38.920]   (audience laughing)
[00:08:38.920 --> 00:08:41.920]   (audience laughing)
[00:08:41.920 --> 00:08:44.920]   (audience laughing)
[00:08:44.920 --> 00:08:47.920]   (audience laughing)
[00:08:47.920 --> 00:08:50.920]   (audience laughing)
[00:08:50.920 --> 00:08:53.920]   (audience laughing)
[00:08:53.920 --> 00:08:56.920]   (audience laughing)
[00:08:56.920 --> 00:08:59.920]   (audience laughing)
[00:08:59.920 --> 00:09:02.920]   (audience laughing)
[00:09:02.920 --> 00:09:05.920]   (audience laughing)
[00:09:05.920 --> 00:09:08.920]   (audience laughing)
[00:09:08.920 --> 00:09:12.000]   (gentle piano music)
[00:09:12.000 --> 00:09:15.080]   (gentle piano music)
[00:09:15.080 --> 00:09:41.520]   - Good morning, church family.
[00:09:41.520 --> 00:09:42.520]   Happy Lord's Day.
[00:09:42.520 --> 00:09:45.960]   Romans 12, verses one and two, it reads,
[00:09:45.960 --> 00:09:48.200]   "Therefore, I urge you, brethren,
[00:09:48.200 --> 00:09:51.100]   "by the mercies of God, to present your bodies
[00:09:51.100 --> 00:09:54.480]   "a living and holy sacrifice acceptable to God,
[00:09:54.480 --> 00:09:57.360]   "which is your spiritual service of worship.
[00:09:57.360 --> 00:09:59.520]   "Do not be conformed to this world,
[00:09:59.520 --> 00:10:02.660]   "but be transformed by the renewing of your mind,
[00:10:02.660 --> 00:10:04.960]   "so that you may prove what the will of God is,
[00:10:04.960 --> 00:10:07.820]   "that which is good and acceptable and perfect.
[00:10:08.940 --> 00:10:13.060]   "Today, consider his mercy, how he offers forgiveness
[00:10:13.060 --> 00:10:16.640]   "of our sins through the sacrifice of his son, Jesus,
[00:10:16.640 --> 00:10:19.680]   "and may it cause us and compel us to live a life
[00:10:19.680 --> 00:10:23.320]   "pleasing to him and to have a renewed mind
[00:10:23.320 --> 00:10:27.180]   "that aims to follow his will and not to the world."
[00:10:27.180 --> 00:10:30.380]   May this be our prayer today as we begin our service.
[00:10:36.020 --> 00:10:38.600]   (gentle music)
[00:10:38.600 --> 00:10:57.180]   ♪ This life is an altar ♪
[00:10:57.180 --> 00:11:01.820]   ♪ Where I want to offer my soul ♪
[00:11:01.820 --> 00:11:06.820]   ♪ My mind and strength ♪
[00:11:06.820 --> 00:11:13.460]   ♪ Cleanse by your mercy ♪
[00:11:13.460 --> 00:11:18.320]   ♪ So live a life worthy of the one ♪
[00:11:18.320 --> 00:11:23.320]   ♪ Who called my name ♪
[00:11:23.320 --> 00:11:28.040]   ♪ Jesus be glorified ♪
[00:11:28.040 --> 00:11:32.440]   ♪ Jesus be magnified ♪
[00:11:32.440 --> 00:11:37.440]   ♪ Let me be a pleasing sacrifice ♪
[00:11:37.440 --> 00:11:44.460]   ♪ Jesus be glorified ♪
[00:11:44.460 --> 00:11:48.640]   ♪ Jesus be magnified ♪
[00:11:48.640 --> 00:11:52.500]   ♪ Here at the altar ♪
[00:11:52.500 --> 00:11:55.500]   ♪ My life is an offer ♪
[00:11:55.500 --> 00:11:58.080]   (gentle music)
[00:11:58.080 --> 00:12:17.080]   ♪ I'm calling all of you ♪
[00:12:17.080 --> 00:12:19.720]   ♪ You offered my rescue ♪
[00:12:19.720 --> 00:12:24.720]   ♪ Raise me up from death to life ♪
[00:12:24.720 --> 00:12:27.300]   (gentle music)
[00:12:27.300 --> 00:12:33.500]   ♪ Spirit is in me ♪
[00:12:33.500 --> 00:12:36.140]   ♪ With you in your glory ♪
[00:12:36.140 --> 00:12:38.180]   ♪ I want your heart ♪
[00:12:38.180 --> 00:12:43.180]   ♪ As I give my life ♪
[00:12:43.180 --> 00:12:48.020]   ♪ Jesus be glorified ♪
[00:12:48.020 --> 00:12:52.520]   ♪ Jesus be magnified ♪
[00:12:52.520 --> 00:12:57.520]   ♪ Let me be a pleasing sacrifice ♪
[00:12:57.520 --> 00:13:04.500]   ♪ Jesus be glorified ♪
[00:13:04.500 --> 00:13:08.660]   ♪ Jesus be magnified ♪
[00:13:08.660 --> 00:13:12.620]   ♪ Here at the altar ♪
[00:13:12.620 --> 00:13:15.700]   ♪ My life is an offer ♪
[00:13:15.700 --> 00:13:18.280]   (gentle music)
[00:13:18.280 --> 00:13:33.280]  ,
[00:13:33.280 --> 00:13:37.280]   ♪ I choose to lose my life Lord ♪
[00:13:37.280 --> 00:13:41.280]   ♪ And find it in you ♪
[00:13:41.280 --> 00:13:45.280]   ♪ I choose to lose my life Lord ♪
[00:13:45.280 --> 00:13:49.280]   ♪ And find it in you ♪
[00:13:49.280 --> 00:13:53.280]   ♪ I choose to lose my life Lord ♪
[00:13:53.280 --> 00:13:57.280]   ♪ And find it in you ♪
[00:13:57.280 --> 00:14:01.280]   ♪ I choose to lose my life Lord ♪
[00:14:01.280 --> 00:14:06.280]   ♪ And find it in you ♪
[00:14:06.280 --> 00:14:10.280]   ♪ Jesus be glorified ♪
[00:14:10.280 --> 00:14:14.280]   ♪ Jesus be magnified ♪
[00:14:14.280 --> 00:14:19.280]   ♪ Let me be a pleasing sacrifice ♪
[00:14:19.280 --> 00:14:26.280]   ♪ Jesus be glorified ♪
[00:14:26.280 --> 00:14:30.280]   ♪ Jesus be magnified ♪
[00:14:30.280 --> 00:14:34.280]   ♪ Here at the altar ♪
[00:14:34.280 --> 00:14:37.280]   ♪ My life is an offer ♪
[00:14:37.280 --> 00:14:39.860]   (gentle music)
[00:14:39.860 --> 00:14:42.440]   (gentle music)
[00:14:42.440 --> 00:14:59.860]   - All right, good morning.
[00:14:59.860 --> 00:15:01.860]   Welcome to Breen Community Church.
[00:15:01.860 --> 00:15:03.860]   We have an announcement from our sister's ministry
[00:15:03.860 --> 00:15:04.860]   about our holiday outreach.
[00:15:04.860 --> 00:15:06.860]   So they're gonna come up and give the announcement.
[00:15:06.860 --> 00:15:08.860]   So, Jennie, you're up first.
[00:15:08.860 --> 00:15:09.860]   - Thank you.
[00:15:09.860 --> 00:15:11.860]   Good morning, church family.
[00:15:11.860 --> 00:15:14.860]   My name is Grace and I have Jennie up here with me.
[00:15:14.860 --> 00:15:16.860]   We're here to share with you today
[00:15:16.860 --> 00:15:20.860]   about some of the upcoming holiday outreach opportunities,
[00:15:20.860 --> 00:15:23.860]   two of four, which will be announced today
[00:15:23.860 --> 00:15:26.860]   and which will start signups today.
[00:15:26.860 --> 00:15:29.860]   The holiday outreach started years back
[00:15:29.860 --> 00:15:32.860]   out of a heart to really share the good news of Christ
[00:15:32.860 --> 00:15:33.860]   to those around us,
[00:15:33.860 --> 00:15:34.860]   especially during the season
[00:15:34.860 --> 00:15:37.860]   in which we celebrate the birth of our Lord and Savior.
[00:15:37.860 --> 00:15:41.860]   Our hope is that through these small acts of service
[00:15:41.860 --> 00:15:43.860]   and giving that our hearts as one body
[00:15:43.860 --> 00:15:46.860]   would really grow in mercy and compassion
[00:15:46.860 --> 00:15:49.860]   and that we would truly desire the things that God desires,
[00:15:49.860 --> 00:15:51.860]   namely the salvation of men.
[00:15:51.860 --> 00:15:54.860]   We pray that we can love both our believing
[00:15:54.860 --> 00:15:56.860]   and non-believing neighbors,
[00:15:56.860 --> 00:15:58.860]   both locally and globally,
[00:15:58.860 --> 00:16:00.860]   through the opportunities this year.
[00:16:00.860 --> 00:16:03.860]   And first, I'd like to share about Operation Christmas Child.
[00:16:03.860 --> 00:16:05.860]   It's also known as Shoebox Christmas.
[00:16:05.860 --> 00:16:08.860]   I think many of you may know this as an opportunity,
[00:16:08.860 --> 00:16:12.860]   as a way to send Christmas gifts to a child in need worldwide,
[00:16:12.860 --> 00:16:14.860]   but it's actually more than that.
[00:16:14.860 --> 00:16:18.860]   Those very shoebox gifts that we receive
[00:16:18.860 --> 00:16:22.860]   is used as a means of reaching out to share the good news
[00:16:22.860 --> 00:16:25.860]   through partnership with local churches worldwide.
[00:16:25.860 --> 00:16:28.860]   And I hope you'll consider partnering with us this way.
[00:16:28.860 --> 00:16:30.860]   And it's also a really sweet way
[00:16:30.860 --> 00:16:32.860]   for families to involve their children
[00:16:32.860 --> 00:16:34.860]   as you do your shopping together
[00:16:34.860 --> 00:16:37.860]   and the children learn about generous giving.
[00:16:37.860 --> 00:16:39.860]   And the deadline to turn in these shoebox gifts
[00:16:39.860 --> 00:16:43.860]   is actually quickly approaching on November 19th,
[00:16:43.860 --> 00:16:46.860]   so please stop by the tables after each service
[00:16:46.860 --> 00:16:47.860]   every Sunday until then.
[00:16:47.860 --> 00:16:50.860]   Thank you.
[00:16:50.860 --> 00:16:52.860]   Hi, church family.
[00:16:52.860 --> 00:16:55.860]   The next opportunity is an opportunity to serve the elderly
[00:16:55.860 --> 00:16:57.860]   at the Community Garden Towers Senior Apartment
[00:16:57.860 --> 00:17:01.860]   on December 2nd, 2 p.m. through 4 p.m.
[00:17:01.860 --> 00:17:03.860]   We will be encouraging and serving them
[00:17:03.860 --> 00:17:05.860]   through Christmas presentations,
[00:17:05.860 --> 00:17:07.860]   fellowship, and gospel opportunities,
[00:17:07.860 --> 00:17:09.860]   as well as serving them by providing
[00:17:09.860 --> 00:17:12.860]   any needed assistance in their homes.
[00:17:12.860 --> 00:17:14.860]   Preparing for the holiday outreach
[00:17:14.860 --> 00:17:16.860]   has personally been an opportunity
[00:17:16.860 --> 00:17:19.860]   to intentionally prepare my heart for Christmas,
[00:17:19.860 --> 00:17:22.860]   remembering that it's not about Christmas songs
[00:17:22.860 --> 00:17:24.860]   or extended time off of work,
[00:17:24.860 --> 00:17:26.860]   gifts, lights, and food and family,
[00:17:26.860 --> 00:17:29.860]   but that it's a season to celebrate the Emmanuel
[00:17:29.860 --> 00:17:32.860]   who has come to us to give himself up for our sins
[00:17:32.860 --> 00:17:36.860]   and to save us.
[00:17:36.860 --> 00:17:41.860]   Hebrews 13 talks about Jesus becoming an atonement for sin,
[00:17:41.860 --> 00:17:45.860]   and Hebrews 13, 15 through 16 says,
[00:17:45.860 --> 00:17:48.860]   "Through him, then, let us continually offer up
[00:17:48.860 --> 00:17:50.860]   "a sacrifice of praise to God,
[00:17:50.860 --> 00:17:53.860]   "that is the fruit of lips that give thanks to his name.
[00:17:53.860 --> 00:17:56.860]   "And do not neglect doing good and sharing,
[00:17:56.860 --> 00:17:59.860]   "for with such sacrifices God is pleased."
[00:17:59.860 --> 00:18:02.860]   As you carefully consider these opportunities,
[00:18:02.860 --> 00:18:04.860]   I hope that it will also be an opportunity
[00:18:04.860 --> 00:18:07.860]   to remember Christ and point others to him.
[00:18:07.860 --> 00:18:09.860]   Thank you.
[00:18:09.860 --> 00:18:13.860]   - And also, because today is unexpectedly windy today,
[00:18:13.860 --> 00:18:15.860]   we were originally just going to be outside,
[00:18:15.860 --> 00:18:17.860]   but please come find us inside the cafe.
[00:18:17.860 --> 00:18:20.860]   We'll be there. Thank you.
[00:18:20.860 --> 00:18:25.860]   [applause]
[00:18:25.860 --> 00:18:30.860]   All right, so today at 12.30, we have a newcomer's lunch.
[00:18:30.860 --> 00:18:32.860]   So if you signed up for that,
[00:18:32.860 --> 00:18:35.860]   please head over to the cafe side to the right of it
[00:18:35.860 --> 00:18:37.860]   where the youth group has their service,
[00:18:37.860 --> 00:18:39.860]   and so they're going to start right at 12.30.
[00:18:39.860 --> 00:18:42.860]   Even if you haven't signed up and you want to take advantage
[00:18:42.860 --> 00:18:44.860]   of the newcomer's lunch,
[00:18:44.860 --> 00:18:47.860]   it's an opportunity to get to know some of the Welcome Team members,
[00:18:47.860 --> 00:18:49.860]   some of the leaders there, ask questions,
[00:18:49.860 --> 00:18:51.860]   and they're going to do a brief presentation
[00:18:51.860 --> 00:18:53.860]   about what our church is about, what we value,
[00:18:53.860 --> 00:18:56.860]   and so it will be a good opportunity to kind of get to know the church better.
[00:18:56.860 --> 00:18:59.860]   So even if you haven't signed up, just let the Welcome Team know,
[00:18:59.860 --> 00:19:03.860]   and so that will be taking place right after this service at 12.30.
[00:19:03.860 --> 00:19:06.860]   As you guys know, this Tuesday we have Reformation Night.
[00:19:06.860 --> 00:19:09.860]   It's going to start at 5.30 to 8.30 p.m.,
[00:19:09.860 --> 00:19:12.860]   so if you're bringing your children, to make sure to come around 5.30
[00:19:12.860 --> 00:19:14.860]   and it ends about 8.30.
[00:19:14.860 --> 00:19:17.860]   There will be food, obviously games,
[00:19:17.860 --> 00:19:19.860]   and various things that are happening.
[00:19:19.860 --> 00:19:23.860]   If you're one of the volunteers that's setting up the trunks for outside,
[00:19:23.860 --> 00:19:26.860]   the church will be open pretty much all day,
[00:19:26.860 --> 00:19:28.860]   so the pastors are going to be here,
[00:19:28.860 --> 00:19:32.860]   so if you want to come earlier part of the day to set up food or whatever,
[00:19:32.860 --> 00:19:35.860]   you'll be more than welcome to do that, so it will be open.
[00:19:35.860 --> 00:19:41.860]   There is an Outreach Thanksgiving dinner.
[00:19:41.860 --> 00:19:44.860]   So if you haven't signed up for the Thanksgiving regional dinner
[00:19:44.860 --> 00:19:47.860]   that's happening on November 19, please sign up for that,
[00:19:47.860 --> 00:19:50.860]   and on that Saturday, before the Thanksgiving outreach,
[00:19:50.860 --> 00:19:52.860]   there's going to be an Outreach Thanksgiving dinner.
[00:19:52.860 --> 00:19:56.860]   So this is for people who are praying and trying to reach out to unbelievers
[00:19:56.860 --> 00:19:58.860]   who are coming to church,
[00:19:58.860 --> 00:20:02.860]   and it will be an opportunity to fellowship and meet with our outreach team,
[00:20:02.860 --> 00:20:04.860]   and there's going to be a gospel presentation,
[00:20:04.860 --> 00:20:07.860]   and so that's happening on the 18th, so the Saturday before.
[00:20:07.860 --> 00:20:10.860]   So if you're interested in or to come to that,
[00:20:10.860 --> 00:20:13.860]   or you're bringing somebody that can benefit from that,
[00:20:13.860 --> 00:20:15.860]   please let our outreach team know.
[00:20:15.860 --> 00:20:17.860]   You can just go to the welcome table and let them know,
[00:20:17.860 --> 00:20:19.860]   and they'll direct you to the right place.
[00:20:19.860 --> 00:20:22.860]   Yeah, I think that's it for now.
[00:20:22.860 --> 00:20:24.860]   I'm going to pray for the offering.
[00:20:24.860 --> 00:20:27.860]   Again, if you have a physical offering, there is a box on the way out.
[00:20:27.860 --> 00:20:30.860]   You'll see where it says "offering," and you can drop it off there.
[00:20:30.860 --> 00:20:34.860]   For the rest of you, you can use the Zelle that's on the screen,
[00:20:34.860 --> 00:20:37.860]   and then after our worship time, our brother Alan is going to come up,
[00:20:37.860 --> 00:20:40.860]   and he's going to give his testimony and be baptized this morning.
[00:20:40.860 --> 00:20:42.860]   All right, let's pray.
[00:20:44.860 --> 00:20:48.860]   Father, we thank you for your continued love
[00:20:48.860 --> 00:20:51.860]   and your grace that sustains us day to day.
[00:20:51.860 --> 00:20:54.860]   We thank you for the privilege to be able to come before your throne,
[00:20:54.860 --> 00:20:59.860]   to corporately worship you, to honor you, to sing praise to you.
[00:20:59.860 --> 00:21:05.860]   I pray that you would calibrate our mind, our hearts, our lives, Lord God,
[00:21:05.860 --> 00:21:11.860]   that we may live truly blessed and worthy of the gospel that you've given.
[00:21:11.860 --> 00:21:14.860]   I pray that you would bless the offering that we give.
[00:21:14.860 --> 00:21:18.860]   May it be an act of worship, and may it be blessed and multiplied
[00:21:18.860 --> 00:21:20.860]   for the sake of your kingdom.
[00:21:20.860 --> 00:21:22.860]   In Jesus' name we pray. Amen.
[00:21:23.860 --> 00:21:26.860]   [music]
[00:21:27.860 --> 00:21:30.860]   [music]
[00:21:31.860 --> 00:21:34.860]   [music]
[00:21:35.860 --> 00:21:38.860]   [music]
[00:21:38.860 --> 00:21:46.860]   [music]
[00:21:46.860 --> 00:21:55.860]   [music]
[00:21:55.860 --> 00:21:58.860]   [music]
[00:21:58.860 --> 00:22:08.860]   [music]
[00:22:08.860 --> 00:22:18.860]   [music]
[00:22:19.860 --> 00:22:22.860]   [music]
[00:22:22.860 --> 00:22:29.860]   Let us all rise, and before we continue our time of praise,
[00:22:29.860 --> 00:22:32.860]   let's spend a few moments greeting the neighbors around us.
[00:22:32.860 --> 00:22:36.860]   [applause]
[00:22:37.860 --> 00:22:40.860]   [applause]
[00:22:40.860 --> 00:22:43.860]   [applause]
[00:23:07.860 --> 00:23:10.860]   [music]
[00:23:10.860 --> 00:23:28.860]   Praise and glorify.
[00:23:28.860 --> 00:23:35.860]   Let's glorify our God, the Father of our Lord.
[00:23:35.860 --> 00:23:43.860]   In Christ He has in heavenly realms His blessings on His throne.
[00:23:43.860 --> 00:23:51.860]   For pure and blameless in His sight, He destined us to be.
[00:23:51.860 --> 00:23:59.860]   And now we've been adopted through His Son, eternal life.
[00:24:01.860 --> 00:24:09.860]   To the praise of Your glory, to the praise of Your mercy and grace.
[00:24:09.860 --> 00:24:18.860]   To the praise of Your glory, You are the God who saves.
[00:24:18.860 --> 00:24:23.860]   Come, praise.
[00:24:24.860 --> 00:24:31.860]   Praise and glorify our God, who gives His grace in Christ.
[00:24:31.860 --> 00:24:39.860]   For sins are washed away, redeemed through sacrifice. Amen.
[00:24:39.860 --> 00:24:47.860]   In Him God has been known to us, the mystery of His will.
[00:24:48.860 --> 00:24:55.860]   And Christ should be the head of all His purpose to prove.
[00:24:55.860 --> 00:24:57.860]   To the praise.
[00:24:57.860 --> 00:25:05.860]   To the praise of Your glory, to the praise of Your mercy and grace.
[00:25:05.860 --> 00:25:13.860]   To the praise of Your glory, You are the God who saves.
[00:25:13.860 --> 00:25:14.860]   To the praise.
[00:25:14.860 --> 00:25:21.860]   To the praise of Your glory, to the praise of Your mercy and grace.
[00:25:21.860 --> 00:25:30.860]   To the praise of Your glory, You are the God who saves.
[00:25:36.860 --> 00:25:43.860]   Come, praise and glorify our God, for we believe the Word.
[00:25:43.860 --> 00:25:51.860]   And through our faith we have a seal, the Spirit of the Lord.
[00:25:51.860 --> 00:25:59.860]   The Spirit guarantees our hope until redemption's done.
[00:26:00.860 --> 00:26:06.860]   So we join in endless praise to God the great.
[00:26:06.860 --> 00:26:17.860]   To the praise of Your glory, to the praise of Your mercy and grace.
[00:26:17.860 --> 00:26:25.860]   To the praise of Your glory, You are the God who saves.
[00:26:25.860 --> 00:26:33.860]   To the praise of Your glory, to the praise of Your mercy and grace.
[00:26:33.860 --> 00:26:43.860]   To the praise of Your glory, You are the God who saves.
[00:26:43.860 --> 00:27:04.860]   [instrumental]
[00:27:04.860 --> 00:27:06.860]   Sing, "Oh Lord my God."
[00:27:06.860 --> 00:27:14.860]   Oh Lord my God, when I in awesome wonder
[00:27:14.860 --> 00:27:21.860]   Consider all the works Thy hands have made.
[00:27:21.860 --> 00:27:30.860]   I see the stars, I hear the rolling thunder,
[00:27:30.860 --> 00:27:38.860]   Thy power throughout the universe displayed.
[00:27:38.860 --> 00:27:46.860]   Then sings my soul, my Savior God, to Thee,
[00:27:46.860 --> 00:27:55.860]   How great Thou art, how great Thou art.
[00:27:55.860 --> 00:28:03.860]   Then sings my soul, my Savior God, to Thee,
[00:28:03.860 --> 00:28:12.860]   How great Thou art, how great Thou art.
[00:28:12.860 --> 00:28:24.860]   And when I think that God is Son not spirit,
[00:28:24.860 --> 00:28:31.860]   Sent to die, I scarce can take it.
[00:28:31.860 --> 00:28:40.860]   That on that cross, my burden gladly bearing,
[00:28:40.860 --> 00:28:47.860]   He bled and died to take away my sin.
[00:28:47.860 --> 00:28:56.860]   Then sings my soul, my Savior God, to Thee,
[00:28:56.860 --> 00:29:05.860]   How great Thou art, how great Thou art.
[00:29:05.860 --> 00:29:13.860]   Then sings my soul, my Savior God, to Thee,
[00:29:13.860 --> 00:29:23.860]   How great Thou art, how great Thou art.
[00:29:23.860 --> 00:29:35.860]   [instrumental]
[00:29:35.860 --> 00:29:43.860]   When Christ shall come with shout of acclamation
[00:29:43.860 --> 00:29:51.860]   And take me home, when joy shall fill my heart,
[00:29:51.860 --> 00:29:59.860]   Then I shall bow with humble adoration
[00:29:59.860 --> 00:30:07.860]   And there proclaim, "My God, how great Thou art."
[00:30:07.860 --> 00:30:15.860]   Then sings my soul, my Savior God, to Thee,
[00:30:15.860 --> 00:30:23.860]   How great Thou art, how great Thou art.
[00:30:23.860 --> 00:30:31.860]   Then sings my soul, my Savior God, to Thee,
[00:30:31.860 --> 00:30:39.860]   How great Thou art, how great Thou art.
[00:30:39.860 --> 00:30:47.860]   Then sings my soul, my Savior God, to Thee,
[00:30:47.860 --> 00:30:55.860]   How great Thou art, how great Thou art.
[00:30:55.860 --> 00:31:03.860]   Then sings my soul, my Savior God, to Thee,
[00:31:03.860 --> 00:31:11.860]   How great Thou art, how great Thou art.
[00:31:11.860 --> 00:31:23.860]   How great Thou art, how great Thou art.
[00:31:23.860 --> 00:31:31.860]   [instrumental]
[00:31:31.860 --> 00:31:33.860]   Amen. You may be seated.
[00:31:33.860 --> 00:31:47.860]   Good morning, church family. My name is Alan Russell, and I'm going to share my testimony this morning.
[00:31:47.860 --> 00:31:53.860]   I was born in Dublin, Ireland, the youngest of three children.
[00:31:53.860 --> 00:31:57.860]   My family were culturally Christian, and I grew up attending Sunday school and church every week.
[00:31:57.860 --> 00:31:59.860]   These will help.
[00:31:59.860 --> 00:32:07.860]   My childhood was a happy time, but that all changed when I was 13 years old and my parents separated.
[00:32:07.860 --> 00:32:11.860]   This was very uncommon in Ireland at the time, as divorce was not legal.
[00:32:11.860 --> 00:32:19.860]   To this day, I have a vivid recollection of the fear and emptiness I felt that first night in a new and unfamiliar home.
[00:32:19.860 --> 00:32:24.860]   I stopped attending church because with no father in the home, my mother had a tough time making me.
[00:32:24.860 --> 00:32:30.860]   At the time, my understanding of God was flawed. I don't think I ever doubted his existence.
[00:32:30.860 --> 00:32:36.860]   But I thought of God as an angry God who was not personally interested in me and would punish me for the bad things I did.
[00:32:36.860 --> 00:32:40.860]   I thought salvation came from your good deeds exceeding your bad deeds.
[00:32:40.860 --> 00:32:45.860]   When I was 16, I started attending the church youth club, as there were some girls going who I liked.
[00:32:45.860 --> 00:32:52.860]   The youth club met on Saturday evenings and was mainly organized around fun events with a short Bible-themed talk at the very end.
[00:32:52.860 --> 00:32:59.860]   Because of the friends I made at the youth club, I started attending the Sunday service again on a regular basis.
[00:32:59.860 --> 00:33:08.860]   Not too long after this, an American youth worker came to our church and started a midweek fellowship group involving a time of worship, Bible study, and prayer.
[00:33:08.860 --> 00:33:15.860]   This was something new to me, as prior to this, my experience of church was very formal and impersonal.
[00:33:15.860 --> 00:33:20.860]   I really enjoyed the sharing and learning, as well as the close friendships I gained.
[00:33:20.860 --> 00:33:28.860]   As I grew in my understanding of the gospel, I started to question where my relationship was with God and what I had to do to ensure my salvation.
