
[00:00:00.000 --> 00:00:03.240]   All right, everybody.
[00:07:30.840 --> 00:07:40.080]   As I look at verse 22 and 23, is he not doing a evaluation, a pro and con, a kind of measure
[00:07:40.080 --> 00:07:41.080]   and balance?
[00:07:41.080 --> 00:07:43.760]   "You know, I have this," and what is this?
[00:07:43.760 --> 00:07:47.580]   "What you got here is option one.
[00:07:47.580 --> 00:07:52.700]   In option one, I can live on in the flesh," meaning I could stay here, "and what this
[00:07:52.700 --> 00:07:57.680]   will mean is fruitful labor," okay?
[00:07:57.680 --> 00:08:02.680]   He says, "In this life, I can continue to bear fruit and keep on working the cause of
[00:08:02.680 --> 00:08:04.600]   Christ."
[00:08:04.600 --> 00:08:08.000]   But number two, he's hard-pressed.
[00:08:08.000 --> 00:08:09.000]   Why?
[00:08:09.000 --> 00:08:13.920]   Because he's got this also desire to depart, to be with Christ.
[00:08:13.920 --> 00:08:17.220]   And we know what he means by that is to die.
[00:08:17.220 --> 00:08:24.320]   And he says, "This, however," and look at this, "is much better."
[00:08:24.320 --> 00:08:28.760]   If you're highlighting, I'm going to highlight two here, okay?
[00:08:28.760 --> 00:08:30.520]   You should highlight this.
[00:08:30.520 --> 00:08:31.520]   Why?
[00:08:31.520 --> 00:08:38.440]   Because when I see this, what I see is a flow of thought where in this first section, verses
[00:08:38.440 --> 00:08:42.800]   1 through 26, he gives this pretty incredible statement.
[00:08:42.800 --> 00:08:48.560]   "For to me, to live is Christ and to die is gain," and then he involves us or at least
[00:08:48.560 --> 00:08:57.160]   exposes and reveals his kind of perspective, his thinking through what's good.
[00:08:57.160 --> 00:09:03.680]   And so, if you look at your handout, I've labeled this point number one, what's good,
[00:09:03.680 --> 00:09:04.680]   right?
[00:09:04.680 --> 00:09:11.920]   The perspective, the worldview, to be able to say, "Life and death, I've got a means
[00:09:11.920 --> 00:09:15.840]   to evaluate whether it's good or not."
[00:09:15.840 --> 00:09:21.240]   And what he says is, "Because for to me, to live is Christ and to die is gain," and he
[00:09:21.240 --> 00:09:27.760]   explains it by saying, "As I think about my life, I've got two options and they both have
[00:09:27.760 --> 00:09:28.760]   to do with Christ.
[00:09:28.760 --> 00:09:31.600]   I'm going to be serving him or I could leave."
[00:09:31.600 --> 00:09:34.740]   And you know what's really interesting about this?
[00:09:34.740 --> 00:09:44.780]   He says, "As I think and as I reflect, my conclusion is this is much, much better."
[00:09:44.780 --> 00:09:48.060]   Take a moment to think about that.
[00:09:48.060 --> 00:09:54.860]   What I am saying to you is he's not only reiterating his desire and saying, "I want to see Christ
[00:09:54.860 --> 00:10:01.460]   exalted and I want to continue to suffer and to go to this and this and that."
[00:10:01.460 --> 00:10:08.140]   What he's saying is, "I am telling you my worldview, in my perspective, to have Christ
[00:10:08.140 --> 00:10:10.700]   is the good I'm seeking."
[00:10:10.700 --> 00:10:17.220]   Now I'd like to give you an example of this by using a really, really worldly example.
[00:10:17.220 --> 00:10:21.140]   And the example I'd like to give is my love for minivans.
[00:10:21.140 --> 00:10:26.260]   Many of you guys who have talked to me, thank you, thumbs up to you, brother.
[00:10:26.260 --> 00:10:29.940]   Many of you guys who have talked to me before, you know that ever since I was in college,
[00:10:29.940 --> 00:10:35.100]   so this is when I was between the ages of like 18 and 19, I wanted a minivan and I told
[00:10:35.100 --> 00:10:36.100]   everyone.
[00:10:36.100 --> 00:10:37.100]   Okay?
[00:10:37.100 --> 00:10:40.300]   I told every individual that I want a minivan and everybody was like, "Why?"
[00:10:40.300 --> 00:10:46.060]   And I'd give them this argument because the minivan is truly the most utility vehicle,
[00:10:46.060 --> 00:10:48.540]   even more than your sport utility vehicle.
[00:10:48.540 --> 00:10:52.300]   I mean, what other vehicle can you put like a queen-size mattress, all your books and
[00:10:52.300 --> 00:10:56.260]   your chair and have be fine in your mood, right?
[00:10:56.260 --> 00:10:59.700]   What other vehicle can you just open all the doors and have people come in and come out
[00:10:59.700 --> 00:11:05.660]   and it's truly the most like versatile vehicle you can purchase.
[00:11:05.660 --> 00:11:09.420]   And for me as a family guy, I got my two kids, you can put grandpa, grandma in the back and
[00:11:09.420 --> 00:11:12.140]   a load of stuff and you're fine, right?
[00:11:12.140 --> 00:11:16.820]   Now the other reason why I really like the minivans because there was this moment when
[00:11:16.820 --> 00:11:21.460]   I first became Christian as a senior in high school, it was strange but my pastor allowed
[00:11:21.460 --> 00:11:26.740]   me to drive the church minivan and it was a Toyota Sienna.
[00:11:26.740 --> 00:11:30.720]   We packed in all the youth group students and we went to Arizona for a mission trip.
[00:11:30.720 --> 00:11:37.580]   It was the American, Navajo Indian Reservation and we took like a 26-hour drive.
[00:11:37.580 --> 00:11:39.740]   I drove the whole thing.
[00:11:39.740 --> 00:11:43.620]   Now while I was driving, all the students in the car, they get knocked out, they're
[00:11:43.620 --> 00:11:45.280]   sleeping and stuff like that.
[00:11:45.280 --> 00:11:47.860]   People were like they have food crumbs all over the place.
[00:11:47.860 --> 00:11:51.780]   And as I was driving though, I wasn't thinking like this is the best utility vehicle.
[00:11:51.780 --> 00:11:55.340]   I was thinking, "Dude, this is awesome.
[00:11:55.340 --> 00:11:57.860]   We've got our brothers and sisters in the car.
[00:11:57.860 --> 00:11:59.540]   We're jam-packed in this thing.
[00:11:59.540 --> 00:12:01.100]   We're going to go do missions."
[00:12:01.100 --> 00:12:07.820]   And then I started thinking, "The Sienna is the most godly vehicle."
[00:12:07.820 --> 00:12:10.580]   It's the most humble vehicle for sure.
[00:12:10.580 --> 00:12:14.020]   There's no flaunting this like monstrous thing.
[00:12:14.020 --> 00:12:18.300]   But it's like the godliest thing possible because we have everybody inside and then
[00:12:18.300 --> 00:12:21.300]   I was thinking like, you know, with the push of a button, I could open the door and like
[00:12:21.300 --> 00:12:23.900]   serving my people, right?
[00:12:23.900 --> 00:12:28.460]   Now I'm just giving you a funny example but think about this, right?
[00:12:28.460 --> 00:12:35.500]   Why would an 18 or 19-year-old student want a minivan and look like a soccer mom?
[00:12:35.500 --> 00:12:42.340]   See because I had a moment where I had a picture and I thought this is so good, ever since
[00:12:42.340 --> 00:12:46.180]   then I've always wanted a minivan.
[00:12:46.180 --> 00:12:48.420]   Now why do I bring this up?
[00:12:48.420 --> 00:12:52.980]   The only reason why we want certain things is because you had a picture in your head
[00:12:52.980 --> 00:12:57.180]   this is cool, this is good, this is better.
[00:12:57.180 --> 00:13:00.960]   And when you conclude that, that is where your desires rise.
[00:13:00.960 --> 00:13:07.300]   And to the degree that you think that really is good, it's going to match your intensity
[00:13:07.300 --> 00:13:09.980]   of desire, right?
[00:13:09.980 --> 00:13:16.100]   So for Apostle Paul, when he recognizes, "For to me, Christ is better," I want you to
[00:13:16.100 --> 00:13:20.220]   understand he's not saying that it's just, you know, it's just better than getting
[00:13:20.220 --> 00:13:22.180]   in trouble and all this kind of stuff.
[00:13:22.180 --> 00:13:25.740]   He's actually saying it's better than life altogether.
[00:13:25.740 --> 00:13:27.100]   I mean I want you to think about that.
[00:13:27.100 --> 00:13:31.740]   There is an absolute method to his madness, meaning there's a rationale and reason as
[00:13:31.740 --> 00:13:34.900]   to why he would want this.
[00:13:34.900 --> 00:13:39.020]   Why would you want to walk this path that causes you to go to jail?
[00:13:39.020 --> 00:13:44.100]   Why would you want to walk this path that causes you grief and hardship?
[00:13:44.100 --> 00:13:45.940]   Because he believes this is better.
[00:13:45.940 --> 00:13:50.820]   And yes, this is better than living a long life and growing old together with the love
[00:13:50.820 --> 00:13:52.740]   of your life.
[00:13:52.740 --> 00:13:57.820]   To him, this is better than living a long life and being able to see your grandkids,
[00:13:57.820 --> 00:14:03.620]   to live a long, full life where you can leave a legacy and see how, you know, the things
[00:14:03.620 --> 00:14:08.380]   that you have actually built up and the fortune that you've amassed, you can pass it down
[00:14:08.380 --> 00:14:11.660]   and you have this great joy in your heart that you can leave it for the next generations.
[00:14:11.660 --> 00:14:14.500]   Because think about Apostle Paul.
[00:14:14.500 --> 00:14:18.020]   What did he have to his name that he could leave for his children?
[00:14:18.020 --> 00:14:22.340]   But in my mind, I feel like that's what most people in this generation, that's what they're
[00:14:22.340 --> 00:14:23.340]   thinking.
[00:14:23.340 --> 00:14:26.700]   Just save, save, save, save, save, and you glory in your retirement days.
[00:14:26.700 --> 00:14:33.020]   What you want is to have the privilege to then also leave a legacy for your kids.
[00:14:33.020 --> 00:14:35.660]   But think about all that.
[00:14:35.660 --> 00:14:41.780]   Can you by conviction conclude with Apostle Paul, no.
[00:14:41.780 --> 00:14:50.500]   All of life here combined is not even comparable to me being with Christ.
[00:14:50.500 --> 00:15:00.260]   His conclusion, and look at this, his conviction, what is he convinced about?
[00:15:00.260 --> 00:15:05.740]   What is he so convinced about is his worldview and perspective.
[00:15:05.740 --> 00:15:14.060]   And he is able to discern and judge and conclude this is much better than he's able to commit.
[00:15:14.060 --> 00:15:18.100]   Then he's able to commit to them, he's able to commit to work, he's able to commit to
[00:15:18.100 --> 00:15:19.100]   labor.
[00:15:19.100 --> 00:15:22.480]   That is the motivating force, right?
[00:15:22.480 --> 00:15:30.300]   This to him is his motivation for the rest of his ministry, for his confidence that he's
[00:15:30.300 --> 00:15:33.340]   going to be able to have fruitful ministry.
[00:15:33.340 --> 00:15:40.140]   And so when we look at this and we see this weird contrast, we have to recognize Apostle
[00:15:40.140 --> 00:15:42.180]   Paul's worldview.
[00:15:42.180 --> 00:15:46.380]   But let's take a moment to think about this just even a little bit deeper because there
[00:15:46.380 --> 00:15:48.500]   is a weirdness to it.
[00:15:48.500 --> 00:15:54.860]   So here, when you take a look at option one versus option two, we think, okay, Apostle
[00:15:54.860 --> 00:15:59.400]   Paul's still dedicated to this cause of seeing Jesus exalted.
[00:15:59.400 --> 00:16:05.640]   He wants to either live so he can be fruitful in labor or he wants to go.
[00:16:05.640 --> 00:16:10.060]   But the reason why I want to take a moment and cause us to think about it is because,
[00:16:10.060 --> 00:16:13.500]   man, what a challenge, right?
[00:16:13.500 --> 00:16:15.620]   What a challenge.
[00:16:15.620 --> 00:16:20.900]   Because if I put myself in Apostle Paul's shoes and I imagine that I hit a wall and
[00:16:20.900 --> 00:16:25.820]   people were persecuting me, there are people willing to pick up stones and stone me or
[00:16:25.820 --> 00:16:28.880]   people willing to beat me up, right?
[00:16:28.880 --> 00:16:34.500]   My struggle would more so be should I keep working or should I quit, right?
[00:16:34.500 --> 00:16:40.040]   Like my struggle would be should I just close my mouth or should I just keep talking, right?
[00:16:40.040 --> 00:16:45.800]   But the strangeness of it all is Apostle Paul was literally in a situation where he is in
[00:16:45.800 --> 00:16:48.220]   a life or death situation.
[00:16:48.220 --> 00:16:52.820]   Because even being in prison, it's not like our prison, before being put in prison, he
[00:16:52.820 --> 00:16:56.100]   was beaten, right?
[00:16:56.100 --> 00:17:01.300]   What Apostle Paul's wrestling was with, you know, I could actually just keep going, maybe
[00:17:01.300 --> 00:17:08.800]   even more bombastically preach to the guards, preach to the, you know, the higher officials.
[00:17:08.800 --> 00:17:11.780]   And what he knows is not so much that like, you know what, I'm just going to kill myself.
[00:17:11.780 --> 00:17:14.060]   No, he's not thinking about suicide.
[00:17:14.060 --> 00:17:19.860]   He's thinking about pressing the envelope even more, right?
[00:17:19.860 --> 00:17:25.300]   Because what he knows is that when he is dedicated to ministry and in this current circumstance,
[00:17:25.300 --> 00:17:28.940]   if he goes more, he could literally face death.
[00:17:28.940 --> 00:17:31.420]   And that to me is quite wild.
[00:17:31.420 --> 00:17:39.620]   To think you literally have these choices and you're willing, like you have that realistic
[00:17:39.620 --> 00:17:44.300]   possibility and it's not off the table, right?
[00:17:44.300 --> 00:17:46.300]   What a challenge.
[00:17:46.300 --> 00:17:47.300]   Why?
[00:17:47.300 --> 00:17:52.500]   Because truthfully speaking, certain things, it's not even on the table for me, right?
[00:17:52.500 --> 00:17:58.940]   If it means suffering, discomfort, if it means foregoing certain opportunities, foregoing
[00:17:58.940 --> 00:18:04.020]   certain privileges, sometimes it's not even option one or option two.
[00:18:04.020 --> 00:18:07.220]   It's immediately, well, I guess I only have option one, right?
[00:18:07.220 --> 00:18:10.160]   Like that's not even an option.
[00:18:10.160 --> 00:18:14.100]   This is what I'm saying is as we take a moment to observe Apostle Paul even wrestling with
[00:18:14.100 --> 00:18:18.900]   this, before if you just do a cursory glance over this, you're just like, "Huh, that's
[00:18:18.900 --> 00:18:19.900]   kind of funny."
[00:18:19.900 --> 00:18:22.220]   You know, maybe he knows he's near his deathbed.
[00:18:22.220 --> 00:18:25.140]   He just wants it to be over with.
[00:18:25.140 --> 00:18:26.540]   I don't think so.
[00:18:26.540 --> 00:18:28.100]   I don't think so.
[00:18:28.100 --> 00:18:29.100]   Okay.
[00:18:29.100 --> 00:18:32.620]   So, for the sake of time, I know there's probably a lot of questions here.
[00:18:32.620 --> 00:18:36.580]   Like, what does he mean by your proud confidence?
[00:18:36.580 --> 00:18:38.080]   Confidence in who?
[00:18:38.080 --> 00:18:40.500]   How does it abound in Christ?
[00:18:40.500 --> 00:18:43.900]   And why would they have this kind of confidence in Apostle Paul?
[00:18:43.900 --> 00:18:47.940]   Hope you guys can keep talking about that stuff and dig into that, okay?
[00:18:47.940 --> 00:18:56.740]   But for the sake of time, we're going to move over to point two and take a look at the command.
[00:18:56.740 --> 00:18:59.460]   Okay?
[00:18:59.460 --> 00:19:04.500]   So right here, in my eyes, there were two clear sections of our passage.
[00:19:04.500 --> 00:19:10.540]   The first connected to the previous passage where he says, basically, "In my life or whether
[00:19:10.540 --> 00:19:15.780]   by death, Christ needs to be exalted because for me, Christ is my gain.
[00:19:15.780 --> 00:19:17.560]   He is to me better.
[00:19:17.560 --> 00:19:20.380]   Being with him is better than all of life."
[00:19:20.380 --> 00:19:21.380]   Right?
[00:19:21.380 --> 00:19:22.380]   Summary.
[00:19:22.380 --> 00:19:28.300]   So now, after explaining all that, Apostle Paul gives this powerful command.
[00:19:28.300 --> 00:19:34.100]   He says, "Only conduct yourselves in a manner worthy of the gospel of Christ."
[00:19:34.100 --> 00:19:40.700]   Now, whenever I see this, this idea of, I hope this shows up here, manner worthy of
[00:19:40.700 --> 00:19:41.700]   the gospel.
[00:19:41.700 --> 00:19:43.700]   Does that show up?
[00:19:43.700 --> 00:19:44.700]   Kind of, but not really.
[00:19:44.700 --> 00:19:46.620]   I'll go back to orange, okay?
[00:19:46.620 --> 00:19:48.040]   That shows up.
[00:19:48.040 --> 00:19:58.180]   This idea here of manner worthy of the gospel, that is like such a high, huge, incredible
[00:19:58.180 --> 00:20:00.100]   calling, right?
[00:20:00.100 --> 00:20:03.620]   And I want to ask you, like, when you hear that, do you just glance over?
[00:20:03.620 --> 00:20:06.900]   Do you stop and you're just kind of like, "Whoa."
[00:20:06.900 --> 00:20:07.900]   Right?
[00:20:07.900 --> 00:20:10.100]   You see the magnitude of that.
[00:20:10.100 --> 00:20:12.100]   Worthy of the gospel?
[00:20:12.100 --> 00:20:21.020]   Like, you mean, here is the Lord who was in the beginning, who was the sustainer, who
[00:20:21.020 --> 00:20:26.100]   like everything came into being through him and he humbled himself and died and you want
[00:20:26.100 --> 00:20:28.780]   me to be worthy of that?
[00:20:28.780 --> 00:20:30.100]   This is crazy, right?
[00:20:30.100 --> 00:20:35.900]   Well, what's really interesting about this is you will see that in other passages, you
[00:20:35.900 --> 00:20:40.860]   will see that a lot of times the concept here is not so much that, "Oh my gosh, you're
[00:20:40.860 --> 00:20:43.500]   of such amazing stature.
[00:20:43.500 --> 00:20:44.500]   You deserve it, man."
[00:20:44.500 --> 00:20:45.500]   Right?
[00:20:45.500 --> 00:20:47.500]   You deserve, that's not what it's saying, right?
[00:20:47.500 --> 00:20:50.420]   What he's talking about is in accordance or appropriateness.
[00:20:50.420 --> 00:20:57.860]   So I'm just going to, rather than take too much time to it, in accordance and appropriateness,
[00:20:57.860 --> 00:20:58.860]   right?
[00:20:58.860 --> 00:21:05.140]   For example, another passage that's really common is Ephesians chapter four, verse one.
[00:21:05.140 --> 00:21:10.940]   He says, "So I urge you, brethren, walk in a manner worthy of the gospel," and what he
[00:21:10.940 --> 00:21:15.340]   talks about is, "I just told you about grace and love."
[00:21:15.340 --> 00:21:16.340]   So guess what?
[00:21:16.340 --> 00:21:19.020]   You need to be gracious and loving.
[00:21:19.020 --> 00:21:22.900]   You need to be the most humble people ever because the truth of the matter is you don't
[00:21:22.900 --> 00:21:24.540]   deserve this, right?
[00:21:24.540 --> 00:21:30.740]   So what we're talking about is a kind of, you know, correspondence to the truth of the
[00:21:30.740 --> 00:21:32.100]   gospel.
[00:21:32.100 --> 00:21:33.820]   You know Jesus is on high.
[00:21:33.820 --> 00:21:35.420]   You know he deserves respect.
[00:21:35.420 --> 00:21:36.940]   You know you deserve nothing.
[00:21:36.940 --> 00:21:42.020]   So why in the world are you walking around pomp and prideful and conceited, right?
[00:21:42.020 --> 00:21:45.940]   That's typically the kind of exhortation that you see in other books of the Bible where
[00:21:45.940 --> 00:21:51.620]   it talks about you need to walk in a manner worthy of the gospel.
[00:21:51.620 --> 00:22:01.100]   So as we think about this, though, we recognize that, man, this is pretty emphatic here because
[00:22:01.100 --> 00:22:06.380]   what's really interesting is in chapter one, Apostle Paul used the word "only" to introduce
[00:22:06.380 --> 00:22:07.380]   a concept.
[00:22:07.380 --> 00:22:08.380]   And what was that concept?
[00:22:08.380 --> 00:22:11.780]   He was like, "Oh my gosh, what are we to do?
[00:22:11.780 --> 00:22:12.780]   I'm in prison.
[00:22:12.780 --> 00:22:17.380]   There are a bunch of these bad guys out there preaching out of conceit, and they're like,
[00:22:17.380 --> 00:22:20.740]   you know, pretty much selfish, and they're trying to take this opportunity to even hurt
[00:22:20.740 --> 00:22:21.740]   me.
[00:22:21.740 --> 00:22:22.820]   What should I say then?
[00:22:22.820 --> 00:22:25.220]   Should I be like, 'Oh, goodness me,' you know?
[00:22:25.220 --> 00:22:26.220]   Woe is me."
[00:22:26.220 --> 00:22:30.020]   So he says, "Only this, that Christ is proclaimed."
[00:22:30.020 --> 00:22:37.820]   Synonymously, I want you guys to understand, when he says to walk in a manner worthy of
[00:22:37.820 --> 00:22:42.820]   the gospel, I'm asking you to think about these other synonyms.
[00:22:42.820 --> 00:22:50.940]   Are you living in a manner where it is synonymous to only that Christ is proclaimed?
[00:22:50.940 --> 00:22:54.340]   You're living in a manner that's pointing to the gospel.
[00:22:54.340 --> 00:22:57.340]   You're living in a manner upholding the gospel.
[00:22:57.340 --> 00:22:59.980]   You're living in a manner thankful for the gospel.
[00:22:59.980 --> 00:23:04.660]   You're living in a manner that is, again, appropriate to what the Lord has done for
[00:23:04.660 --> 00:23:05.660]   you.
[00:23:05.660 --> 00:23:11.700]   One of the things that's so convicting was this past weekend we were at a retreat, and
[00:23:11.700 --> 00:23:18.460]   I talked about like, you know, if your identity is in Christ, you would be a thankful person.
[00:23:18.460 --> 00:23:22.900]   And yet I was so convicted because, do you know how often complaints come out of my mouth?
[00:23:22.900 --> 00:23:26.180]   It's like, "Why is it so hot in here?
[00:23:26.180 --> 00:23:27.700]   Why am I so da-da-da-da-da?
[00:23:27.700 --> 00:23:29.100]   Why is it so?"
[00:23:29.100 --> 00:23:34.620]   And I just feel like we live in a generation where it's almost fun to rant, right?
[00:23:34.620 --> 00:23:37.620]   Everybody's like a professional critic.
[00:23:37.620 --> 00:23:43.460]   And the more like, you know, sharp and more brazen you can get at criticizing something,
[00:23:43.460 --> 00:23:46.420]   you get more likes or something like that, right?
[00:23:46.420 --> 00:23:51.580]   And then you realize like, "Oh my goodness, that is not worthy of the gospel.
