
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:03:16.880 --> 00:03:19.680]   to look into the lives of faithful men,
[00:03:19.680 --> 00:03:22.780]   not simply to observe what did they do, let me imitate,
[00:03:22.780 --> 00:03:25.400]   but what is the content of their faith?
[00:03:25.400 --> 00:03:27.560]   What were they thinking?
[00:03:27.560 --> 00:03:29.080]   What did they believe?
[00:03:29.080 --> 00:03:32.560]   And if you remember, the disciples prior to
[00:03:32.560 --> 00:03:34.400]   Jesus going to the cross,
[00:03:34.400 --> 00:03:37.600]   Jesus constantly was trying to guide and lead them,
[00:03:37.600 --> 00:03:40.320]   and telling them what his plans were.
[00:03:40.320 --> 00:03:42.080]   But if you remember in the Gospels,
[00:03:42.080 --> 00:03:44.480]   majority of the time they just didn't get it.
[00:03:44.480 --> 00:03:48.060]   Even though Jesus said, "I want you to be fishers of men,"
[00:03:48.060 --> 00:03:49.920]   they were just tagging along with him.
[00:03:49.920 --> 00:03:52.920]   And then Jesus talked about the kind of sacrifice
[00:03:52.920 --> 00:03:55.640]   it requires, the kind of walk they would have to go through,
[00:03:55.640 --> 00:03:58.760]   through the path of suffering in order to get there.
[00:03:58.760 --> 00:04:00.480]   But the vast majority of them said,
[00:04:00.480 --> 00:04:03.880]   "Nah, can we just have your right hand,
[00:04:03.880 --> 00:04:05.440]   "the seat at your right hand?
[00:04:05.440 --> 00:04:07.600]   "Can we have the power with you when you come?
[00:04:07.600 --> 00:04:09.400]   "When's it gonna be the glory?"
[00:04:09.400 --> 00:04:11.360]   That's typically what they were thinking.
[00:04:11.360 --> 00:04:13.360]   But then if you look at their lives in the book of Acts,
[00:04:13.360 --> 00:04:16.000]   their perspective has completely changed.
[00:04:16.000 --> 00:04:18.660]   That's what I wanna look at today.
[00:04:18.660 --> 00:04:21.460]   Namely, when you look at Apostle Peter,
[00:04:21.460 --> 00:04:24.820]   Apostle Peter was one who was out there.
[00:04:24.820 --> 00:04:27.020]   He was the one who was speaking first.
[00:04:27.020 --> 00:04:29.980]   He wanted to be a leader amongst his equals.
[00:04:29.980 --> 00:04:31.540]   But you know what's quite interesting is that
[00:04:31.540 --> 00:04:34.820]   subsequent to the Holy Spirit coming in in the book of Acts,
[00:04:34.820 --> 00:04:37.980]   you see him serving as a servant of all.
[00:04:37.980 --> 00:04:42.420]   You see him even designate himself as a servant of God.
[00:04:42.420 --> 00:04:45.780]   And later when we read in the New Testament,
[00:04:45.780 --> 00:04:46.900]   in 2 Peter he says,
[00:04:46.900 --> 00:04:50.640]   "I am a servant of the Lord Jesus Christ."
[00:04:50.640 --> 00:04:53.120]   What perspective has changed?
[00:04:53.120 --> 00:04:55.100]   What insight did he gain?
[00:04:55.100 --> 00:04:56.940]   That's what we're going to look at today.
[00:04:56.940 --> 00:04:59.040]   Turn your Bibles over to Acts chapter one.
[00:04:59.040 --> 00:05:07.740]   We're gonna be reading from verse four through nine
[00:05:07.740 --> 00:05:11.040]   and then various passages from chapters one through five.
[00:05:11.040 --> 00:05:13.680]   But in Acts chapter one, verses four through nine,
[00:05:13.680 --> 00:05:18.420]   this is what is happening as Jesus is guiding the disciples.
[00:05:18.420 --> 00:05:22.100]   Gathering together, he commanded them not to leave Jerusalem
[00:05:22.100 --> 00:05:24.700]   but to wait for what the Father had promised.
[00:05:24.700 --> 00:05:26.940]   Which he said, "You heard from me."
[00:05:26.940 --> 00:05:29.540]   So this is what you heard even from before.
[00:05:29.540 --> 00:05:30.900]   "For John baptized with water,
[00:05:30.900 --> 00:05:32.940]   "but you will baptize with the Holy Spirit
[00:05:32.940 --> 00:05:35.140]   "not many days from now."
[00:05:35.140 --> 00:05:36.560]   So when they had come together,
[00:05:36.560 --> 00:05:37.700]   they were asking him, saying,
[00:05:37.700 --> 00:05:39.580]   "Lord, is it at this time
[00:05:39.580 --> 00:05:41.780]   "you are restoring the kingdom of Israel?"
[00:05:41.780 --> 00:05:45.300]   He said to them, "It is not for you to know times or epochs
[00:05:45.300 --> 00:05:47.780]   "which the Father has fixed by his own authority.
[00:05:47.780 --> 00:05:48.980]   "But you will receive power
[00:05:48.980 --> 00:05:51.040]   "when the Holy Spirit has come upon you.
[00:05:51.040 --> 00:05:53.700]   "And you shall be my witnesses both in Jerusalem
[00:05:53.700 --> 00:05:56.020]   "and in all Judea and Samaria,
[00:05:56.020 --> 00:05:58.940]   "even to the remotest part of the earth."
[00:05:58.940 --> 00:06:02.220]   And so what you have, essentially,
[00:06:02.220 --> 00:06:05.580]   is Jesus giving them the same commandments
[00:06:05.580 --> 00:06:08.100]   that he was giving them from before.
[00:06:08.100 --> 00:06:11.300]   He wanted them to be disciples, carriers of the gospel,
[00:06:11.300 --> 00:06:12.980]   and he's reiterating to them
[00:06:12.980 --> 00:06:15.660]   what he is desiring them to fulfill.
[00:06:15.660 --> 00:06:19.500]   And he's telling them, not just simply what to do,
[00:06:19.500 --> 00:06:21.580]   but the plan by which they are going to do it,
[00:06:21.580 --> 00:06:23.220]   the region of where they're going to do it,
[00:06:23.220 --> 00:06:25.700]   and by the power to which they're going to do this.
[00:06:25.700 --> 00:06:29.460]   He's got this meticulously planned out.
[00:06:29.460 --> 00:06:32.620]   So I come to our first point of the sermon,
[00:06:32.620 --> 00:06:34.740]   which is, as we take a look at Apostle Peter,
[00:06:34.740 --> 00:06:37.960]   we can see the servant's purpose.
[00:06:37.960 --> 00:06:39.860]   The servant's purpose.
[00:06:40.860 --> 00:06:43.900]   And what I'm saying is this.
[00:06:43.900 --> 00:06:47.780]   Perhaps what has changed previous
[00:06:47.780 --> 00:06:52.220]   to when Jesus was walking with the disciples on earth,
[00:06:52.220 --> 00:06:54.300]   to here and now in the book of Acts,
[00:06:54.300 --> 00:06:56.820]   how Apostle Peter starts to function,
[00:06:56.820 --> 00:07:00.580]   is he has a greater understanding of God's purpose.
[00:07:00.580 --> 00:07:04.700]   There's a sense in which each and every single one of you,
[00:07:04.700 --> 00:07:08.140]   if I were to ask you, what is God's purpose,
[00:07:08.140 --> 00:07:10.380]   to some degree you would be able to answer.
[00:07:10.380 --> 00:07:14.360]   But then there is a point to be made, which is,
[00:07:14.360 --> 00:07:17.140]   do we have a conviction?
[00:07:17.140 --> 00:07:19.160]   Do we understand in grand scale,
[00:07:19.160 --> 00:07:21.460]   this is what God is doing now?
[00:07:21.460 --> 00:07:24.100]   This is his plan, this is how he works.
[00:07:24.100 --> 00:07:25.820]   Are we able to understand that
[00:07:25.820 --> 00:07:27.380]   by our understanding of scripture,
[00:07:27.380 --> 00:07:29.680]   by us investigating, hearing sermons,
[00:07:29.680 --> 00:07:31.240]   and going in our own devotions?
[00:07:31.240 --> 00:07:33.220]   Are we able to see not so much,
[00:07:33.220 --> 00:07:36.420]   hey, let me hear an encouraging word from me today.
[00:07:36.420 --> 00:07:38.460]   What does God want me to do about my job,
[00:07:38.460 --> 00:07:41.860]   my girlfriend, or whatever it may be?
[00:07:41.860 --> 00:07:44.440]   But simply the question of what is God doing
[00:07:44.440 --> 00:07:46.980]   in his ultimate purpose and plan?
[00:07:46.980 --> 00:07:49.860]   Is that something we have a conviction about?
[00:07:49.860 --> 00:07:52.080]   That's an important question to ask.
[00:07:52.080 --> 00:07:57.020]   Because I believe Apostle Peter starts to gain insight
[00:07:57.020 --> 00:07:58.500]   and starts to connect the dots
[00:07:58.500 --> 00:08:01.020]   of all that he's experienced before and then now,
[00:08:01.020 --> 00:08:04.580]   and he's able to see this is the purpose of God.
[00:08:04.580 --> 00:08:06.820]   Let me make this case with you.
[00:08:06.820 --> 00:08:11.820]   For example, if you look in chapter two,
[00:08:11.820 --> 00:08:14.000]   chapter two, verse 17.
[00:08:14.000 --> 00:08:16.900]   Okay?
[00:08:16.900 --> 00:08:20.580]   Essentially, what's happening is,
[00:08:20.580 --> 00:08:21.880]   as I'm gonna tell you the story
[00:08:21.880 --> 00:08:24.180]   as you are turning your Bibles to that passage,
[00:08:24.180 --> 00:08:25.400]   chapter two, 17.
[00:08:25.400 --> 00:08:29.360]   Essentially, as Jesus commanded them, they waited.
[00:08:29.360 --> 00:08:31.520]   The Holy Spirit fell,
[00:08:31.520 --> 00:08:33.860]   and there was miraculous things happening.
[00:08:33.860 --> 00:08:35.660]   People were speaking in tongues.
[00:08:35.660 --> 00:08:37.660]   They were being filled with the Spirit.
[00:08:37.660 --> 00:08:39.340]   There was bold preaching.
[00:08:39.340 --> 00:08:41.900]   And a lot of other people's observing were thinking,
[00:08:41.900 --> 00:08:43.540]   you guys are like early drunkards.
[00:08:43.540 --> 00:08:44.780]   This is not even halfway through the day,
[00:08:44.780 --> 00:08:45.820]   and you guys are drunk.
[00:08:45.820 --> 00:08:49.040]   Apostle Peter takes that opportunity to preach,
[00:08:49.040 --> 00:08:52.000]   to preach about Christ, Christ who was crucified,
[00:08:52.000 --> 00:08:54.500]   Christ who is the Lord, okay?
[00:08:54.500 --> 00:08:59.460]   And then, here he is in verse 17, talking about this.
[00:08:59.460 --> 00:09:04.460]   So, I'm jumping in to where Apostle Peter is preaching.
[00:09:04.460 --> 00:09:06.380]   And in verse 17, he says this.
[00:09:06.380 --> 00:09:10.020]   And it shall be in the last days, God says,
[00:09:10.020 --> 00:09:12.380]   that I will pour forth my Spirit on all mankind,
[00:09:12.380 --> 00:09:15.140]   and your sons and your daughters shall prophesy,
[00:09:15.140 --> 00:09:16.660]   and your young men shall see visions,
[00:09:16.660 --> 00:09:19.220]   your old men shall dream dreams.
[00:09:19.220 --> 00:09:21.740]   Even on my boss life, both men and women,
[00:09:21.740 --> 00:09:24.820]   I will in those days pour forth my Spirit,
[00:09:24.820 --> 00:09:26.780]   and they shall prophesy.
[00:09:26.780 --> 00:09:27.740]   Okay.
[00:09:27.740 --> 00:09:30.020]   Now, as you look at this passage,
[00:09:30.020 --> 00:09:32.140]   one thing that I notice is,
[00:09:32.140 --> 00:09:33.660]   Apostle Peter is preaching,
[00:09:33.660 --> 00:09:35.380]   and man, take a look at chapter two.
[00:09:35.380 --> 00:09:38.420]   There's a whole bunch of references to the Old Testament.
[00:09:38.420 --> 00:09:41.060]   Why are you referencing the Old Testament
[00:09:41.060 --> 00:09:42.820]   so much, Apostle Peter?
[00:09:42.820 --> 00:09:45.020]   There could be a sense in which maybe it's because
[00:09:45.020 --> 00:09:47.660]   his audience was primarily Jewish.
[00:09:47.660 --> 00:09:49.380]   But I would like to make the case,
[00:09:49.380 --> 00:09:53.620]   he's making this sermon so packed
[00:09:53.620 --> 00:09:55.580]   with the previous promises of old,
[00:09:55.580 --> 00:09:58.260]   because he sees the plan of God.
[00:09:58.260 --> 00:10:00.300]   He sees the working of God.
[00:10:00.300 --> 00:10:02.140]   And if you notice that short verse I read to you
[00:10:02.140 --> 00:10:04.340]   in verse 17 and 18,
[00:10:04.340 --> 00:10:06.340]   in that passage, you see him saying,
[00:10:06.340 --> 00:10:09.220]   "This is what God says he was going to do.
[00:10:09.220 --> 00:10:11.940]   "God wanted to pour his Spirit out.
[00:10:11.940 --> 00:10:13.660]   "God wanted to fill the people.
[00:10:13.660 --> 00:10:15.840]   "God wanted to reach out, not just to the Jews,
[00:10:15.840 --> 00:10:16.900]   "but to the Gentiles.
[00:10:16.900 --> 00:10:18.540]   "He wanted to reach out, not just to the rich,
[00:10:18.540 --> 00:10:19.460]   "but to the poor.
[00:10:19.460 --> 00:10:21.500]   "This was the plan of the Lord."
[00:10:23.740 --> 00:10:27.420]   Are you guys amazed and convicted
[00:10:27.420 --> 00:10:29.940]   about that sort of plan of God?
[00:10:29.940 --> 00:10:31.620]   Do you have that kind of understanding?
[00:10:31.620 --> 00:10:34.140]   This is what God has been doing from ages before.
[00:10:34.140 --> 00:10:35.260]   He is doing this today,
[00:10:35.260 --> 00:10:38.180]   and he's gonna fulfill it into the future.
[00:10:38.180 --> 00:10:42.940]   Apostle Peter has a grip and grasp on what God is doing.
[00:10:42.940 --> 00:10:44.980]   Let me make this case a little further.
[00:10:44.980 --> 00:10:47.740]   In verse 22 and following,
[00:10:47.740 --> 00:10:49.980]   this is what he says, 22 and following,
[00:10:49.980 --> 00:10:52.620]   men of Israel, listen to these words.
[00:10:52.620 --> 00:10:55.780]   "Jesus, the Nazarene, a man attested to you by God
[00:10:55.780 --> 00:10:58.440]   "with miracles, wonders, and signs,
[00:10:58.440 --> 00:11:02.180]   "which God performed through him in your midst."
[00:11:02.180 --> 00:11:03.940]   This was God's doing.
[00:11:03.940 --> 00:11:05.220]   "Just as you yourselves know,
[00:11:05.220 --> 00:11:08.620]   "this man delivered over to the predetermined plan
[00:11:08.620 --> 00:11:10.740]   "and foreknowledge of God.
[00:11:10.740 --> 00:11:14.760]   "You nailed to a cross by the hands of godless men
[00:11:14.760 --> 00:11:16.420]   "and put him to death.
[00:11:16.420 --> 00:11:18.580]   "But God raised him up again,
[00:11:18.580 --> 00:11:20.420]   "putting an end to the agony of death,
[00:11:20.420 --> 00:11:25.420]   "since it is impossible for him to be held in its power."
[00:11:25.420 --> 00:11:29.460]   So what I'm saying is, as I read through the book of Acts,
[00:11:29.460 --> 00:11:32.940]   I saw not only was it just historical accounts,
[00:11:32.940 --> 00:11:35.740]   a story of how the early church came to rise,
[00:11:35.740 --> 00:11:37.460]   how the people were being saved,
[00:11:37.460 --> 00:11:40.940]   and 3,000, 5,000 people were coming to the church.
[00:11:40.940 --> 00:11:44.300]   It was an account of the working of God,
[00:11:44.300 --> 00:11:46.380]   and Apostle Peter recognized it.
[00:11:46.380 --> 00:11:49.420]   He recognized it.
[00:11:49.420 --> 00:11:52.380]   And so you will see, if you continue to read the book,
[00:11:52.380 --> 00:11:55.020]   that Apostle Peter is going to constantly reference,
[00:11:55.020 --> 00:11:56.340]   this is what God's been doing,
[00:11:56.340 --> 00:11:58.260]   this is what he was doing before.
[00:11:58.260 --> 00:12:00.860]   And that language is chock full in here.
[00:12:00.860 --> 00:12:04.580]   Now why am I talking about this?
[00:12:04.580 --> 00:12:06.620]   I'm talking about a servant's heart,
[00:12:06.620 --> 00:12:10.380]   his perspective, and so forth,
[00:12:10.380 --> 00:12:12.900]   and the kind of attitude that he has.
[00:12:12.900 --> 00:12:15.660]   It's because I bet every single one of us here
[00:12:15.660 --> 00:12:18.820]   has at one point or another asked a question,
[00:12:18.820 --> 00:12:21.180]   what is God's purpose for me?
[00:12:21.180 --> 00:12:24.460]   What does God want me to do?
[00:12:24.460 --> 00:12:28.460]   What is my role, lot in life, that God has laid out for me?
[00:12:28.460 --> 00:12:30.900]   I mean, he's the one who we plan our ways,
[00:12:30.900 --> 00:12:32.620]   but God truly sets our path, right?
[00:12:32.620 --> 00:12:34.260]   So what is that for me?
[00:12:34.260 --> 00:12:36.140]   Great question.
[00:12:36.140 --> 00:12:37.220]   Great question.
[00:12:37.220 --> 00:12:38.300]   You should ask that.
[00:12:38.300 --> 00:12:40.860]   But sometimes we don't realize
[00:12:40.860 --> 00:12:42.060]   there is a preliminary question
[00:12:42.060 --> 00:12:43.500]   that needs to be asked first.
[00:12:43.500 --> 00:12:46.260]   Simply, what is God's plan, period?
[00:12:46.260 --> 00:12:48.660]   You see my point?
[00:12:48.660 --> 00:12:50.860]   Because a servant's heart could get inundated
[00:12:50.860 --> 00:12:54.060]   with what's my role, what can I do?
[00:12:54.060 --> 00:12:57.220]   But the fact of the matter is he needs to first ask,
[00:12:57.220 --> 00:13:00.580]   master, what are you trying to accomplish here?
[00:13:00.580 --> 00:13:01.860]   What are you doing?
[00:13:01.860 --> 00:13:02.940]   Let me observe.
[00:13:02.940 --> 00:13:07.620]   What is God planning, executing, promising?
[00:13:07.620 --> 00:13:10.980]   And let me serve that.
[00:13:10.980 --> 00:13:13.220]   You see the difference in heart?
[00:13:13.220 --> 00:13:16.100]   You see, a slave in a household,
[00:13:16.100 --> 00:13:17.980]   he can want responsibility.
[00:13:18.980 --> 00:13:21.420]   But that wanting of responsibility
[00:13:21.420 --> 00:13:23.540]   does not make him a humble servant.
[00:13:23.540 --> 00:13:24.460]   Why?
[00:13:24.460 --> 00:13:25.980]   Because he could be asking questions like,
[00:13:25.980 --> 00:13:28.980]   when are you gonna give me authority over the other slaves?
[00:13:28.980 --> 00:13:31.860]   When are you gonna give me the key to the house?
[00:13:31.860 --> 00:13:34.060]   He wants responsibility, right?
[00:13:34.060 --> 00:13:36.260]   But is that the heart of the servant?
[00:13:36.260 --> 00:13:39.500]   No, it's not.
[00:13:39.500 --> 00:13:42.860]   The heart of the servant understands first and foremost
[00:13:42.860 --> 00:13:45.940]   the purposes of God, and he has a conviction,
[00:13:45.940 --> 00:13:47.780]   this is what my master is doing.
[00:13:47.780 --> 00:13:50.580]   And then he has a buy-in, he has an adopting
[00:13:50.580 --> 00:13:52.740]   of that purpose into his own life,
[00:13:52.740 --> 00:13:54.460]   and that's called conviction.
[00:13:54.460 --> 00:13:59.660]   I believe that's what we need more than anything in our day.
[00:13:59.660 --> 00:14:02.860]   A clear purpose to which we can attach ourselves to.
[00:14:02.860 --> 00:14:04.380]   And it's gotta be greater than,
[00:14:04.380 --> 00:14:06.860]   what is my lot for me at school?
[00:14:06.860 --> 00:14:09.380]   Next five years, what am I gonna accomplish?
[00:14:09.380 --> 00:14:13.860]   As I'm thinking about that, I'm brought to a thought.
[00:14:13.860 --> 00:14:15.740]   I've wrestled with the thought of leadership
[00:14:15.740 --> 00:14:19.700]   a lot in my life, because I don't know if,
[00:14:19.700 --> 00:14:21.820]   some people say, oh, I think you have good leadership traits,
[00:14:21.820 --> 00:14:24.180]   some people say, yeah, you don't have certain things,
[00:14:24.180 --> 00:14:26.940]   and I appreciate that 'cause they're being truthful.
[00:14:26.940 --> 00:14:29.500]   There are things that I just am not naturally good at.
[00:14:29.500 --> 00:14:32.700]   I can't handle multiple thoughts at once.
[00:14:32.700 --> 00:14:35.060]   I can't do certain things like,
[00:14:35.060 --> 00:14:37.620]   I'm not a vision setter, you know what I mean?
[00:14:37.620 --> 00:14:40.900]   I'm not one who's creative and all that kind of stuff.
[00:14:40.900 --> 00:14:44.020]   Recently I drew something on a big board
[00:14:44.020 --> 00:14:45.500]   for a Reformation night, and some people were like,
[00:14:45.500 --> 00:14:48.340]   oh, you're so artistic, but in my mind, I'm not.
[00:14:48.340 --> 00:14:49.380]   You know why?
[00:14:49.380 --> 00:14:50.700]   'Cause I copied that thing.
[00:14:50.700 --> 00:14:55.380]   I'm not creative in the sense
[00:14:55.380 --> 00:14:57.860]   that I don't originate stuff, you know?
[00:14:57.860 --> 00:14:59.660]   Like, I'm not gonna embarrass you.
[00:14:59.660 --> 00:15:01.340]   I think there are people, I'm just gonna point that way,
[00:15:01.340 --> 00:15:04.780]   he's really creative because he's expressing stuff
[00:15:04.780 --> 00:15:07.820]   that's in his mind and in his heart in an original way.
[00:15:07.820 --> 00:15:10.340]   He's not looking on Google Docs and being like,
[00:15:10.340 --> 00:15:12.580]   or Google and being like, image of whatever,
[00:15:12.580 --> 00:15:13.860]   and just copying it down.
[00:15:13.860 --> 00:15:16.660]   That's not an artist.
[00:15:16.660 --> 00:15:19.220]   That's a copy, like a copy or an imitator.
[00:15:19.220 --> 00:15:20.860]   You see what I'm saying?
[00:15:20.860 --> 00:15:22.380]   Now, the reason why I'm talking about this
[00:15:22.380 --> 00:15:24.700]   because that translates into sometimes,
[00:15:24.700 --> 00:15:27.700]   for me, into leadership.
[00:15:27.700 --> 00:15:30.100]   Because your secular environment will tell you
[00:15:30.100 --> 00:15:33.100]   leadership means you do have to be an innovator.
[00:15:33.100 --> 00:15:36.300]   You have to be creative, and you have to be a visionary.
[00:15:36.300 --> 00:15:37.820]   You have to give the congregation
[00:15:37.820 --> 00:15:40.260]   or in a business context, the business,
[00:15:40.260 --> 00:15:43.060]   next step, next vision, new project,
[00:15:43.060 --> 00:15:44.140]   or whatever it may be.
[00:15:44.140 --> 00:15:45.540]   But if you were to ask me, like,
[00:15:45.540 --> 00:15:47.100]   what's your vision for the next five years?
[00:15:47.100 --> 00:15:51.020]   Like, duh, same thing we've been doing, man.
[00:15:51.020 --> 00:15:52.980]   Like, we're preaching, you know,
[00:15:52.980 --> 00:15:54.900]   we're like ministering and discipling,
[00:15:54.900 --> 00:15:56.780]   and that's a problem, right?
[00:15:56.780 --> 00:15:58.860]   Because then I start to question, like,
[00:15:58.860 --> 00:16:00.540]   am I gonna ever be a good leader?
[00:16:00.540 --> 00:16:03.300]   But here's the thing.
[00:16:03.300 --> 00:16:06.140]   There is wisdom and value to all of that.
[00:16:06.140 --> 00:16:07.540]   I think we should be creative.
[00:16:07.540 --> 00:16:09.700]   I think we should be visionary.
[00:16:09.700 --> 00:16:11.860]   But the fact of the Christian faith is,
[00:16:11.860 --> 00:16:15.540]   many Christian leaders have made a muck of the situation
[00:16:15.540 --> 00:16:17.420]   because they've had their own visions,
[00:16:17.420 --> 00:16:20.460]   their own ambitions, new, innovative things
[00:16:20.460 --> 00:16:24.300]   that stand in contrast to an age-old faith.
[00:16:24.300 --> 00:16:31.460]   Apostle Peter didn't need new, innovative stuff.
[00:16:31.460 --> 00:16:36.580]   He needed to recognize what God has been doing for ages.
[00:16:36.580 --> 00:16:39.900]   We have a God who's made promises ages ago,
[00:16:39.900 --> 00:16:41.140]   and he's being faithful today.
[00:16:41.140 --> 00:16:43.380]   We have a God who has given faith
[00:16:43.380 --> 00:16:46.500]   that is a faith that is from an age-old time.
[00:16:46.500 --> 00:16:49.540]   You see what I'm saying?
[00:16:49.540 --> 00:16:52.180]   For me, I realize being a visionary
[00:16:52.180 --> 00:16:54.740]   doesn't necessarily mean being this creative guy
[00:16:54.740 --> 00:16:57.100]   who paints this brand-new, innovative thing
[00:16:57.100 --> 00:16:59.500]   for all of us to follow.
[00:16:59.500 --> 00:17:01.340]   You just need to clearly have a conviction
[00:17:01.340 --> 00:17:03.020]   of what is God doing.
[00:17:04.180 --> 00:17:07.620]   And if you have a servant's heart, then you buy into that.
[00:17:07.620 --> 00:17:10.300]   God, I'm not about my own ambitions.
